AREA;1 AngDRC;2 Argentina;3 Bolivia;4 Brasil;5 Colombia;6 Ghana;7 IvoryCoast;8 Indonesia;9 Madagascar;10 Malasya;11 Mozambique;12 Myanmar;13 Nigeria;14 Paraguay;15 Peru;16 Uruguay;17 Venezuela;18 NewZealand;19 Oceania;20 China;21 Japan;22 Korea;23 India;24 EastAsia;25 SEAsia;26 SouthAsia;27 US;28 Canada;29 Mexico;30 LatinAmer;31 EU27;32 UK;33 Russia;34 EFTA;35 MENA;36 SSA;37 RestofWorld;Total;
1 New18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.195;0;0;0;0;0;0;0;0;0;0.001;0.044;0;0.347;0;0.397;0;0;0.984;
2 New17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.011;0;0;0;0;0;0;0;0.011;
3 New16;0;0.021;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.031;0.181;0.010;0;0;0;0;0;0;28.588;0;0.318;0.285;5.155;0;10.233;0;0;0.097;44.918;
4 New15;0;0.063;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.028;0.060;69.778;5.430;0;0;30.833;0;0;0.012;273.490;0;0.189;829.602;0.448;911.833;90.363;5.205;0;9.410;2226.743;
5 New14;0;0.235;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;58.338;0.354;0;0;15.829;0;0;6.739;61.055;0;0.322;3.312;0;67.632;0.416;5.516;0;189.568;409.318;
6 New13;0;0.000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;61.217;0;0;0;0.655;0;0.036;0.279;0;0;0.003;0.047;0;0.873;0.050;0.145;0;58.312;121.616;
7 New12;68.078;1605.744;1.118;5872.711;114.946;0;0;18.878;37.069;0.016;0;3.261;0;506.199;84.615;323.100;13.881;61.096;8.220;5400.741;26.889;1.541;514.912;19.586;329.760;193.887;1297.103;0.003;69.914;123.251;1118.016;60.199;0.057;0.106;502.531;460.786;32.307;18870.521;
8 New11;25.588;1648.413;4.191;220.525;4.869;0;0;7.564;24.140;0;0.167;212.312;15.090;0;76.897;0;3.619;20.279;109.674;5140.613;43.476;55.134;402.517;53.858;14.164;222.822;4196.458;0.762;295.038;267.686;4295.207;537.234;14.521;9.157;154.177;1754.423;173.120;20003.696;
9 New10;168.341;1681.375;10.976;0.626;0;0;0;0.195;4.794;0;19.505;3.448;1.494;0;73.426;0;0.108;7.217;575.792;8933.077;38.252;4.920;1212.026;590.138;0.040;1213.782;19165.801;1424.478;1447.414;366.468;15905.814;640.424;1652.163;146.660;2132.099;3501.487;4059.144;64981.484;
10 New9;837.319;1448.215;232.989;0;0.068;0;0;0.768;0;0;63.767;0.067;0;0;139.958;0;0;0.113;1806.917;17285.252;6.101;0;3066.815;33.822;0;529.313;5130.647;949.645;1966.113;33.063;7567.438;0;6801.120;2.033;4119.396;2222.538;3262.808;57506.286;
11 New8;46.782;438.358;47.434;0;0.031;0;0;0;0;0;0;0;0;0;147.805;0;0.018;0;2622.353;2338.965;0;0;4035.563;1.504;0;555.771;7457.635;1804.963;1190.419;24.036;177.444;0;8647.567;0.245;4084.548;2473.593;6818.880;42913.916;
12 New7;0.546;8.224;4.321;0;0.084;0;0;0;0;0;0;0;0;0;51.060;0;0;0;141.384;843.080;0;0;635.398;0.419;0;975.962;765.572;0;175.155;26.867;0.183;0;0;0.081;2105.171;186.650;100.942;6021.099;
13 New6;227.043;5.310;7.848;3023.269;254.226;179.468;62.732;1897.833;68.928;9.691;0;0;116.808;300.915;75.630;0;36.800;0;2.339;35.041;0.089;0;0;4.200;2593.352;45.032;0;0;396.465;444.607;0;0;0;0;0;561.191;0;10348.816;
14 New5;2001.840;3.314;59.214;4950.463;132.338;644.740;174.201;1572.842;27.900;0;87.032;318.897;1885.453;8.045;5.091;0;296.792;0;0.339;88.705;0;0;278.719;4.852;1319.987;134.170;0.274;0;733.435;1017.617;0;0;0;0;0;4446.821;0;20193.080;
15 New4;926.605;3.181;480.025;1759.470;15.072;388.007;242.233;148.460;40.676;0;1282.291;441.797;3530.358;8.368;4.661;0;298.757;0;5.031;2.757;0;0;2539.779;0;1241.640;112.030;0.001;0;1529.545;1365.514;0;0;0;0;0;8512.917;0;24879.174;
16 New3;295.623;0.207;77.856;807.419;1.448;195.831;13.871;190.478;16.976;0;561.125;4.818;3700.016;1.417;12.815;0;12.853;0;10.154;0;0;0;10285.693;0;0;1.210;0;0;1594.521;25.170;0;0;0;0;0;12555.493;0;30364.997;
17 New2;87.386;0;0;41.627;0.003;0;0;0;0.296;0;26.656;0;4313.276;0.055;14.194;0;0.884;0;1.596;0;0;0;2426.832;0;0;0;0;0;42.628;3.178;0;0;0;0;0;16541.926;0;23500.537;
18 New1;0;0;0;0;0.000;0;0;0;0;0;9.257;0;181.862;0;38.630;0;0.027;0;0.937;0;0;0;9.987;0;0;18.523;0;0;10.003;0.365;0;0;0;0;547.593;2814.039;0;3631.224;
Total;4685.152;6842.659;925.973;16676.110;523.085;1408.045;493.036;3837.019;220.779;9.707;2049.800;984.601;13744.358;825.000;724.781;323.100;663.740;88.732;5284.828;40257.941;120.602;61.595;25408.240;755.697;5498.943;4002.539;38020.520;4542.984;9450.651;3698.665;29897.392;1243.460;18096.113;259.344;13656.778;56031.862;14704.587;326018.420;
