LCOV;1 AngDRC;2 Argentina;3 Bolivia;4 Brasil;5 Colombia;6 Ghana;7 IvoryCoast;8 Indonesia;9 Madagascar;10 Malasya;11 Mozambique;12 Myanmar;13 Nigeria;14 Paraguay;15 Peru;16 Uruguay;17 Venezuela;18 NewZealand;19 Oceania;20 China;21 Japan;22 Korea;23 India;24 EastAsia;25 SEAsia;26 SouthAsia;27 US;28 Canada;29 Mexico;30 LatinAmer;31 EU27;32 UK;33 Russia;34 EFTA;35 MENA;36 SSA;37 RestofWorld;Total;
1 New18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.912;0;0;0;0;0;0;0;0;0;0.157;0.135;0;16.556;0;11.661;0;0;30.420;
2 New17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.565;0;0;0;0;0;0;0;0.565;
3 New16;0;0.536;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.212;1.881;0.464;0;0;0;0;0;0;206.526;0;7.071;1.134;14.969;0;39.876;0;0;0.227;272.895;
4 New15;0;0.694;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.198;0.408;901.844;195.956;0;0;199.976;0;0;0.847;2610.343;0;5.675;2212.440;1.213;8613.157;375.261;54.471;0;31.967;15204.450;
5 New14;0;3.957;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;624.223;12.558;0;0;306.909;0;0;226.199;619.427;0;9.253;16.748;0;600.880;3.337;36.286;0;1256.116;3715.896;
6 New13;0;0.013;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;591.903;0;0;0;17.695;0;0.610;9.478;0;0;0.457;0.282;0;21.705;0.404;0.818;0;372.637;1016.003;
7 New12;295.073;7505.144;8.715;15671.133;886.289;0;0;772.757;196.234;13.521;0;64.060;0;3254.355;664.128;2449.600;64.859;451.988;127.853;33333.543;1016.206;45.541;1743.190;532.876;2177.042;1337.645;11903.887;0.166;120.480;697.729;4804.989;325.555;2.789;2.536;1143.163;1997.760;128.032;93738.836;
8 New11;136.704;9412.451;34.503;661.024;14.724;0;0;20.128;111.753;0;0.332;887.679;29.959;0;566.100;0;22.015;151.955;826.476;17594.826;1589.800;1508.319;3722.667;222.226;87.451;1721.941;22625.369;37.970;390.531;851.550;20628.426;2767.265;91.325;73.096;755.242;4348.773;1059.227;92951.809;
9 New10;693.361;10091.302;77.056;14.495;0;0;0;1.377;23.244;0;104.842;24.641;2.966;0;421.967;0;0.827;52.048;3717.330;23082.256;1471.528;137.139;6600.636;2163.134;0.588;5060.643;47557.570;5583.471;1567.973;1278.092;59310.051;3169.299;11125.756;728.898;19707.916;8492.839;19641.354;231904.600;
10 New9;742.468;8484.283;860.202;0;1.383;0;0;1.506;0;0;89.093;2.019;0;0;678.561;0;0;0.811;10816.002;33220.949;227.390;0;29289.035;198.627;0;4080.748;15293.269;8513.148;2846.477;307.298;24976.010;0;44770.301;12.431;24012.850;6569.146;14147.915;230141.920;
11 New8;236.525;4156.427;341.911;0;0.127;0;0;0;0;0;0;0;0;0;919.110;0;0.089;0;15568.213;8260.053;0;0;15909.624;49.022;0;8340.769;54709.094;20639.947;3143.196;102.075;710.633;0;58006.535;1.945;26239.889;7419.844;49699.801;274454.827;
12 New7;3.088;451.820;62.977;0;0.191;0;0;0;0;0;0;0;0;0;423.499;0;0;0;929.158;3971.758;0;0;3689.874;13.191;0;21765.590;6427.939;0;1182.154;110.970;2.425;0;0;0.652;12071.281;919.914;2462.261;54488.742;
13 New6;618.002;45.270;54.266;9866.329;1882.074;692.009;1484.592;39800.789;1447.194;7790.479;0;0;712.320;1416.142;676.198;0;145.550;0;698.360;377.143;4.097;0;0;129.249;12215.112;1420.123;0;0;1937.217;3333.454;0;0;0;0;0;5102.005;0;91847.976;
14 New5;6056.707;13.665;337.234;23076.584;662.020;3972.992;3333.426;3442.525;659.142;0;171.036;2489.117;7775.224;74.238;35.982;0;1661.865;0;78.770;553.645;0;0;3768.494;129.896;15833.601;4257.294;44.984;0;2483.115;6856.060;0;0;0;0;0;15645.517;0;103413.132;
15 New4;9290.278;33.697;2609.515;8895.908;89.124;2213.256;3128.851;1450.679;899.374;0;3521.260;9060.112;13116.337;143.466;36.726;0;1339.639;0;248.969;7.754;0;0;29587.689;0;17888.568;3512.929;0.662;0;3855.236;4981.190;0;0;0;0;0;31911.967;0;147823.186;
16 New3;692.079;0.740;315.621;4123.125;4.762;521.744;53.131;510.241;260.207;0;1856.908;28.372;9435.683;56.024;94.341;0;62.656;0;246.061;0;0;0;62344.992;0;0;42.315;0;0;3984.328;206.981;0;0;0;0;0;27257.580;0;112097.893;
17 New2;325.715;0;0;276.401;0.006;0;0;0;2.852;0;137.212;0;9117.129;10.775;129.014;0;2.423;0;43.143;0;0;0;12565.572;0;0;0;0;0;93.654;15.609;0;0;0;0;0;37415.402;0;60134.908;
18 New1;0;0;0;0;0;0;0;0;0;0;69.317;0;310.384;0;333.374;0;0.077;0;6.046;0;0;0;241.236;0;0;858.695;0;0;189.637;1.913;0;0;0;0;1913.915;11292.684;0;15217.277;
Total;19090.000;40200.000;4702.000;62585.000;3540.700;7400.000;8000.000;46000.002;3600.000;7804.000;5950.000;12556.000;40500.002;4955.000;4979.000;2449.600;3300.000;657.000;33307.000;122523.692;4518.000;1691.000;169463.010;3962.800;48202.361;52399.302;158799.299;38210.999;21793.999;18766.100;112663.272;6278.300;123249.003;1238.438;85947.491;158373.431;88799.537;1528455.336;
