,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,ARG,Growing wheat industry,XAM,0.012361348126130683,EU27,2015
1,ARG,Growing maize industry,XAM,0.007873498747746177,EU27,2015
2,ARG,Growing cereals n.e.c industry,XAM,0.0007098227423731145,EU27,2015
3,ARG,Growing leguminous crops and oil seeds industry,XAM,0.004541144328969736,EU27,2015
4,ARG,Growing rice industry,XAM,9.362716650869568e-07,EU27,2015
5,ARG,"Growing vegetables, roots, tubers industry",XAM,0.012464562969545822,EU27,2015
6,ARG,Growing sugar beet and cane industry,XAM,1.989991970991231e-05,EU27,2015
7,ARG,Growing tobacco industry,XAM,1.4091750760574002e-06,EU27,2015
8,ARG,Growing fibre crops industry,XAM,0.001594045694304271,EU27,2015
9,ARG,Growing crops n.e.c. industry,XAM,0.0,EU27,2015
10,ARG,Growing grapes industry,XAM,2.3305944637303097e-05,EU27,2015
11,ARG,Growing fruits and nuts industry,XAM,8.535074354409432e-05,EU27,2015
12,ARG,"Growing beverage crops (coffee, tea etc) industry",XAM,0.00014433866032277634,EU27,2015
13,ARG,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,7.834414863445013e-06,EU27,2015
14,ARG,Seeds and plant propagation industry,XAM,0.0,EU27,2015
15,ARG,Raising of cattle industry,XAM,0.054406041167518904,EU27,2015
16,ARG,Growing wheat industry,XEU,0.0021044000852386436,EU27,2015
17,ARG,Growing maize industry,XEU,0.0012345274089310748,EU27,2015
18,ARG,Growing cereals n.e.c industry,XEU,0.0002711371197696278,EU27,2015
19,ARG,Growing leguminous crops and oil seeds industry,XEU,0.0026011768726583863,EU27,2015
20,ARG,Growing rice industry,XEU,1.4517474681186264e-07,EU27,2015
21,ARG,"Growing vegetables, roots, tubers industry",XEU,0.0025361053879247725,EU27,2015
22,ARG,Growing sugar beet and cane industry,XEU,9.544714526016207e-06,EU27,2015
23,ARG,Growing tobacco industry,XEU,2.6837264068859228e-05,EU27,2015
24,ARG,Growing fibre crops industry,XEU,0.0009309415461837129,EU27,2015
25,ARG,Growing crops n.e.c. industry,XEU,0.0,EU27,2015
26,ARG,Growing grapes industry,XEU,5.025723126917961e-06,EU27,2015
27,ARG,Growing fruits and nuts industry,XEU,1.4989099937946222e-05,EU27,2015
28,ARG,"Growing beverage crops (coffee, tea etc) industry",XEU,1.3046334266382538e-05,EU27,2015
29,ARG,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,1.4166916092310018e-06,EU27,2015
30,ARG,Seeds and plant propagation industry,XEU,0.0,EU27,2015
31,ARG,Raising of cattle industry,XEU,0.00919952905539887,EU27,2015
32,ARG,Growing wheat industry,XAF,0.002227530052668727,EU27,2015
33,ARG,Growing maize industry,XAF,0.0014739900536636312,EU27,2015
34,ARG,Growing cereals n.e.c industry,XAF,0.00023821968184275486,EU27,2015
35,ARG,Growing leguminous crops and oil seeds industry,XAF,0.0016051320839703149,EU27,2015
36,ARG,Growing rice industry,XAF,1.7354235834008998e-07,EU27,2015
37,ARG,"Growing vegetables, roots, tubers industry",XAF,0.0021218521770816575,EU27,2015
38,ARG,Growing sugar beet and cane industry,XAF,4.7300477353191075e-06,EU27,2015
39,ARG,Growing tobacco industry,XAF,1.6240537170651667e-06,EU27,2015
40,ARG,Growing fibre crops industry,XAF,0.0021774720989747288,EU27,2015
41,ARG,Growing crops n.e.c. industry,XAF,0.0,EU27,2015
42,ARG,Growing grapes industry,XAF,5.274025438709724e-06,EU27,2015
43,ARG,Growing fruits and nuts industry,XAF,1.9442623667847215e-05,EU27,2015
44,ARG,"Growing beverage crops (coffee, tea etc) industry",XAF,1.7060265004014578e-05,EU27,2015
45,ARG,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAF,1.838165107829824e-05,EU27,2015
46,ARG,Seeds and plant propagation industry,XAF,0.0,EU27,2015
47,ARG,Raising of cattle industry,XAF,0.007803379706987621,EU27,2015
48,ARG,Growing wheat industry,XAS,0.002572260296262971,EU27,2015
49,ARG,Growing maize industry,XAS,0.0017705972824834165,EU27,2015
50,ARG,Growing cereals n.e.c industry,XAS,0.00018843048183019937,EU27,2015
51,ARG,Growing leguminous crops and oil seeds industry,XAS,0.0012742276819194102,EU27,2015
52,ARG,Growing rice industry,XAS,2.6593617302074394e-07,EU27,2015
53,ARG,"Growing vegetables, roots, tubers industry",XAS,0.0021832763223690542,EU27,2015
54,ARG,Growing sugar beet and cane industry,XAS,5.537754712634991e-06,EU27,2015
55,ARG,Growing tobacco industry,XAS,3.658479626067293e-07,EU27,2015
56,ARG,Growing fibre crops industry,XAS,0.0006696574636388907,EU27,2015
57,ARG,Growing crops n.e.c. industry,XAS,0.0,EU27,2015
58,ARG,Growing grapes industry,XAS,5.309084290464534e-06,EU27,2015
59,ARG,Growing fruits and nuts industry,XAS,1.926310802591902e-05,EU27,2015
60,ARG,"Growing beverage crops (coffee, tea etc) industry",XAS,2.6265711884775453e-05,EU27,2015
61,ARG,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAS,3.31333122220232e-06,EU27,2015
62,ARG,Seeds and plant propagation industry,XAS,0.0,EU27,2015
63,ARG,Raising of cattle industry,XAS,0.011951051335871096,EU27,2015
64,ARG,Growing wheat industry,AFG,0.000337599107247625,EU27,2015
65,ARG,Growing maize industry,AFG,0.00018661068422572328,EU27,2015
66,ARG,Growing cereals n.e.c industry,AFG,3.469189896286181e-05,EU27,2015
67,ARG,Growing leguminous crops and oil seeds industry,AFG,0.00020701748602491052,EU27,2015
68,ARG,Growing rice industry,AFG,2.0923658166486443e-08,EU27,2015
69,ARG,"Growing vegetables, roots, tubers industry",AFG,0.00032021088153428716,EU27,2015
70,ARG,Growing sugar beet and cane industry,AFG,6.554567487227724e-07,EU27,2015
71,ARG,Growing tobacco industry,AFG,1.8489617920056474e-08,EU27,2015
