,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,BRA,Growing wheat industry,XAM,0.04145960521234877,EU27,2012
1,BRA,Growing maize industry,XAM,1.478793021176054,EU27,2012
2,BRA,Growing cereals n.e.c industry,XAM,0.042760105173394104,EU27,2012
3,BRA,Growing leguminous crops and oil seeds industry,XAM,3.136703580049265,EU27,2012
4,BRA,Growing rice industry,XAM,0.00010304507153395052,EU27,2012
5,BRA,"Growing vegetables, roots, tubers industry",XAM,0.00048202588055972975,EU27,2012
6,BRA,Growing sugar beet and cane industry,XAM,0.1254475579516165,EU27,2012
7,BRA,Growing tobacco industry,XAM,0.0009326736221481702,EU27,2012
8,BRA,Growing fibre crops industry,XAM,0.06737609744552119,EU27,2012
9,BRA,Growing crops n.e.c. industry,XAM,0.009578893389159049,EU27,2012
10,BRA,Growing grapes industry,XAM,7.819958278829585e-06,EU27,2012
11,BRA,Growing fruits and nuts industry,XAM,0.08851154756453992,EU27,2012
12,BRA,"Growing beverage crops (coffee, tea etc) industry",XAM,0.0,EU27,2012
13,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,0.0,EU27,2012
14,BRA,Seeds and plant propagation industry,XAM,0.0,EU27,2012
15,BRA,Raising of cattle industry,XAM,0.1910554000416574,EU27,2012
16,BRA,Growing wheat industry,XEU,0.02469675179433557,EU27,2012
17,BRA,Growing maize industry,XEU,0.23952212284579452,EU27,2012
18,BRA,Growing cereals n.e.c industry,XEU,0.01108337749931,EU27,2012
19,BRA,Growing leguminous crops and oil seeds industry,XEU,1.0295207542264626,EU27,2012
20,BRA,Growing rice industry,XEU,0.00023150621172514943,EU27,2012
21,BRA,"Growing vegetables, roots, tubers industry",XEU,0.0010245590454137,EU27,2012
22,BRA,Growing sugar beet and cane industry,XEU,0.03952348067710681,EU27,2012
23,BRA,Growing tobacco industry,XEU,0.000506098765374227,EU27,2012
24,BRA,Growing fibre crops industry,XEU,0.027390472319301133,EU27,2012
25,BRA,Growing crops n.e.c. industry,XEU,0.0019621650919737312,EU27,2012
26,BRA,Growing grapes industry,XEU,9.360191659302903e-06,EU27,2012
27,BRA,Growing fruits and nuts industry,XEU,0.006395062969889177,EU27,2012
28,BRA,"Growing beverage crops (coffee, tea etc) industry",XEU,0.0,EU27,2012
29,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,0.0,EU27,2012
30,BRA,Seeds and plant propagation industry,XEU,0.0,EU27,2012
31,BRA,Raising of cattle industry,XEU,0.059432177303881534,EU27,2012
32,BRA,Growing wheat industry,XAF,0.02263477402859852,EU27,2012
33,BRA,Growing maize industry,XAF,0.34734862398787963,EU27,2012
34,BRA,Growing cereals n.e.c industry,XAF,0.010485035332210816,EU27,2012
35,BRA,Growing leguminous crops and oil seeds industry,XAF,1.5620876270323942,EU27,2012
36,BRA,Growing rice industry,XAF,0.00020620768466926752,EU27,2012
37,BRA,"Growing vegetables, roots, tubers industry",XAF,0.00022155991128273555,EU27,2012
38,BRA,Growing sugar beet and cane industry,XAF,0.036163773356204965,EU27,2012
39,BRA,Growing tobacco industry,XAF,0.0005111947781957745,EU27,2012
40,BRA,Growing fibre crops industry,XAF,0.055763949357153016,EU27,2012
41,BRA,Growing crops n.e.c. industry,XAF,0.0020112812840591366,EU27,2012
42,BRA,Growing grapes industry,XAF,2.94798180682517e-06,EU27,2012
43,BRA,Growing fruits and nuts industry,XAF,0.007310415870745504,EU27,2012
44,BRA,"Growing beverage crops (coffee, tea etc) industry",XAF,0.0,EU27,2012
45,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAF,0.0,EU27,2012
46,BRA,Seeds and plant propagation industry,XAF,0.0,EU27,2012
47,BRA,Raising of cattle industry,XAF,0.061645181642689464,EU27,2012
48,BRA,Growing wheat industry,XAS,0.016986441016907307,EU27,2012
49,BRA,Growing maize industry,XAS,0.24569517967558793,EU27,2012
50,BRA,Growing cereals n.e.c industry,XAS,0.01007748518825207,EU27,2012
51,BRA,Growing leguminous crops and oil seeds industry,XAS,0.8923780154435809,EU27,2012
52,BRA,Growing rice industry,XAS,4.2138159698644434e-05,EU27,2012
53,BRA,"Growing vegetables, roots, tubers industry",XAS,0.0001552779835969419,EU27,2012
54,BRA,Growing sugar beet and cane industry,XAS,0.03173639221276433,EU27,2012
55,BRA,Growing tobacco industry,XAS,0.000932713150362323,EU27,2012
56,BRA,Growing fibre crops industry,XAS,0.020116062475249132,EU27,2012
57,BRA,Growing crops n.e.c. industry,XAS,0.002396221789814291,EU27,2012
58,BRA,Growing grapes industry,XAS,2.4851384259269896e-06,EU27,2012
59,BRA,Growing fruits and nuts industry,XAS,0.0060499824993656935,EU27,2012
60,BRA,"Growing beverage crops (coffee, tea etc) industry",XAS,0.0,EU27,2012
61,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAS,0.0,EU27,2012
62,BRA,Seeds and plant propagation industry,XAS,0.0,EU27,2012
63,BRA,Raising of cattle industry,XAS,0.049304822351134585,EU27,2012
64,BRA,Growing wheat industry,AFG,0.002997810410163226,EU27,2012
65,BRA,Growing maize industry,AFG,0.06799901141991407,EU27,2012
66,BRA,Growing cereals n.e.c industry,AFG,0.00258564546583373,EU27,2012
67,BRA,Growing leguminous crops and oil seeds industry,AFG,0.22996908060864577,EU27,2012
68,BRA,Growing rice industry,AFG,9.791692558306066e-06,EU27,2012
69,BRA,"Growing vegetables, roots, tubers industry",AFG,4.580135039167058e-05,EU27,2012
70,BRA,Growing sugar beet and cane industry,AFG,0.00775057987763576,EU27,2012
