,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,BRA,Growing wheat industry,XAM,3.2679108801635477e-05,BLZ,2012
1,BRA,Growing maize industry,XAM,0.003062220807930313,BLZ,2012
2,BRA,Growing cereals n.e.c industry,XAM,2.321914918646438e-05,BLZ,2012
3,BRA,Growing leguminous crops and oil seeds industry,XAM,0.0009623496293368504,BLZ,2012
4,BRA,Growing rice industry,XAM,1.0508628763811869e-07,BLZ,2012
5,BRA,"Growing vegetables, roots, tubers industry",XAM,1.4905636824961884e-06,BLZ,2012
6,BRA,Growing sugar beet and cane industry,XAM,0.00013130972967744607,BLZ,2012
7,BRA,Growing tobacco industry,XAM,6.040028618852943e-08,BLZ,2012
8,BRA,Growing fibre crops industry,XAM,4.388383809050262e-05,BLZ,2012
9,BRA,Growing crops n.e.c. industry,XAM,7.506332802605657e-06,BLZ,2012
10,BRA,Growing grapes industry,XAM,2.5234894596561386e-09,BLZ,2012
11,BRA,Growing fruits and nuts industry,XAM,1.2854100348931698e-05,BLZ,2012
12,BRA,"Growing beverage crops (coffee, tea etc) industry",XAM,0.0,BLZ,2012
13,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,0.0,BLZ,2012
14,BRA,Seeds and plant propagation industry,XAM,0.0,BLZ,2012
15,BRA,Raising of cattle industry,XAM,0.00021668714764662664,BLZ,2012
16,BRA,Growing wheat industry,XEU,2.0989691999298807e-06,BLZ,2012
17,BRA,Growing maize industry,XEU,0.00013012760265099417,BLZ,2012
18,BRA,Growing cereals n.e.c industry,XEU,2.3353535612810067e-06,BLZ,2012
19,BRA,Growing leguminous crops and oil seeds industry,XEU,8.476398005778876e-05,BLZ,2012
20,BRA,Growing rice industry,XEU,1.0039321555186211e-08,BLZ,2012
21,BRA,"Growing vegetables, roots, tubers industry",XEU,1.8617412400080151e-07,BLZ,2012
22,BRA,Growing sugar beet and cane industry,XEU,1.308837029172031e-05,BLZ,2012
23,BRA,Growing tobacco industry,XEU,6.9648518623690416e-09,BLZ,2012
24,BRA,Growing fibre crops industry,XEU,5.397963051192078e-06,BLZ,2012
25,BRA,Growing crops n.e.c. industry,XEU,6.865885529135941e-07,BLZ,2012
26,BRA,Growing grapes industry,XEU,2.453147734185649e-10,BLZ,2012
27,BRA,Growing fruits and nuts industry,XEU,7.23794050842483e-07,BLZ,2012
28,BRA,"Growing beverage crops (coffee, tea etc) industry",XEU,0.0,BLZ,2012
29,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,0.0,BLZ,2012
30,BRA,Seeds and plant propagation industry,XEU,0.0,BLZ,2012
31,BRA,Raising of cattle industry,XEU,1.809519927476181e-05,BLZ,2012
32,BRA,Growing wheat industry,XAF,2.240397226125038e-07,BLZ,2012
33,BRA,Growing maize industry,XAF,1.6174505925340475e-05,BLZ,2012
34,BRA,Growing cereals n.e.c industry,XAF,2.142912458652901e-07,BLZ,2012
35,BRA,Growing leguminous crops and oil seeds industry,XAF,9.991469858771112e-06,BLZ,2012
36,BRA,Growing rice industry,XAF,9.572055473749635e-10,BLZ,2012
37,BRA,"Growing vegetables, roots, tubers industry",XAF,1.6078857483793057e-08,BLZ,2012
38,BRA,Growing sugar beet and cane industry,XAF,1.1769001538567138e-06,BLZ,2012
39,BRA,Growing tobacco industry,XAF,9.653116888449075e-10,BLZ,2012
40,BRA,Growing fibre crops industry,XAF,7.430898888162909e-07,BLZ,2012
41,BRA,Growing crops n.e.c. industry,XAF,6.485804902069e-08,BLZ,2012
42,BRA,Growing grapes industry,XAF,2.6681168846007283e-11,BLZ,2012
43,BRA,Growing fruits and nuts industry,XAF,7.304517488267916e-08,BLZ,2012
44,BRA,"Growing beverage crops (coffee, tea etc) industry",XAF,0.0,BLZ,2012
45,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAF,0.0,BLZ,2012
46,BRA,Seeds and plant propagation industry,XAF,0.0,BLZ,2012
47,BRA,Raising of cattle industry,XAF,1.8533263356972087e-06,BLZ,2012
48,BRA,Growing wheat industry,XAS,4.0332299276619936e-07,BLZ,2012
49,BRA,Growing maize industry,XAS,1.6692236661452668e-05,BLZ,2012
50,BRA,Growing cereals n.e.c industry,XAS,5.968177527350999e-07,BLZ,2012
51,BRA,Growing leguminous crops and oil seeds industry,XAS,2.5555319150536187e-05,BLZ,2012
52,BRA,Growing rice industry,XAS,3.1405489112787743e-09,BLZ,2012
53,BRA,"Growing vegetables, roots, tubers industry",XAS,6.726676710577479e-08,BLZ,2012
54,BRA,Growing sugar beet and cane industry,XAS,3.4064101249456708e-06,BLZ,2012
55,BRA,Growing tobacco industry,XAS,3.790662328917003e-09,BLZ,2012
56,BRA,Growing fibre crops industry,XAS,2.2185538774173083e-06,BLZ,2012
57,BRA,Growing crops n.e.c. industry,XAS,1.043821800619232e-07,BLZ,2012
58,BRA,Growing grapes industry,XAS,7.880695549988692e-11,BLZ,2012
59,BRA,Growing fruits and nuts industry,XAS,9.623694590480915e-08,BLZ,2012
60,BRA,"Growing beverage crops (coffee, tea etc) industry",XAS,0.0,BLZ,2012
61,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAS,0.0,BLZ,2012
62,BRA,Seeds and plant propagation industry,XAS,0.0,BLZ,2012
63,BRA,Raising of cattle industry,XAS,4.55265997353635e-06,BLZ,2012
64,BRA,Growing wheat industry,AFG,9.929824632100369e-08,BLZ,2012
65,BRA,Growing maize industry,AFG,5.630936160731854e-06,BLZ,2012
66,BRA,Growing cereals n.e.c industry,AFG,2.658903977456376e-07,BLZ,2012
67,BRA,Growing leguminous crops and oil seeds industry,AFG,7.010632666600605e-06,BLZ,2012
68,BRA,Growing rice industry,AFG,4.905959886239717e-10,BLZ,2012
69,BRA,"Growing vegetables, roots, tubers industry",AFG,9.76474096119876e-09,BLZ,2012
70,BRA,Growing sugar beet and cane industry,AFG,2.7922005399835303e-06,BLZ,2012
71,BRA,Growing tobacco industry,AFG,6.901001113948626e-10,BLZ,2012
72,BRA,Growing fibre crops industry,AFG,4.730328966249339e-07,BLZ,2012
73,BRA,Growing crops n.e.c. industry,AFG,3.91396001909474e-08,BLZ,2012
74,BRA,Growing grapes industry,AFG,2.051301273067148e-11,BLZ,2012
75,BRA,Growing fruits and nuts industry,AFG,1.5566723926190136e-08,BLZ,2012
76,BRA,"Growing beverage crops (coffee, tea etc) industry",AFG,0.0,BLZ,2012
77,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",AFG,0.0,BLZ,2012
78,BRA,Seeds and plant propagation industry,AFG,0.0,BLZ,2012
79,BRA,Raising of cattle industry,AFG,1.749524394350642e-06,BLZ,2012
80,BRA,Growing wheat industry,AGO,1.1502554717204203e-06,BLZ,2012
81,BRA,Growing maize industry,AGO,8.139204238183617e-05,BLZ,2012
82,BRA,Growing cereals n.e.c industry,AGO,1.062503117695094e-06,BLZ,2012
83,BRA,Growing leguminous crops and oil seeds industry,AGO,5.720537658280957e-05,BLZ,2012
84,BRA,Growing rice industry,AGO,4.333617266570595e-09,BLZ,2012
85,BRA,"Growing vegetables, roots, tubers industry",AGO,8.389997600364668e-08,BLZ,2012
86,BRA,Growing sugar beet and cane industry,AGO,6.312176355626989e-06,BLZ,2012
87,BRA,Growing tobacco industry,AGO,6.865505661093642e-09,BLZ,2012
88,BRA,Growing fibre crops industry,AGO,4.7588108895425755e-06,BLZ,2012
89,BRA,Growing crops n.e.c. industry,AGO,2.599181691170553e-07,BLZ,2012
90,BRA,Growing grapes industry,AGO,1.551929597584946e-10,BLZ,2012
91,BRA,Growing fruits and nuts industry,AGO,3.606766251349626e-07,BLZ,2012
92,BRA,"Growing beverage crops (coffee, tea etc) industry",AGO,0.0,BLZ,2012
93,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",AGO,0.0,BLZ,2012
94,BRA,Seeds and plant propagation industry,AGO,0.0,BLZ,2012
95,BRA,Raising of cattle industry,AGO,9.068380324733946e-06,BLZ,2012
96,BRA,Growing wheat industry,ALB,8.508512753721326e-08,BLZ,2012
97,BRA,Growing maize industry,ALB,5.949998172780616e-06,BLZ,2012
98,BRA,Growing cereals n.e.c industry,ALB,8.508742353504746e-08,BLZ,2012
99,BRA,Growing leguminous crops and oil seeds industry,ALB,3.612980533786367e-06,BLZ,2012
100,BRA,Growing rice industry,ALB,3.9152984731815327e-10,BLZ,2012
101,BRA,"Growing vegetables, roots, tubers industry",ALB,7.18430092535445e-09,BLZ,2012
102,BRA,Growing sugar beet and cane industry,ALB,5.056044885971763e-07,BLZ,2012
103,BRA,Growing tobacco industry,ALB,3.624046977670093e-10,BLZ,2012
104,BRA,Growing fibre crops industry,ALB,2.445348999445829e-07,BLZ,2012
105,BRA,Growing crops n.e.c. industry,ALB,2.3446762744221e-08,BLZ,2012
106,BRA,Growing grapes industry,ALB,1.0710465666931615e-11,BLZ,2012
107,BRA,Growing fruits and nuts industry,ALB,2.8799775580098214e-08,BLZ,2012
108,BRA,"Growing beverage crops (coffee, tea etc) industry",ALB,0.0,BLZ,2012
109,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",ALB,0.0,BLZ,2012
110,BRA,Seeds and plant propagation industry,ALB,0.0,BLZ,2012
111,BRA,Raising of cattle industry,ALB,7.068407292060861e-07,BLZ,2012
112,BRA,Growing wheat industry,ARE,2.0099948954402276e-06,BLZ,2012
113,BRA,Growing maize industry,ARE,0.00016187373740547334,BLZ,2012
114,BRA,Growing cereals n.e.c industry,ARE,1.8866774047678005e-06,BLZ,2012
115,BRA,Growing leguminous crops and oil seeds industry,ARE,8.767236883833521e-05,BLZ,2012
116,BRA,Growing rice industry,ARE,8.68071216117777e-09,BLZ,2012
117,BRA,"Growing vegetables, roots, tubers industry",ARE,1.6541784579403227e-07,BLZ,2012
118,BRA,Growing sugar beet and cane industry,ARE,1.1002471484151907e-05,BLZ,2012
119,BRA,Growing tobacco industry,ARE,9.150174589739832e-09,BLZ,2012
120,BRA,Growing fibre crops industry,ARE,6.302444691351326e-06,BLZ,2012
121,BRA,Growing crops n.e.c. industry,ARE,5.065544797811059e-07,BLZ,2012
122,BRA,Growing grapes industry,ARE,2.3163511462526624e-10,BLZ,2012
123,BRA,Growing fruits and nuts industry,ARE,7.140360229648576e-07,BLZ,2012
124,BRA,"Growing beverage crops (coffee, tea etc) industry",ARE,0.0,BLZ,2012
125,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",ARE,0.0,BLZ,2012
126,BRA,Seeds and plant propagation industry,ARE,0.0,BLZ,2012
127,BRA,Raising of cattle industry,ARE,1.5967797591299713e-05,BLZ,2012
128,BRA,Growing wheat industry,ARG,7.935723649298293e-07,BLZ,2012
129,BRA,Growing maize industry,ARG,4.674039425736857e-05,BLZ,2012
130,BRA,Growing cereals n.e.c industry,ARG,8.899400541639816e-07,BLZ,2012
131,BRA,Growing leguminous crops and oil seeds industry,ARG,4.995345070691715e-05,BLZ,2012
132,BRA,Growing rice industry,ARG,3.738822835261168e-09,BLZ,2012
133,BRA,"Growing vegetables, roots, tubers industry",ARG,8.473191456326705e-08,BLZ,2012
134,BRA,Growing sugar beet and cane industry,ARG,4.914653077402258e-06,BLZ,2012
135,BRA,Growing tobacco industry,ARG,5.855789424679039e-09,BLZ,2012
136,BRA,Growing fibre crops industry,ARG,5.054245455854828e-06,BLZ,2012
137,BRA,Growing crops n.e.c. industry,ARG,2.0581215589282537e-07,BLZ,2012
138,BRA,Growing grapes industry,ARG,1.248572812759639e-10,BLZ,2012
139,BRA,Growing fruits and nuts industry,ARG,1.9916316384814346e-07,BLZ,2012
140,BRA,"Growing beverage crops (coffee, tea etc) industry",ARG,0.0,BLZ,2012
141,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",ARG,0.0,BLZ,2012
142,BRA,Seeds and plant propagation industry,ARG,0.0,BLZ,2012
143,BRA,Raising of cattle industry,ARG,6.815491897836392e-06,BLZ,2012
144,BRA,Growing wheat industry,ARM,1.6263288728203723e-07,BLZ,2012
145,BRA,Growing maize industry,ARM,1.2020105803169852e-05,BLZ,2012
146,BRA,Growing cereals n.e.c industry,ARM,1.3162632976010129e-07,BLZ,2012
147,BRA,Growing leguminous crops and oil seeds industry,ARM,5.7239080381913855e-06,BLZ,2012
148,BRA,Growing rice industry,ARM,6.905228713965513e-10,BLZ,2012
149,BRA,"Growing vegetables, roots, tubers industry",ARM,1.3847956479619005e-08,BLZ,2012
150,BRA,Growing sugar beet and cane industry,ARM,6.966323369980958e-07,BLZ,2012
151,BRA,Growing tobacco industry,ARM,6.615997675817272e-10,BLZ,2012
152,BRA,Growing fibre crops industry,ARM,4.420232028251391e-07,BLZ,2012
153,BRA,Growing crops n.e.c. industry,ARM,4.1611635236882314e-08,BLZ,2012
154,BRA,Growing grapes industry,ARM,2.7145823551119976e-11,BLZ,2012
155,BRA,Growing fruits and nuts industry,ARM,4.179573191261962e-08,BLZ,2012
156,BRA,"Growing beverage crops (coffee, tea etc) industry",ARM,0.0,BLZ,2012
