,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,BRA,Growing wheat industry,XAM,0.0017760035113061979,GBR,2012
1,BRA,Growing maize industry,XAM,0.11233269682535477,GBR,2012
2,BRA,Growing cereals n.e.c industry,XAM,0.0025362615133517645,GBR,2012
3,BRA,Growing leguminous crops and oil seeds industry,XAM,0.4839987902930398,GBR,2012
4,BRA,Growing rice industry,XAM,8.72277751067257e-06,GBR,2012
5,BRA,"Growing vegetables, roots, tubers industry",XAM,6.626035366891516e-05,GBR,2012
6,BRA,Growing sugar beet and cane industry,XAM,0.01748033800498714,GBR,2012
7,BRA,Growing tobacco industry,XAM,7.066466905506411e-06,GBR,2012
8,BRA,Growing fibre crops industry,XAM,0.0064591953732510785,GBR,2012
9,BRA,Growing crops n.e.c. industry,XAM,0.0009932323907528822,GBR,2012
10,BRA,Growing grapes industry,XAM,3.8396437664517403e-07,GBR,2012
11,BRA,Growing fruits and nuts industry,XAM,0.011501794374619347,GBR,2012
12,BRA,"Growing beverage crops (coffee, tea etc) industry",XAM,0.0,GBR,2012
13,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,0.0,GBR,2012
14,BRA,Seeds and plant propagation industry,XAM,0.0,GBR,2012
15,BRA,Raising of cattle industry,XAM,0.020386352382338758,GBR,2012
16,BRA,Growing wheat industry,XEU,0.0010629120488731029,GBR,2012
17,BRA,Growing maize industry,XEU,0.015580809832872475,GBR,2012
18,BRA,Growing cereals n.e.c industry,XEU,0.0007132023438766474,GBR,2012
19,BRA,Growing leguminous crops and oil seeds industry,XEU,0.14135836671155394,GBR,2012
20,BRA,Growing rice industry,XEU,5.038660830960213e-06,GBR,2012
21,BRA,"Growing vegetables, roots, tubers industry",XEU,1.720430903845222e-05,GBR,2012
22,BRA,Growing sugar beet and cane industry,XEU,0.0029435180126626682,GBR,2012
23,BRA,Growing tobacco industry,XEU,3.9253743956079385e-06,GBR,2012
24,BRA,Growing fibre crops industry,XEU,0.0037615836542533535,GBR,2012
25,BRA,Growing crops n.e.c. industry,XEU,0.00021149006961754984,GBR,2012
26,BRA,Growing grapes industry,XEU,1.4772329104158953e-07,GBR,2012
27,BRA,Growing fruits and nuts industry,XEU,0.0006273864316484782,GBR,2012
28,BRA,"Growing beverage crops (coffee, tea etc) industry",XEU,0.0,GBR,2012
29,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,0.0,GBR,2012
30,BRA,Seeds and plant propagation industry,XEU,0.0,GBR,2012
31,BRA,Raising of cattle industry,XEU,0.004804476996518346,GBR,2012
32,BRA,Growing wheat industry,XAF,0.0003057650959792722,GBR,2012
33,BRA,Growing maize industry,XAF,0.006878282127402046,GBR,2012
34,BRA,Growing cereals n.e.c industry,XAF,0.00039093745544823414,GBR,2012
35,BRA,Growing leguminous crops and oil seeds industry,XAF,0.0741895666314586,GBR,2012
36,BRA,Growing rice industry,XAF,1.8566377100420244e-06,GBR,2012
37,BRA,"Growing vegetables, roots, tubers industry",XAF,9.76014844450331e-06,GBR,2012
38,BRA,Growing sugar beet and cane industry,XAF,0.0017008193128011386,GBR,2012
39,BRA,Growing tobacco industry,XAF,1.611845156510366e-06,GBR,2012
40,BRA,Growing fibre crops industry,XAF,0.0013750218760938237,GBR,2012
41,BRA,Growing crops n.e.c. industry,XAF,0.00013550576435377421,GBR,2012
42,BRA,Growing grapes industry,XAF,7.929971976310597e-08,GBR,2012
43,BRA,Growing fruits and nuts industry,XAF,0.0005287199638948601,GBR,2012
44,BRA,"Growing beverage crops (coffee, tea etc) industry",XAF,0.0,GBR,2012
45,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAF,0.0,GBR,2012
46,BRA,Seeds and plant propagation industry,XAF,0.0,GBR,2012
47,BRA,Raising of cattle industry,XAF,0.0027164103059972816,GBR,2012
48,BRA,Growing wheat industry,XAS,0.0002451242098305206,GBR,2012
49,BRA,Growing maize industry,XAS,0.0050672437910255315,GBR,2012
50,BRA,Growing cereals n.e.c industry,XAS,0.0003078608623078363,GBR,2012
51,BRA,Growing leguminous crops and oil seeds industry,XAS,0.05907906003284659,GBR,2012
52,BRA,Growing rice industry,XAS,1.3463814800845242e-06,GBR,2012
53,BRA,"Growing vegetables, roots, tubers industry",XAS,7.147189529576761e-06,GBR,2012
54,BRA,Growing sugar beet and cane industry,XAS,0.0012653264213671417,GBR,2012
55,BRA,Growing tobacco industry,XAS,1.2097725348496479e-06,GBR,2012
56,BRA,Growing fibre crops industry,XAS,0.0010320721506023574,GBR,2012
57,BRA,Growing crops n.e.c. industry,XAS,0.0001197440507573491,GBR,2012
58,BRA,Growing grapes industry,XAS,5.803936965547606e-08,GBR,2012
59,BRA,Growing fruits and nuts industry,XAS,0.0004043321719261748,GBR,2012
60,BRA,"Growing beverage crops (coffee, tea etc) industry",XAS,0.0,GBR,2012
61,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAS,0.0,GBR,2012
62,BRA,Seeds and plant propagation industry,XAS,0.0,GBR,2012
63,BRA,Raising of cattle industry,XAS,0.0021273445740952685,GBR,2012
