,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,BRA,Growing wheat industry,XAM,2.6156313142179523e-05,SLV,2012
1,BRA,Growing maize industry,XAM,0.0005525689213276438,SLV,2012
2,BRA,Growing cereals n.e.c industry,XAM,0.00015604977013706605,SLV,2012
3,BRA,Growing leguminous crops and oil seeds industry,XAM,0.003718666115288038,SLV,2012
4,BRA,Growing rice industry,XAM,8.395065681608274e-08,SLV,2012
5,BRA,"Growing vegetables, roots, tubers industry",XAM,8.361939400356992e-07,SLV,2012
6,BRA,Growing sugar beet and cane industry,XAM,0.0005921526699666457,SLV,2012
7,BRA,Growing tobacco industry,XAM,5.435454162830931e-07,SLV,2012
8,BRA,Growing fibre crops industry,XAM,0.00021141645011927952,SLV,2012
9,BRA,Growing crops n.e.c. industry,XAM,5.2036639546668785e-06,SLV,2012
10,BRA,Growing grapes industry,XAM,6.491356965346881e-09,SLV,2012
11,BRA,Growing fruits and nuts industry,XAM,2.3974328817954316e-06,SLV,2012
12,BRA,"Growing beverage crops (coffee, tea etc) industry",XAM,0.0,SLV,2012
13,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,0.0,SLV,2012
14,BRA,Seeds and plant propagation industry,XAM,0.0,SLV,2012
15,BRA,Raising of cattle industry,XAM,0.0009051845772406413,SLV,2012
16,BRA,Growing wheat industry,XEU,2.407041701659282e-06,SLV,2012
17,BRA,Growing maize industry,XEU,4.7650186705291045e-05,SLV,2012
18,BRA,Growing cereals n.e.c industry,XEU,1.4298090219616868e-05,SLV,2012
19,BRA,Growing leguminous crops and oil seeds industry,XEU,0.00040611156305698294,SLV,2012
20,BRA,Growing rice industry,XEU,7.201034191735658e-09,SLV,2012
21,BRA,"Growing vegetables, roots, tubers industry",XEU,8.01022361226227e-08,SLV,2012
22,BRA,Growing sugar beet and cane industry,XEU,5.5109117936625855e-05,SLV,2012
23,BRA,Growing tobacco industry,XEU,4.415185424561365e-08,SLV,2012
24,BRA,Growing fibre crops industry,XEU,2.350141339563833e-05,SLV,2012
25,BRA,Growing crops n.e.c. industry,XEU,4.147486785614824e-07,SLV,2012
26,BRA,Growing grapes industry,XEU,6.968909729271629e-10,SLV,2012
27,BRA,Growing fruits and nuts industry,XEU,2.1933330249226088e-07,SLV,2012
28,BRA,"Growing beverage crops (coffee, tea etc) industry",XEU,0.0,SLV,2012
29,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,0.0,SLV,2012
30,BRA,Seeds and plant propagation industry,XEU,0.0,SLV,2012
31,BRA,Raising of cattle industry,XEU,9.686148818279733e-05,SLV,2012
32,BRA,Growing wheat industry,XAF,3.4410625576983203e-07,SLV,2012
33,BRA,Growing maize industry,XAF,7.297244740684813e-06,SLV,2012
34,BRA,Growing cereals n.e.c industry,XAF,1.4150683882532932e-06,SLV,2012
35,BRA,Growing leguminous crops and oil seeds industry,XAF,5.595569980469833e-05,SLV,2012
36,BRA,Growing rice industry,XAF,1.0106931921248162e-09,SLV,2012
37,BRA,"Growing vegetables, roots, tubers industry",XAF,1.3023884916413579e-08,SLV,2012
38,BRA,Growing sugar beet and cane industry,XAF,4.942612331742501e-06,SLV,2012
39,BRA,Growing tobacco industry,XAF,1.0114566496588284e-08,SLV,2012
40,BRA,Growing fibre crops industry,XAF,3.908924546088055e-06,SLV,2012
41,BRA,Growing crops n.e.c. industry,XAF,7.323857071246636e-08,SLV,2012
42,BRA,Growing grapes industry,XAF,1.0237166942043731e-10,SLV,2012
43,BRA,Growing fruits and nuts industry,XAF,3.2641380482697e-08,SLV,2012
44,BRA,"Growing beverage crops (coffee, tea etc) industry",XAF,0.0,SLV,2012
45,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAF,0.0,SLV,2012
46,BRA,Seeds and plant propagation industry,XAF,0.0,SLV,2012
47,BRA,Raising of cattle industry,XAF,8.387787709507159e-06,SLV,2012
48,BRA,Growing wheat industry,XAS,6.206660131027041e-07,SLV,2012
49,BRA,Growing maize industry,XAS,1.1752134083353538e-05,SLV,2012
50,BRA,Growing cereals n.e.c industry,XAS,3.681628592886654e-06,SLV,2012
51,BRA,Growing leguminous crops and oil seeds industry,XAS,0.00012100086173513083,SLV,2012
52,BRA,Growing rice industry,XAS,1.5553007063197436e-09,SLV,2012
53,BRA,"Growing vegetables, roots, tubers industry",XAS,2.1398106184025546e-08,SLV,2012
54,BRA,Growing sugar beet and cane industry,XAS,1.1841065116101295e-05,SLV,2012
55,BRA,Growing tobacco industry,XAS,1.4707846807062146e-08,SLV,2012
56,BRA,Growing fibre crops industry,XAS,6.917426479476073e-06,SLV,2012
57,BRA,Growing crops n.e.c. industry,XAS,1.1203969353805208e-07,SLV,2012
58,BRA,Growing grapes industry,XAS,1.765776779933886e-10,SLV,2012
59,BRA,Growing fruits and nuts industry,XAS,5.128395370719476e-08,SLV,2012
60,BRA,"Growing beverage crops (coffee, tea etc) industry",XAS,0.0,SLV,2012
61,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAS,0.0,SLV,2012
62,BRA,Seeds and plant propagation industry,XAS,0.0,SLV,2012
63,BRA,Raising of cattle industry,XAS,1.8205287584671727e-05,SLV,2012
64,BRA,Growing wheat industry,AFG,1.6346545095591962e-07,SLV,2012
65,BRA,Growing maize industry,AFG,3.50500704618693e-06,SLV,2012
66,BRA,Growing cereals n.e.c industry,AFG,6.475496053453834e-07,SLV,2012
67,BRA,Growing leguminous crops and oil seeds industry,AFG,2.3747196649916662e-05,SLV,2012
68,BRA,Growing rice industry,AFG,4.350544421392375e-10,SLV,2012
