,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,BRA,Growing wheat industry,XAM,9.201255810867179e-05,AFG,2013
1,BRA,Growing maize industry,XAM,0.000295273601107725,AFG,2013
2,BRA,Growing cereals n.e.c industry,XAM,5.934115993530888e-07,AFG,2013
3,BRA,Growing leguminous crops and oil seeds industry,XAM,8.929422268690901e-05,AFG,2013
4,BRA,Growing rice industry,XAM,0.0,AFG,2013
5,BRA,"Growing vegetables, roots, tubers industry",XAM,6.227443813425396e-08,AFG,2013
6,BRA,Growing sugar beet and cane industry,XAM,3.594743757534404e-06,AFG,2013
7,BRA,Growing tobacco industry,XAM,2.830040382918796e-08,AFG,2013
8,BRA,Growing fibre crops industry,XAM,1.5736190096575734e-06,AFG,2013
9,BRA,Growing crops n.e.c. industry,XAM,9.568724695975936e-08,AFG,2013
10,BRA,Growing grapes industry,XAM,6.41497265112326e-11,AFG,2013
11,BRA,Growing fruits and nuts industry,XAM,0.0,AFG,2013
12,BRA,"Growing beverage crops (coffee, tea etc) industry",XAM,0.0,AFG,2013
13,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,4.99495020112808e-10,AFG,2013
14,BRA,Seeds and plant propagation industry,XAM,0.0,AFG,2013
15,BRA,Raising of cattle industry,XAM,4.906639784824767e-06,AFG,2013
16,BRA,Growing wheat industry,XEU,1.87650208633601e-05,AFG,2013
17,BRA,Growing maize industry,XEU,7.2867948823716e-05,AFG,2013
18,BRA,Growing cereals n.e.c industry,XEU,2.2178646602867153e-07,AFG,2013
19,BRA,Growing leguminous crops and oil seeds industry,XEU,5.2394286422783915e-05,AFG,2013
20,BRA,Growing rice industry,XEU,0.0,AFG,2013
21,BRA,"Growing vegetables, roots, tubers industry",XEU,2.1222867104764487e-08,AFG,2013
22,BRA,Growing sugar beet and cane industry,XEU,1.2930506365534651e-06,AFG,2013
23,BRA,Growing tobacco industry,XEU,1.4812774310952792e-08,AFG,2013
24,BRA,Growing fibre crops industry,XEU,7.013681990828055e-07,AFG,2013
25,BRA,Growing crops n.e.c. industry,XEU,3.438264540441075e-08,AFG,2013
26,BRA,Growing grapes industry,XEU,2.6475973276049387e-11,AFG,2013
27,BRA,Growing fruits and nuts industry,XEU,0.0,AFG,2013
28,BRA,"Growing beverage crops (coffee, tea etc) industry",XEU,0.0,AFG,2013
29,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,1.847066294843759e-10,AFG,2013
30,BRA,Seeds and plant propagation industry,XEU,0.0,AFG,2013
31,BRA,Raising of cattle industry,XEU,1.5935710144190663e-06,AFG,2013
32,BRA,Growing wheat industry,XAF,3.8603380203094285e-05,AFG,2013
33,BRA,Growing maize industry,XAF,0.0002075908270640617,AFG,2013
34,BRA,Growing cereals n.e.c industry,XAF,4.2696183623070975e-07,AFG,2013
35,BRA,Growing leguminous crops and oil seeds industry,XAF,6.952494275629667e-05,AFG,2013
36,BRA,Growing rice industry,XAF,0.0,AFG,2013
37,BRA,"Growing vegetables, roots, tubers industry",XAF,3.052419500878342e-08,AFG,2013
38,BRA,Growing sugar beet and cane industry,XAF,2.2963412432938443e-06,AFG,2013
39,BRA,Growing tobacco industry,XAF,1.831077233206373e-08,AFG,2013
40,BRA,Growing fibre crops industry,XAF,9.404339499283219e-07,AFG,2013
41,BRA,Growing crops n.e.c. industry,XAF,1.4171379979253133e-07,AFG,2013
42,BRA,Growing grapes industry,XAF,4.212500440350111e-11,AFG,2013
43,BRA,Growing fruits and nuts industry,XAF,0.0,AFG,2013
44,BRA,"Growing beverage crops (coffee, tea etc) industry",XAF,0.0,AFG,2013
45,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAF,2.5369069678119745e-10,AFG,2013
46,BRA,Seeds and plant propagation industry,XAF,0.0,AFG,2013
47,BRA,Raising of cattle industry,XAF,3.882682630895674e-06,AFG,2013
48,BRA,Growing wheat industry,XAS,5.021029880700487e-05,AFG,2013
49,BRA,Growing maize industry,XAS,0.0003175986507373009,AFG,2013
50,BRA,Growing cereals n.e.c industry,XAS,3.3768249079018753e-07,AFG,2013
51,BRA,Growing leguminous crops and oil seeds industry,XAS,7.042557049386428e-05,AFG,2013
52,BRA,Growing rice industry,XAS,0.0,AFG,2013
