,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,BRA,Growing wheat industry,XAM,3.318282499864203e-06,BDI,2013
1,BRA,Growing maize industry,XAM,1.792006142034406e-06,BDI,2013
2,BRA,Growing cereals n.e.c industry,XAM,4.920979032027088e-08,BDI,2013
3,BRA,Growing leguminous crops and oil seeds industry,XAM,5.2801033428004335e-06,BDI,2013
4,BRA,Growing rice industry,XAM,0.0,BDI,2013
5,BRA,"Growing vegetables, roots, tubers industry",XAM,9.76003123521951e-09,BDI,2013
6,BRA,Growing sugar beet and cane industry,XAM,2.0828397526629882e-07,BDI,2013
7,BRA,Growing tobacco industry,XAM,1.7750857828380798e-09,BDI,2013
8,BRA,Growing fibre crops industry,XAM,1.5705177753520585e-07,BDI,2013
9,BRA,Growing crops n.e.c. industry,XAM,6.902092508421787e-09,BDI,2013
10,BRA,Growing grapes industry,XAM,7.18310556045378e-12,BDI,2013
11,BRA,Growing fruits and nuts industry,XAM,0.0,BDI,2013
12,BRA,"Growing beverage crops (coffee, tea etc) industry",XAM,0.0,BDI,2013
13,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,1.9683088850895308e-11,BDI,2013
14,BRA,Seeds and plant propagation industry,XAM,0.0,BDI,2013
15,BRA,Raising of cattle industry,XAM,2.9952422772360686e-07,BDI,2013
16,BRA,Growing wheat industry,XEU,2.1208782135726167e-06,BDI,2013
17,BRA,Growing maize industry,XEU,9.988583195231531e-07,BDI,2013
18,BRA,Growing cereals n.e.c industry,XEU,3.1902206917569586e-08,BDI,2013
19,BRA,Growing leguminous crops and oil seeds industry,XEU,3.358044626310294e-06,BDI,2013
20,BRA,Growing rice industry,XEU,0.0,BDI,2013
21,BRA,"Growing vegetables, roots, tubers industry",XEU,6.665156989366971e-09,BDI,2013
22,BRA,Growing sugar beet and cane industry,XEU,1.426267045320237e-07,BDI,2013
23,BRA,Growing tobacco industry,XEU,1.0822349845497696e-09,BDI,2013
24,BRA,Growing fibre crops industry,XEU,9.342163294437121e-08,BDI,2013
25,BRA,Growing crops n.e.c. industry,XEU,4.103514700897331e-09,BDI,2013
26,BRA,Growing grapes industry,XEU,4.739953622336679e-12,BDI,2013
27,BRA,Growing fruits and nuts industry,XEU,0.0,BDI,2013
28,BRA,"Growing beverage crops (coffee, tea etc) industry",XEU,0.0,BDI,2013
29,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,1.3604234287167991e-11,BDI,2013
30,BRA,Seeds and plant propagation industry,XEU,0.0,BDI,2013
31,BRA,Raising of cattle industry,XEU,1.7988979518667717e-07,BDI,2013
32,BRA,Growing wheat industry,XAF,4.535314034271838e-06,BDI,2013
33,BRA,Growing maize industry,XAF,3.536198841739038e-06,BDI,2013
34,BRA,Growing cereals n.e.c industry,XAF,1.8496420026699407e-07,BDI,2013
35,BRA,Growing leguminous crops and oil seeds industry,XAF,1.3134107500230744e-05,BDI,2013
36,BRA,Growing rice industry,XAF,0.0,BDI,2013
37,BRA,"Growing vegetables, roots, tubers industry",XAF,1.6256810261145658e-08,BDI,2013
38,BRA,Growing sugar beet and cane industry,XAF,6.853900739810615e-07,BDI,2013
39,BRA,Growing tobacco industry,XAF,4.002736386933139e-09,BDI,2013
40,BRA,Growing fibre crops industry,XAF,2.9331898010782744e-07,BDI,2013
41,BRA,Growing crops n.e.c. industry,XAF,1.6742919958282642e-08,BDI,2013
42,BRA,Growing grapes industry,XAF,1.4082077973464226e-11,BDI,2013
43,BRA,Growing fruits and nuts industry,XAF,0.0,BDI,2013
44,BRA,"Growing beverage crops (coffee, tea etc) industry",XAF,0.0,BDI,2013
45,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAF,4.5314139181840615e-11,BDI,2013
46,BRA,Seeds and plant propagation industry,XAF,0.0,BDI,2013
47,BRA,Raising of cattle industry,XAF,1.0259558563586665e-06,BDI,2013
48,BRA,Growing wheat industry,XAS,4.190080269856902e-06,BDI,2013
49,BRA,Growing maize industry,XAS,3.6993875886495226e-06,BDI,2013
50,BRA,Growing cereals n.e.c industry,XAS,9.075746878449207e-08,BDI,2013
51,BRA,Growing leguminous crops and oil seeds industry,XAS,9.488543340300447e-06,BDI,2013
52,BRA,Growing rice industry,XAS,0.0,BDI,2013
53,BRA,"Growing vegetables, roots, tubers industry",XAS,2.645352450616084e-08,BDI,2013
