,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,BRA,Growing wheat industry,XAM,0.0039129641728030875,CHL,2013
1,BRA,Growing maize industry,XAM,0.007225124836203757,CHL,2013
2,BRA,Growing cereals n.e.c industry,XAM,0.003165301815770605,CHL,2013
3,BRA,Growing leguminous crops and oil seeds industry,XAM,0.04318798880766005,CHL,2013
4,BRA,Growing rice industry,XAM,0.0,CHL,2013
5,BRA,"Growing vegetables, roots, tubers industry",XAM,1.0581504564559578e-05,CHL,2013
6,BRA,Growing sugar beet and cane industry,XAM,0.009505281279977676,CHL,2013
7,BRA,Growing tobacco industry,XAM,5.844262882006547e-05,CHL,2013
8,BRA,Growing fibre crops industry,XAM,0.0012690942353908938,CHL,2013
9,BRA,Growing crops n.e.c. industry,XAM,0.001336087350182665,CHL,2013
10,BRA,Growing grapes industry,XAM,1.3639032172215279e-08,CHL,2013
11,BRA,Growing fruits and nuts industry,XAM,0.0,CHL,2013
12,BRA,"Growing beverage crops (coffee, tea etc) industry",XAM,0.0,CHL,2013
13,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,4.7722802938696636e-06,CHL,2013
14,BRA,Seeds and plant propagation industry,XAM,0.0,CHL,2013
15,BRA,Raising of cattle industry,XAM,0.02742136708320263,CHL,2013
16,BRA,Growing wheat industry,XEU,0.00022591781173849436,CHL,2013
17,BRA,Growing maize industry,XEU,0.0004339077070615123,CHL,2013
18,BRA,Growing cereals n.e.c industry,XEU,0.00021930500830652194,CHL,2013
19,BRA,Growing leguminous crops and oil seeds industry,XEU,0.003451656124047428,CHL,2013
20,BRA,Growing rice industry,XEU,0.0,CHL,2013
21,BRA,"Growing vegetables, roots, tubers industry",XEU,1.0024532095008569e-06,CHL,2013
22,BRA,Growing sugar beet and cane industry,XEU,0.0006050269112592783,CHL,2013
23,BRA,Growing tobacco industry,XEU,1.8530495762223e-06,CHL,2013
24,BRA,Growing fibre crops industry,XEU,0.00016043593089279598,CHL,2013
25,BRA,Growing crops n.e.c. industry,XEU,0.00013605348606546242,CHL,2013
26,BRA,Growing grapes industry,XEU,1.084788881544587e-09,CHL,2013
27,BRA,Growing fruits and nuts industry,XEU,0.0,CHL,2013
28,BRA,"Growing beverage crops (coffee, tea etc) industry",XEU,0.0,CHL,2013
29,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,1.8440364764764404e-07,CHL,2013
30,BRA,Seeds and plant propagation industry,XEU,0.0,CHL,2013
31,BRA,Raising of cattle industry,XEU,0.0013101329884283675,CHL,2013
32,BRA,Growing wheat industry,XAF,0.00025830914225148064,CHL,2013
33,BRA,Growing maize industry,XAF,0.0005262651072677449,CHL,2013
34,BRA,Growing cereals n.e.c industry,XAF,0.0002881808380650321,CHL,2013
35,BRA,Growing leguminous crops and oil seeds industry,XAF,0.004430113579341399,CHL,2013
36,BRA,Growing rice industry,XAF,0.0,CHL,2013
37,BRA,"Growing vegetables, roots, tubers industry",XAF,1.1401109547384588e-06,CHL,2013
38,BRA,Growing sugar beet and cane industry,XAF,0.0008066306721437695,CHL,2013
39,BRA,Growing tobacco industry,XAF,2.0505709909733754e-06,CHL,2013
40,BRA,Growing fibre crops industry,XAF,0.00024622776114387326,CHL,2013
41,BRA,Growing crops n.e.c. industry,XAF,0.0001680709840364835,CHL,2013
42,BRA,Growing grapes industry,XAF,1.4239485499591342e-09,CHL,2013
43,BRA,Growing fruits and nuts industry,XAF,0.0,CHL,2013
44,BRA,"Growing beverage crops (coffee, tea etc) industry",XAF,0.0,CHL,2013
45,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAF,1.7013662142066813e-07,CHL,2013
46,BRA,Seeds and plant propagation industry,XAF,0.0,CHL,2013
47,BRA,Raising of cattle industry,XAF,0.0015674842217526955,CHL,2013
48,BRA,Growing wheat industry,XAS,0.0010473742709350478,CHL,2013
49,BRA,Growing maize industry,XAS,0.0020511789669497194,CHL,2013
50,BRA,Growing cereals n.e.c industry,XAS,0.0013411621169166837,CHL,2013
51,BRA,Growing leguminous crops and oil seeds industry,XAS,0.014489312624248933,CHL,2013
52,BRA,Growing rice industry,XAS,0.0,CHL,2013
53,BRA,"Growing vegetables, roots, tubers industry",XAS,2.8580075141302867e-06,CHL,2013
54,BRA,Growing sugar beet and cane industry,XAS,0.003917335081455164,CHL,2013
55,BRA,Growing tobacco industry,XAS,3.2428951843626544e-06,CHL,2013
56,BRA,Growing fibre crops industry,XAS,0.00034870491247072834,CHL,2013
57,BRA,Growing crops n.e.c. industry,XAS,0.0005919660066171825,CHL,2013
58,BRA,Growing grapes industry,XAS,3.15193012581667e-09,CHL,2013
59,BRA,Growing fruits and nuts industry,XAS,0.0,CHL,2013
60,BRA,"Growing beverage crops (coffee, tea etc) industry",XAS,0.0,CHL,2013
61,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAS,9.532143266613641e-07,CHL,2013
62,BRA,Seeds and plant propagation industry,XAS,0.0,CHL,2013
63,BRA,Raising of cattle industry,XAS,0.005958355714150412,CHL,2013
64,BRA,Growing wheat industry,AFG,5.4843347441442956e-05,CHL,2013
65,BRA,Growing maize industry,AFG,0.00011632751767557996,CHL,2013
