,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,BRA,Growing wheat industry,XAM,1.8746836914150635e-05,GMB,2013
1,BRA,Growing maize industry,XAM,2.4369360332521003e-05,GMB,2013
2,BRA,Growing cereals n.e.c industry,XAM,5.738901135112564e-07,GMB,2013
3,BRA,Growing leguminous crops and oil seeds industry,XAM,5.7203302158123345e-05,GMB,2013
4,BRA,Growing rice industry,XAM,0.0,GMB,2013
5,BRA,"Growing vegetables, roots, tubers industry",XAM,2.766432746995512e-08,GMB,2013
6,BRA,Growing sugar beet and cane industry,XAM,2.042171688918848e-06,GMB,2013
7,BRA,Growing tobacco industry,XAM,5.314366762317944e-09,GMB,2013
8,BRA,Growing fibre crops industry,XAM,4.919242456588044e-07,GMB,2013
9,BRA,Growing crops n.e.c. industry,XAM,1.7707965351306e-07,GMB,2013
10,BRA,Growing grapes industry,XAM,2.8622570334104296e-11,GMB,2013
11,BRA,Growing fruits and nuts industry,XAM,0.0,GMB,2013
12,BRA,"Growing beverage crops (coffee, tea etc) industry",XAM,0.0,GMB,2013
13,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,2.6976395456097672e-08,GMB,2013
14,BRA,Seeds and plant propagation industry,XAM,0.0,GMB,2013
15,BRA,Raising of cattle industry,XAM,2.2885497892630544e-06,GMB,2013
16,BRA,Growing wheat industry,XEU,2.9850834683626243e-05,GMB,2013
17,BRA,Growing maize industry,XEU,8.390915662528524e-05,GMB,2013
18,BRA,Growing cereals n.e.c industry,XEU,1.327866497617097e-06,GMB,2013
19,BRA,Growing leguminous crops and oil seeds industry,XEU,0.00013197778505597387,GMB,2013
20,BRA,Growing rice industry,XEU,0.0,GMB,2013
21,BRA,"Growing vegetables, roots, tubers industry",XEU,3.715600727348891e-08,GMB,2013
22,BRA,Growing sugar beet and cane industry,XEU,4.728644667376091e-06,GMB,2013
23,BRA,Growing tobacco industry,XEU,7.253862990419421e-09,GMB,2013
24,BRA,Growing fibre crops industry,XEU,1.333526384597114e-06,GMB,2013
25,BRA,Growing crops n.e.c. industry,XEU,3.18594844683608e-07,GMB,2013
26,BRA,Growing grapes industry,XEU,3.7368668981179796e-11,GMB,2013
27,BRA,Growing fruits and nuts industry,XEU,0.0,GMB,2013
28,BRA,"Growing beverage crops (coffee, tea etc) industry",XEU,0.0,GMB,2013
29,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,2.5389436859856574e-09,GMB,2013
30,BRA,Seeds and plant propagation industry,XEU,0.0,GMB,2013
31,BRA,Raising of cattle industry,XEU,4.52496654551214e-06,GMB,2013
32,BRA,Growing wheat industry,XAF,0.00013556667513865255,GMB,2013
33,BRA,Growing maize industry,XAF,0.0002710371492800587,GMB,2013
34,BRA,Growing cereals n.e.c industry,XAF,5.733600139204278e-06,GMB,2013
35,BRA,Growing leguminous crops and oil seeds industry,XAF,0.0006480685088991169,GMB,2013
36,BRA,Growing rice industry,XAF,0.0,GMB,2013
37,BRA,"Growing vegetables, roots, tubers industry",XAF,4.4013653669569596e-07,GMB,2013
38,BRA,Growing sugar beet and cane industry,XAF,1.9955095105208933e-05,GMB,2013
39,BRA,Growing tobacco industry,XAF,7.681389393800586e-08,GMB,2013
40,BRA,Growing fibre crops industry,XAF,9.256267660609755e-06,GMB,2013
41,BRA,Growing crops n.e.c. industry,XAF,1.712368346009211e-06,GMB,2013
42,BRA,Growing grapes industry,XAF,5.997803302865954e-10,GMB,2013
43,BRA,Growing fruits and nuts industry,XAF,0.0,GMB,2013
44,BRA,"Growing beverage crops (coffee, tea etc) industry",XAF,0.0,GMB,2013
45,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAF,2.733331594986758e-09,GMB,2013
46,BRA,Seeds and plant propagation industry,XAF,0.0,GMB,2013
47,BRA,Raising of cattle industry,XAF,2.333771660526391e-05,GMB,2013
48,BRA,Growing wheat industry,XAS,2.8556691011860585e-05,GMB,2013
49,BRA,Growing maize industry,XAS,4.144242061658241e-05,GMB,2013
50,BRA,Growing cereals n.e.c industry,XAS,8.91432701173543e-07,GMB,2013
51,BRA,Growing leguminous crops and oil seeds industry,XAS,9.717599577618859e-05,GMB,2013
52,BRA,Growing rice industry,XAS,0.0,GMB,2013
53,BRA,"Growing vegetables, roots, tubers industry",XAS,7.243671601853533e-08,GMB,2013
54,BRA,Growing sugar beet and cane industry,XAS,3.1268549449822187e-06,GMB,2013
55,BRA,Growing tobacco industry,XAS,1.1507967845261053e-08,GMB,2013
56,BRA,Growing fibre crops industry,XAS,1.3285470044798926e-06,GMB,2013
57,BRA,Growing crops n.e.c. industry,XAS,2.1536410293892048e-07,GMB,2013
58,BRA,Growing grapes industry,XAS,6.18682290635701e-11,GMB,2013
59,BRA,Growing fruits and nuts industry,XAS,0.0,GMB,2013
60,BRA,"Growing beverage crops (coffee, tea etc) industry",XAS,0.0,GMB,2013
61,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAS,1.198142067130528e-10,GMB,2013
62,BRA,Seeds and plant propagation industry,XAS,0.0,GMB,2013
63,BRA,Raising of cattle industry,XAS,3.3378870316770884e-06,GMB,2013
64,BRA,Growing wheat industry,AFG,9.382750432795293e-07,GMB,2013
65,BRA,Growing maize industry,AFG,2.2589834719666e-06,GMB,2013
66,BRA,Growing cereals n.e.c industry,AFG,5.944357636993778e-08,GMB,2013
67,BRA,Growing leguminous crops and oil seeds industry,AFG,5.348245806163004e-06,GMB,2013
68,BRA,Growing rice industry,AFG,0.0,GMB,2013
69,BRA,"Growing vegetables, roots, tubers industry",AFG,7.3953679037186426e-09,GMB,2013
70,BRA,Growing sugar beet and cane industry,AFG,2.1168982476997543e-07,GMB,2013
71,BRA,Growing tobacco industry,AFG,1.6174805876413472e-09,GMB,2013
72,BRA,Growing fibre crops industry,AFG,1.6383191923259742e-07,GMB,2013
73,BRA,Growing crops n.e.c. industry,AFG,1.0047457197752888e-08,GMB,2013
74,BRA,Growing grapes industry,AFG,9.181535624072893e-12,GMB,2013
75,BRA,Growing fruits and nuts industry,AFG,0.0,GMB,2013
76,BRA,"Growing beverage crops (coffee, tea etc) industry",AFG,0.0,GMB,2013
77,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",AFG,1.7509811631650477e-11,GMB,2013
78,BRA,Seeds and plant propagation industry,AFG,0.0,GMB,2013
79,BRA,Raising of cattle industry,AFG,2.7722955721604357e-07,GMB,2013
80,BRA,Growing wheat industry,AGO,1.0034998542567792e-05,GMB,2013
81,BRA,Growing maize industry,AGO,2.0133124552828045e-05,GMB,2013
82,BRA,Growing cereals n.e.c industry,AGO,4.845574956040356e-07,GMB,2013
83,BRA,Growing leguminous crops and oil seeds industry,AGO,5.6909524429746564e-05,GMB,2013
84,BRA,Growing rice industry,AGO,0.0,GMB,2013
85,BRA,"Growing vegetables, roots, tubers industry",AGO,5.26781101285487e-08,GMB,2013
86,BRA,Growing sugar beet and cane industry,AGO,1.6300004630160648e-06,GMB,2013
