,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,BRA,Growing wheat industry,XAM,2.4875269768466458e-05,NER,2013
1,BRA,Growing maize industry,XAM,6.929007144083966e-05,NER,2013
2,BRA,Growing cereals n.e.c industry,XAM,2.590526207002977e-06,NER,2013
3,BRA,Growing leguminous crops and oil seeds industry,XAM,0.0002770206210479352,NER,2013
4,BRA,Growing rice industry,XAM,0.0,NER,2013
5,BRA,"Growing vegetables, roots, tubers industry",XAM,1.9085370854841232e-07,NER,2013
6,BRA,Growing sugar beet and cane industry,XAM,9.987222072755754e-06,NER,2013
7,BRA,Growing tobacco industry,XAM,7.495225685371339e-08,NER,2013
8,BRA,Growing fibre crops industry,XAM,6.379077918529474e-06,NER,2013
9,BRA,Growing crops n.e.c. industry,XAM,1.125666834152787e-06,NER,2013
10,BRA,Growing grapes industry,XAM,2.930286690697236e-10,NER,2013
11,BRA,Growing fruits and nuts industry,XAM,0.0,NER,2013
12,BRA,"Growing beverage crops (coffee, tea etc) industry",XAM,0.0,NER,2013
13,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,8.423853542244169e-10,NER,2013
14,BRA,Seeds and plant propagation industry,XAM,0.0,NER,2013
15,BRA,Raising of cattle industry,XAM,1.9824188812650385e-05,NER,2013
16,BRA,Growing wheat industry,XEU,1.2628393066818423e-05,NER,2013
17,BRA,Growing maize industry,XEU,1.654738246082133e-05,NER,2013
18,BRA,Growing cereals n.e.c industry,XEU,1.3377035415473264e-06,NER,2013
19,BRA,Growing leguminous crops and oil seeds industry,XEU,8.547790419576802e-05,NER,2013
20,BRA,Growing rice industry,XEU,0.0,NER,2013
21,BRA,"Growing vegetables, roots, tubers industry",XEU,4.0110404841955563e-08,NER,2013
22,BRA,Growing sugar beet and cane industry,XEU,4.4749263387124154e-06,NER,2013
23,BRA,Growing tobacco industry,XEU,1.6185688893204796e-08,NER,2013
24,BRA,Growing fibre crops industry,XEU,1.983800768946001e-06,NER,2013
25,BRA,Growing crops n.e.c. industry,XEU,1.1784554234883683e-06,NER,2013
26,BRA,Growing grapes industry,XEU,7.099745766590209e-11,NER,2013
27,BRA,Growing fruits and nuts industry,XEU,0.0,NER,2013
28,BRA,"Growing beverage crops (coffee, tea etc) industry",XEU,0.0,NER,2013
29,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,2.251781769540083e-10,NER,2013
30,BRA,Seeds and plant propagation industry,XEU,0.0,NER,2013
31,BRA,Raising of cattle industry,XEU,7.168575951017734e-06,NER,2013
32,BRA,Growing wheat industry,XAF,1.4872720238412489e-05,NER,2013
33,BRA,Growing maize industry,XAF,2.7325030942202678e-05,NER,2013
34,BRA,Growing cereals n.e.c industry,XAF,1.24258189679488e-06,NER,2013
35,BRA,Growing leguminous crops and oil seeds industry,XAF,0.00015164038685337443,NER,2013
36,BRA,Growing rice industry,XAF,0.0,NER,2013
37,BRA,"Growing vegetables, roots, tubers industry",XAF,9.264466182409254e-08,NER,2013
38,BRA,Growing sugar beet and cane industry,XAF,4.952104342940916e-06,NER,2013
39,BRA,Growing tobacco industry,XAF,3.9747098608774216e-08,NER,2013
40,BRA,Growing fibre crops industry,XAF,4.37570600712846e-06,NER,2013
41,BRA,Growing crops n.e.c. industry,XAF,5.718652671937057e-07,NER,2013
42,BRA,Growing grapes industry,XAF,1.65658641058752e-10,NER,2013
43,BRA,Growing fruits and nuts industry,XAF,0.0,NER,2013
44,BRA,"Growing beverage crops (coffee, tea etc) industry",XAF,0.0,NER,2013
45,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAF,5.080543117878784e-10,NER,2013
46,BRA,Seeds and plant propagation industry,XAF,0.0,NER,2013
47,BRA,Raising of cattle industry,XAF,6.1116069696150326e-06,NER,2013
48,BRA,Growing wheat industry,XAS,1.767228606271679e-05,NER,2013
49,BRA,Growing maize industry,XAS,3.949415065089943e-05,NER,2013
50,BRA,Growing cereals n.e.c industry,XAS,2.3056862681895867e-06,NER,2013
51,BRA,Growing leguminous crops and oil seeds industry,XAS,0.00020177992574605384,NER,2013
52,BRA,Growing rice industry,XAS,0.0,NER,2013
53,BRA,"Growing vegetables, roots, tubers industry",XAS,1.3940181845562908e-07,NER,2013
54,BRA,Growing sugar beet and cane industry,XAS,8.2035240753604e-06,NER,2013
55,BRA,Growing tobacco industry,XAS,5.6775613026368557e-08,NER,2013
56,BRA,Growing fibre crops industry,XAS,4.97586805660998e-06,NER,2013
57,BRA,Growing crops n.e.c. industry,XAS,1.2678685898073118e-06,NER,2013
58,BRA,Growing grapes industry,XAS,2.701423581963783e-10,NER,2013
59,BRA,Growing fruits and nuts industry,XAS,0.0,NER,2013
60,BRA,"Growing beverage crops (coffee, tea etc) industry",XAS,0.0,NER,2013
