,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,BRA,Growing wheat industry,XAM,0.0005262710715206322,QAT,2013
1,BRA,Growing maize industry,XAM,0.001996977738658844,QAT,2013
2,BRA,Growing cereals n.e.c industry,XAM,0.000127327185360023,QAT,2013
3,BRA,Growing leguminous crops and oil seeds industry,XAM,0.0056511801175850775,QAT,2013
4,BRA,Growing rice industry,XAM,0.0,QAT,2013
5,BRA,"Growing vegetables, roots, tubers industry",XAM,2.258028242938743e-06,QAT,2013
6,BRA,Growing sugar beet and cane industry,XAM,0.000491399589848324,QAT,2013
7,BRA,Growing tobacco industry,XAM,1.1195033452892457e-06,QAT,2013
8,BRA,Growing fibre crops industry,XAM,7.697360042162423e-05,QAT,2013
9,BRA,Growing crops n.e.c. industry,XAM,5.556738549631577e-06,QAT,2013
10,BRA,Growing grapes industry,XAM,4.475391949477027e-09,QAT,2013
11,BRA,Growing fruits and nuts industry,XAM,0.0,QAT,2013
12,BRA,"Growing beverage crops (coffee, tea etc) industry",XAM,0.0,QAT,2013
13,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,4.497442356911749e-08,QAT,2013
14,BRA,Seeds and plant propagation industry,XAM,0.0,QAT,2013
15,BRA,Raising of cattle industry,XAM,0.0005405832958152892,QAT,2013
16,BRA,Growing wheat industry,XEU,0.0004237875724466387,QAT,2013
17,BRA,Growing maize industry,XEU,0.0006316816686009665,QAT,2013
18,BRA,Growing cereals n.e.c industry,XEU,3.271025744045989e-05,QAT,2013
19,BRA,Growing leguminous crops and oil seeds industry,XEU,0.0014348128964885023,QAT,2013
20,BRA,Growing rice industry,XEU,0.0,QAT,2013
21,BRA,"Growing vegetables, roots, tubers industry",XEU,4.988925068744318e-07,QAT,2013
22,BRA,Growing sugar beet and cane industry,XEU,0.0001247856666630797,QAT,2013
23,BRA,Growing tobacco industry,XEU,2.5377239494632573e-07,QAT,2013
24,BRA,Growing fibre crops industry,XEU,1.6424199798632707e-05,QAT,2013
25,BRA,Growing crops n.e.c. industry,XEU,3.4541016397423907e-06,QAT,2013
26,BRA,Growing grapes industry,XEU,9.597556170929103e-10,QAT,2013
27,BRA,Growing fruits and nuts industry,XEU,0.0,QAT,2013
28,BRA,"Growing beverage crops (coffee, tea etc) industry",XEU,0.0,QAT,2013
29,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,8.417326271174402e-09,QAT,2013
30,BRA,Seeds and plant propagation industry,XEU,0.0,QAT,2013
31,BRA,Raising of cattle industry,XEU,0.00018391692149705396,QAT,2013
32,BRA,Growing wheat industry,XAF,0.0006108536554784175,QAT,2013
33,BRA,Growing maize industry,XAF,0.0018137966239057364,QAT,2013
34,BRA,Growing cereals n.e.c industry,XAF,9.614923205358429e-05,QAT,2013
35,BRA,Growing leguminous crops and oil seeds industry,XAF,0.004451050361695262,QAT,2013
36,BRA,Growing rice industry,XAF,0.0,QAT,2013
37,BRA,"Growing vegetables, roots, tubers industry",XAF,1.7173955670132313e-06,QAT,2013
38,BRA,Growing sugar beet and cane industry,XAF,0.00036985295091658744,QAT,2013
39,BRA,Growing tobacco industry,XAF,8.700209831945484e-07,QAT,2013
40,BRA,Growing fibre crops industry,XAF,5.969563171558089e-05,QAT,2013
41,BRA,Growing crops n.e.c. industry,XAF,8.035953181414835e-06,QAT,2013
42,BRA,Growing grapes industry,XAF,3.5116231827401657e-09,QAT,2013
43,BRA,Growing fruits and nuts industry,XAF,0.0,QAT,2013
44,BRA,"Growing beverage crops (coffee, tea etc) industry",XAF,0.0,QAT,2013
45,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAF,4.1666379823896165e-08,QAT,2013
46,BRA,Seeds and plant propagation industry,XAF,0.0,QAT,2013
47,BRA,Raising of cattle industry,XAF,0.0006088987690547747,QAT,2013
48,BRA,Growing wheat industry,XAS,0.0015865909955137135,QAT,2013
49,BRA,Growing maize industry,XAS,0.003808686087004198,QAT,2013
50,BRA,Growing cereals n.e.c industry,XAS,0.00024365144040780295,QAT,2013
51,BRA,Growing leguminous crops and oil seeds industry,XAS,0.013200352906624137,QAT,2013
52,BRA,Growing rice industry,XAS,0.0,QAT,2013
53,BRA,"Growing vegetables, roots, tubers industry",XAS,5.924185972275865e-06,QAT,2013
54,BRA,Growing sugar beet and cane industry,XAS,0.0009491803727473103,QAT,2013
55,BRA,Growing tobacco industry,XAS,3.2386511766647616e-06,QAT,2013
56,BRA,Growing fibre crops industry,XAS,0.0001891274831351908,QAT,2013
57,BRA,Growing crops n.e.c. industry,XAS,1.6383534773887718e-05,QAT,2013
58,BRA,Growing grapes industry,XAS,1.1058413010268718e-08,QAT,2013
59,BRA,Growing fruits and nuts industry,XAS,0.0,QAT,2013
60,BRA,"Growing beverage crops (coffee, tea etc) industry",XAS,0.0,QAT,2013
61,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAS,9.314430488576219e-08,QAT,2013
62,BRA,Seeds and plant propagation industry,XAS,0.0,QAT,2013
63,BRA,Raising of cattle industry,XAS,0.001298358340749705,QAT,2013
64,BRA,Growing wheat industry,AFG,0.0004258026277953165,QAT,2013
65,BRA,Growing maize industry,AFG,0.0008991938846972978,QAT,2013
66,BRA,Growing cereals n.e.c industry,AFG,4.7685737300268414e-05,QAT,2013
67,BRA,Growing leguminous crops and oil seeds industry,AFG,0.002336802263676715,QAT,2013
68,BRA,Growing rice industry,AFG,0.0,QAT,2013
69,BRA,"Growing vegetables, roots, tubers industry",AFG,7.57956835620297e-07,QAT,2013
70,BRA,Growing sugar beet and cane industry,AFG,0.00017987087993069233,QAT,2013
71,BRA,Growing tobacco industry,AFG,4.1586823411237473e-07,QAT,2013
72,BRA,Growing fibre crops industry,AFG,2.813981697241956e-05,QAT,2013
73,BRA,Growing crops n.e.c. industry,AFG,7.830792442595797e-06,QAT,2013
74,BRA,Growing grapes industry,AFG,1.5120845577916892e-09,QAT,2013
75,BRA,Growing fruits and nuts industry,AFG,0.0,QAT,2013
76,BRA,"Growing beverage crops (coffee, tea etc) industry",AFG,0.0,QAT,2013
77,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",AFG,1.8179076110945664e-08,QAT,2013
78,BRA,Seeds and plant propagation industry,AFG,0.0,QAT,2013
79,BRA,Raising of cattle industry,AFG,0.0005450521433750146,QAT,2013
80,BRA,Growing wheat industry,AGO,0.0028192947731547867,QAT,2013
81,BRA,Growing maize industry,AGO,0.007439526160170981,QAT,2013
82,BRA,Growing cereals n.e.c industry,AGO,0.0004266308513735195,QAT,2013
83,BRA,Growing leguminous crops and oil seeds industry,AGO,0.01853124920097568,QAT,2013
84,BRA,Growing rice industry,AGO,0.0,QAT,2013
85,BRA,"Growing vegetables, roots, tubers industry",AGO,7.837296062045258e-06,QAT,2013
86,BRA,Growing sugar beet and cane industry,AGO,0.0016571226843295813,QAT,2013
87,BRA,Growing tobacco industry,AGO,4.280871920482082e-06,QAT,2013
88,BRA,Growing fibre crops industry,AGO,0.00026082753766782003,QAT,2013
89,BRA,Growing crops n.e.c. industry,AGO,2.5501199544771994e-05,QAT,2013
90,BRA,Growing grapes industry,AGO,1.4778660426961883e-08,QAT,2013
91,BRA,Growing fruits and nuts industry,AGO,0.0,QAT,2013
92,BRA,"Growing beverage crops (coffee, tea etc) industry",AGO,0.0,QAT,2013
93,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",AGO,1.6196621432945631e-07,QAT,2013
94,BRA,Seeds and plant propagation industry,AGO,0.0,QAT,2013
95,BRA,Raising of cattle industry,AGO,0.002102108553461619,QAT,2013
96,BRA,Growing wheat industry,ALB,0.00023537625879727588,QAT,2013
97,BRA,Growing maize industry,ALB,0.0006356414945861035,QAT,2013
98,BRA,Growing cereals n.e.c industry,ALB,3.882170498067675e-05,QAT,2013
99,BRA,Growing leguminous crops and oil seeds industry,ALB,0.001469749471570885,QAT,2013
100,BRA,Growing rice industry,ALB,0.0,QAT,2013
101,BRA,"Growing vegetables, roots, tubers industry",ALB,5.832503931524595e-07,QAT,2013
102,BRA,Growing sugar beet and cane industry,ALB,0.00015002250786970433,QAT,2013
103,BRA,Growing tobacco industry,ALB,3.0969906720791274e-07,QAT,2013
104,BRA,Growing fibre crops industry,ALB,2.0517117231264396e-05,QAT,2013
105,BRA,Growing crops n.e.c. industry,ALB,1.9086134130139588e-06,QAT,2013
106,BRA,Growing grapes industry,ALB,1.1232741272230908e-09,QAT,2013
107,BRA,Growing fruits and nuts industry,ALB,0.0,QAT,2013
108,BRA,"Growing beverage crops (coffee, tea etc) industry",ALB,0.0,QAT,2013
109,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",ALB,1.5088000786207944e-08,QAT,2013
110,BRA,Seeds and plant propagation industry,ALB,0.0,QAT,2013
111,BRA,Raising of cattle industry,ALB,0.0001692615063671417,QAT,2013
112,BRA,Growing wheat industry,ARE,0.06930902069292867,QAT,2013
113,BRA,Growing maize industry,ARE,0.0607233502282428,QAT,2013
114,BRA,Growing cereals n.e.c industry,ARE,0.0037490663148805874,QAT,2013
115,BRA,Growing leguminous crops and oil seeds industry,ARE,0.23481726116775334,QAT,2013
116,BRA,Growing rice industry,ARE,0.0,QAT,2013
117,BRA,"Growing vegetables, roots, tubers industry",ARE,9.577163100773584e-05,QAT,2013
118,BRA,Growing sugar beet and cane industry,ARE,0.014816772206377648,QAT,2013
119,BRA,Growing tobacco industry,ARE,4.4610037886435154e-05,QAT,2013
120,BRA,Growing fibre crops industry,ARE,0.002897159807902477,QAT,2013
121,BRA,Growing crops n.e.c. industry,ARE,0.0004532197824851268,QAT,2013
122,BRA,Growing grapes industry,ARE,2.3327503443890237e-07,QAT,2013
123,BRA,Growing fruits and nuts industry,ARE,0.0,QAT,2013
124,BRA,"Growing beverage crops (coffee, tea etc) industry",ARE,0.0,QAT,2013
125,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",ARE,1.1815663439875113e-06,QAT,2013
126,BRA,Seeds and plant propagation industry,ARE,0.0,QAT,2013
127,BRA,Raising of cattle industry,ARE,0.027123129042457218,QAT,2013
128,BRA,Growing wheat industry,ARG,0.0027795401345811644,QAT,2013
129,BRA,Growing maize industry,ARG,0.00958128838127681,QAT,2013
130,BRA,Growing cereals n.e.c industry,ARG,0.0005748060794013134,QAT,2013
131,BRA,Growing leguminous crops and oil seeds industry,ARG,0.024712737459659795,QAT,2013
132,BRA,Growing rice industry,ARG,0.0,QAT,2013
133,BRA,"Growing vegetables, roots, tubers industry",ARG,1.090544500581043e-05,QAT,2013
134,BRA,Growing sugar beet and cane industry,ARG,0.002226261924820365,QAT,2013
135,BRA,Growing tobacco industry,ARG,4.634764965961114e-06,QAT,2013
136,BRA,Growing fibre crops industry,ARG,0.00035018809851091907,QAT,2013
137,BRA,Growing crops n.e.c. industry,ARG,3.1616158637951256e-05,QAT,2013
138,BRA,Growing grapes industry,ARG,2.2666417417417386e-08,QAT,2013
139,BRA,Growing fruits and nuts industry,ARG,0.0,QAT,2013
