,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,BRA,Growing wheat industry,XAM,0.003593345280723804,XEU,2013
1,BRA,Growing maize industry,XAM,0.0997832303459459,XEU,2013
2,BRA,Growing cereals n.e.c industry,XAM,0.0023629290132424706,XEU,2013
3,BRA,Growing leguminous crops and oil seeds industry,XAM,0.20655759117331882,XEU,2013
4,BRA,Growing rice industry,XAM,0.0,XEU,2013
5,BRA,"Growing vegetables, roots, tubers industry",XAM,1.63518030167734e-05,XEU,2013
6,BRA,Growing sugar beet and cane industry,XAM,0.005911861676277024,XEU,2013
7,BRA,Growing tobacco industry,XAM,2.597304742245711e-06,XEU,2013
8,BRA,Growing fibre crops industry,XAM,0.00014036690049136727,XEU,2013
9,BRA,Growing crops n.e.c. industry,XAM,0.001422186610459906,XEU,2013
10,BRA,Growing grapes industry,XAM,4.676705878983944e-08,XEU,2013
11,BRA,Growing fruits and nuts industry,XAM,0.0,XEU,2013
12,BRA,"Growing beverage crops (coffee, tea etc) industry",XAM,0.0,XEU,2013
13,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,6.844766264713395e-08,XEU,2013
14,BRA,Seeds and plant propagation industry,XAM,0.0,XEU,2013
15,BRA,Raising of cattle industry,XAM,0.005290798838644809,XEU,2013
16,BRA,Growing wheat industry,XEU,0.0,XEU,2013
17,BRA,Growing maize industry,XEU,0.0,XEU,2013
18,BRA,Growing cereals n.e.c industry,XEU,0.0,XEU,2013
19,BRA,Growing leguminous crops and oil seeds industry,XEU,0.0,XEU,2013
20,BRA,Growing rice industry,XEU,0.0,XEU,2013
21,BRA,"Growing vegetables, roots, tubers industry",XEU,0.0,XEU,2013
22,BRA,Growing sugar beet and cane industry,XEU,0.0,XEU,2013
23,BRA,Growing tobacco industry,XEU,0.0,XEU,2013
24,BRA,Growing fibre crops industry,XEU,0.0,XEU,2013
25,BRA,Growing crops n.e.c. industry,XEU,0.0,XEU,2013
26,BRA,Growing grapes industry,XEU,0.0,XEU,2013
27,BRA,Growing fruits and nuts industry,XEU,0.0,XEU,2013
28,BRA,"Growing beverage crops (coffee, tea etc) industry",XEU,0.0,XEU,2013
29,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,0.0,XEU,2013
30,BRA,Seeds and plant propagation industry,XEU,0.0,XEU,2013
31,BRA,Raising of cattle industry,XEU,0.0,XEU,2013
32,BRA,Growing wheat industry,XAF,3.204521390845653e-05,XEU,2013
33,BRA,Growing maize industry,XAF,8.617197513986486e-05,XEU,2013
34,BRA,Growing cereals n.e.c industry,XAF,4.2753051730636575e-06,XEU,2013
35,BRA,Growing leguminous crops and oil seeds industry,XAF,0.0005500207371832306,XEU,2013
36,BRA,Growing rice industry,XAF,0.0,XEU,2013
37,BRA,"Growing vegetables, roots, tubers industry",XAF,4.081453282580203e-07,XEU,2013
38,BRA,Growing sugar beet and cane industry,XAF,2.1077646295777754e-05,XEU,2013
39,BRA,Growing tobacco industry,XAF,6.820601121374807e-08,XEU,2013
40,BRA,Growing fibre crops industry,XAF,3.850882195617382e-06,XEU,2013
41,BRA,Growing crops n.e.c. industry,XAF,8.039609220193792e-07,XEU,2013
42,BRA,Growing grapes industry,XAF,4.735135532824127e-10,XEU,2013
43,BRA,Growing fruits and nuts industry,XAF,0.0,XEU,2013
44,BRA,"Growing beverage crops (coffee, tea etc) industry",XAF,0.0,XEU,2013
45,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAF,1.4943137846638423e-09,XEU,2013
46,BRA,Seeds and plant propagation industry,XAF,0.0,XEU,2013
47,BRA,Raising of cattle industry,XAF,4.639539386955049e-05,XEU,2013
48,BRA,Growing wheat industry,XAS,3.537720481617373e-05,XEU,2013
49,BRA,Growing maize industry,XAS,0.00021229385978783715,XEU,2013
50,BRA,Growing cereals n.e.c industry,XAS,6.918495671121369e-06,XEU,2013
51,BRA,Growing leguminous crops and oil seeds industry,XAS,0.0007864987212516013,XEU,2013
52,BRA,Growing rice industry,XAS,0.0,XEU,2013
53,BRA,"Growing vegetables, roots, tubers industry",XAS,3.0123918358466213e-07,XEU,2013
54,BRA,Growing sugar beet and cane industry,XAS,3.1455683378915775e-05,XEU,2013
55,BRA,Growing tobacco industry,XAS,4.77543635386963e-07,XEU,2013
56,BRA,Growing fibre crops industry,XAS,3.0025425409237625e-06,XEU,2013
57,BRA,Growing crops n.e.c. industry,XAS,2.398980013134801e-06,XEU,2013
58,BRA,Growing grapes industry,XAS,5.854330726562222e-10,XEU,2013
59,BRA,Growing fruits and nuts industry,XAS,0.0,XEU,2013
60,BRA,"Growing beverage crops (coffee, tea etc) industry",XAS,0.0,XEU,2013
61,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAS,1.1883577172311295e-09,XEU,2013
62,BRA,Seeds and plant propagation industry,XAS,0.0,XEU,2013
63,BRA,Raising of cattle industry,XAS,4.3246339426383124e-05,XEU,2013
64,BRA,Growing wheat industry,AFG,9.722311534960495e-06,XEU,2013
65,BRA,Growing maize industry,AFG,2.6909994569113186e-05,XEU,2013
66,BRA,Growing cereals n.e.c industry,AFG,1.326155376400538e-06,XEU,2013
67,BRA,Growing leguminous crops and oil seeds industry,AFG,0.00017357676678640772,XEU,2013
68,BRA,Growing rice industry,AFG,0.0,XEU,2013
69,BRA,"Growing vegetables, roots, tubers industry",AFG,1.0106948548938033e-07,XEU,2013
70,BRA,Growing sugar beet and cane industry,AFG,6.504020946096654e-06,XEU,2013
