,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,BRA,Growing wheat industry,XAM,4.371547652597028e-05,BEN,2014
1,BRA,Growing maize industry,XAM,3.160171311432838e-05,BEN,2014
2,BRA,Growing cereals n.e.c industry,XAM,3.1849411030104116e-06,BEN,2014
3,BRA,Growing leguminous crops and oil seeds industry,XAM,0.00047844776143902545,BEN,2014
4,BRA,Growing rice industry,XAM,0.0,BEN,2014
5,BRA,"Growing vegetables, roots, tubers industry",XAM,1.7597833574660288e-07,BEN,2014
6,BRA,Growing sugar beet and cane industry,XAM,9.969831468375947e-06,BEN,2014
7,BRA,Growing tobacco industry,XAM,4.1521302917137333e-08,BEN,2014
8,BRA,Growing fibre crops industry,XAM,4.520020870085101e-05,BEN,2014
9,BRA,Growing crops n.e.c. industry,XAM,1.005879566542996e-06,BEN,2014
10,BRA,Growing grapes industry,XAM,0.0,BEN,2014
11,BRA,Growing fruits and nuts industry,XAM,0.0,BEN,2014
12,BRA,"Growing beverage crops (coffee, tea etc) industry",XAM,0.0,BEN,2014
13,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,1.467722506829307e-08,BEN,2014
14,BRA,Seeds and plant propagation industry,XAM,0.0,BEN,2014
15,BRA,Raising of cattle industry,XAM,9.799788392286502e-06,BEN,2014
16,BRA,Growing wheat industry,XEU,1.2238818949954728e-05,BEN,2014
17,BRA,Growing maize industry,XEU,5.156910965762987e-06,BEN,2014
18,BRA,Growing cereals n.e.c industry,XEU,6.880682409669437e-07,BEN,2014
19,BRA,Growing leguminous crops and oil seeds industry,XEU,8.080179268266675e-05,BEN,2014
20,BRA,Growing rice industry,XEU,0.0,BEN,2014
21,BRA,"Growing vegetables, roots, tubers industry",XEU,2.8351355849207785e-08,BEN,2014
22,BRA,Growing sugar beet and cane industry,XEU,2.126575748594121e-06,BEN,2014
23,BRA,Growing tobacco industry,XEU,7.489379289964978e-09,BEN,2014
24,BRA,Growing fibre crops industry,XEU,4.327542752820986e-06,BEN,2014
25,BRA,Growing crops n.e.c. industry,XEU,2.4733507067399936e-07,BEN,2014
26,BRA,Growing grapes industry,XEU,0.0,BEN,2014
27,BRA,Growing fruits and nuts industry,XEU,0.0,BEN,2014
28,BRA,"Growing beverage crops (coffee, tea etc) industry",XEU,0.0,BEN,2014
29,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,1.5874679691653902e-09,BEN,2014
30,BRA,Seeds and plant propagation industry,XEU,0.0,BEN,2014
31,BRA,Raising of cattle industry,XEU,1.870835228937043e-06,BEN,2014
32,BRA,Growing wheat industry,XAF,3.040800091451143e-05,BEN,2014
33,BRA,Growing maize industry,XAF,2.2235238694897577e-05,BEN,2014
34,BRA,Growing cereals n.e.c industry,XAF,2.1827006263624448e-06,BEN,2014
35,BRA,Growing leguminous crops and oil seeds industry,XAF,0.00030990872257096244,BEN,2014
36,BRA,Growing rice industry,XAF,0.0,BEN,2014
37,BRA,"Growing vegetables, roots, tubers industry",XAF,1.848364041162873e-07,BEN,2014
38,BRA,Growing sugar beet and cane industry,XAF,7.667384452873999e-06,BEN,2014
39,BRA,Growing tobacco industry,XAF,3.530966658298322e-08,BEN,2014
40,BRA,Growing fibre crops industry,XAF,1.9686511899559428e-05,BEN,2014
41,BRA,Growing crops n.e.c. industry,XAF,5.478864897232054e-07,BEN,2014
42,BRA,Growing grapes industry,XAF,0.0,BEN,2014
43,BRA,Growing fruits and nuts industry,XAF,0.0,BEN,2014
44,BRA,"Growing beverage crops (coffee, tea etc) industry",XAF,0.0,BEN,2014
45,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAF,6.6616067283413484e-09,BEN,2014
46,BRA,Seeds and plant propagation industry,XAF,0.0,BEN,2014
47,BRA,Raising of cattle industry,XAF,7.2909900979071555e-06,BEN,2014
48,BRA,Growing wheat industry,XAS,0.00018708455271566348,BEN,2014
49,BRA,Growing maize industry,XAS,6.84765365293847e-05,BEN,2014
50,BRA,Growing cereals n.e.c industry,XAS,2.2167698404255875e-05,BEN,2014
51,BRA,Growing leguminous crops and oil seeds industry,XAS,0.0013137898335531873,BEN,2014
52,BRA,Growing rice industry,XAS,0.0,BEN,2014
53,BRA,"Growing vegetables, roots, tubers industry",XAS,3.4819279887596027e-07,BEN,2014
54,BRA,Growing sugar beet and cane industry,XAS,7.789660394237217e-05,BEN,2014
55,BRA,Growing tobacco industry,XAS,2.5826444756661165e-07,BEN,2014
56,BRA,Growing fibre crops industry,XAS,6.823759612561268e-05,BEN,2014
57,BRA,Growing crops n.e.c. industry,XAS,7.93209771629149e-07,BEN,2014
58,BRA,Growing grapes industry,XAS,0.0,BEN,2014
59,BRA,Growing fruits and nuts industry,XAS,0.0,BEN,2014
60,BRA,"Growing beverage crops (coffee, tea etc) industry",XAS,0.0,BEN,2014
61,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAS,2.487396903467355e-08,BEN,2014
62,BRA,Seeds and plant propagation industry,XAS,0.0,BEN,2014
63,BRA,Raising of cattle industry,XAS,7.494197794834896e-05,BEN,2014
64,BRA,Growing wheat industry,AFG,2.8982673508224196e-05,BEN,2014
65,BRA,Growing maize industry,AFG,6.9583190532414445e-06,BEN,2014
66,BRA,Growing cereals n.e.c industry,AFG,8.031482582070654e-07,BEN,2014
67,BRA,Growing leguminous crops and oil seeds industry,AFG,0.00011160747482666573,BEN,2014
68,BRA,Growing rice industry,AFG,0.0,BEN,2014
69,BRA,"Growing vegetables, roots, tubers industry",AFG,3.170100858784922e-08,BEN,2014
