,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,BRA,Growing wheat industry,XAM,0.17747168847606334,COL,2014
1,BRA,Growing maize industry,XAM,1.1574555621107239,COL,2014
2,BRA,Growing cereals n.e.c industry,XAM,0.0023403147049345188,COL,2014
3,BRA,Growing leguminous crops and oil seeds industry,XAM,0.09851861088130735,COL,2014
4,BRA,Growing rice industry,XAM,0.0,COL,2014
5,BRA,"Growing vegetables, roots, tubers industry",XAM,8.181643149798344e-05,COL,2014
6,BRA,Growing sugar beet and cane industry,XAM,0.010971855927282103,COL,2014
7,BRA,Growing tobacco industry,XAM,1.733593560273327e-05,COL,2014
8,BRA,Growing fibre crops industry,XAM,0.0014713617435496104,COL,2014
9,BRA,Growing crops n.e.c. industry,XAM,0.0007528859545885044,COL,2014
10,BRA,Growing grapes industry,XAM,0.0,COL,2014
11,BRA,Growing fruits and nuts industry,XAM,0.0,COL,2014
12,BRA,"Growing beverage crops (coffee, tea etc) industry",XAM,0.0,COL,2014
13,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,2.8672468405938217e-06,COL,2014
14,BRA,Seeds and plant propagation industry,XAM,0.0,COL,2014
15,BRA,Raising of cattle industry,XAM,0.026533424695066483,COL,2014
16,BRA,Growing wheat industry,XEU,0.006194210736450173,COL,2014
17,BRA,Growing maize industry,XEU,0.01460327689341865,COL,2014
18,BRA,Growing cereals n.e.c industry,XEU,0.00018975811880673634,COL,2014
19,BRA,Growing leguminous crops and oil seeds industry,XEU,0.007829665133210996,COL,2014
20,BRA,Growing rice industry,XEU,0.0,COL,2014
21,BRA,"Growing vegetables, roots, tubers industry",XEU,8.276606136406763e-06,COL,2014
22,BRA,Growing sugar beet and cane industry,XEU,0.0006939494813367451,COL,2014
23,BRA,Growing tobacco industry,XEU,3.298473932854125e-06,COL,2014
24,BRA,Growing fibre crops industry,XEU,0.00011350952138309784,COL,2014
25,BRA,Growing crops n.e.c. industry,XEU,6.292926412991033e-05,COL,2014
26,BRA,Growing grapes industry,XEU,0.0,COL,2014
27,BRA,Growing fruits and nuts industry,XEU,0.0,COL,2014
28,BRA,"Growing beverage crops (coffee, tea etc) industry",XEU,0.0,COL,2014
29,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,2.1222058444478196e-07,COL,2014
30,BRA,Seeds and plant propagation industry,XEU,0.0,COL,2014
31,BRA,Raising of cattle industry,XEU,0.001443091943938183,COL,2014
32,BRA,Growing wheat industry,XAF,0.0005051558537465327,COL,2014
33,BRA,Growing maize industry,XAF,0.0046511926477532245,COL,2014
34,BRA,Growing cereals n.e.c industry,XAF,2.0908154751797447e-05,COL,2014
35,BRA,Growing leguminous crops and oil seeds industry,XAF,0.0011939013169060602,COL,2014
36,BRA,Growing rice industry,XAF,0.0,COL,2014
37,BRA,"Growing vegetables, roots, tubers industry",XAF,1.5053626508521751e-06,COL,2014
38,BRA,Growing sugar beet and cane industry,XAF,9.535344047748357e-05,COL,2014
39,BRA,Growing tobacco industry,XAF,7.587106781727086e-07,COL,2014
40,BRA,Growing fibre crops industry,XAF,1.3532674841802585e-05,COL,2014
41,BRA,Growing crops n.e.c. industry,XAF,4.237840244596147e-06,COL,2014
42,BRA,Growing grapes industry,XAF,0.0,COL,2014
43,BRA,Growing fruits and nuts industry,XAF,0.0,COL,2014
44,BRA,"Growing beverage crops (coffee, tea etc) industry",XAF,0.0,COL,2014
45,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAF,3.858722162247304e-08,COL,2014
46,BRA,Seeds and plant propagation industry,XAF,0.0,COL,2014
47,BRA,Raising of cattle industry,XAF,0.00019528569942750507,COL,2014
48,BRA,Growing wheat industry,XAS,0.0029283306112944892,COL,2014
49,BRA,Growing maize industry,XAS,0.015427528606619976,COL,2014
50,BRA,Growing cereals n.e.c industry,XAS,5.4722294752420803e-05,COL,2014
51,BRA,Growing leguminous crops and oil seeds industry,XAS,0.0030763170893526454,COL,2014
52,BRA,Growing rice industry,XAS,0.0,COL,2014
53,BRA,"Growing vegetables, roots, tubers industry",XAS,2.8346139738805277e-06,COL,2014
54,BRA,Growing sugar beet and cane industry,XAS,0.00025395864682866776,COL,2014
55,BRA,Growing tobacco industry,XAS,6.472392353499134e-07,COL,2014
56,BRA,Growing fibre crops industry,XAS,4.0807856089006004e-05,COL,2014
57,BRA,Growing crops n.e.c. industry,XAS,1.08625746911736e-05,COL,2014
58,BRA,Growing grapes industry,XAS,0.0,COL,2014
59,BRA,Growing fruits and nuts industry,XAS,0.0,COL,2014
60,BRA,"Growing beverage crops (coffee, tea etc) industry",XAS,0.0,COL,2014
61,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAS,1.7331300946464944e-07,COL,2014
62,BRA,Seeds and plant propagation industry,XAS,0.0,COL,2014
63,BRA,Raising of cattle industry,XAS,0.0004876330036332128,COL,2014
64,BRA,Growing wheat industry,AFG,0.00014454533858693436,COL,2014
65,BRA,Growing maize industry,AFG,0.0010736084120524605,COL,2014
66,BRA,Growing cereals n.e.c industry,AFG,1.2346876606158056e-05,COL,2014
67,BRA,Growing leguminous crops and oil seeds industry,AFG,0.0008777179881382212,COL,2014
68,BRA,Growing rice industry,AFG,0.0,COL,2014
69,BRA,"Growing vegetables, roots, tubers industry",AFG,1.330101560113208e-06,COL,2014
70,BRA,Growing sugar beet and cane industry,AFG,6.0308412484203524e-05,COL,2014
71,BRA,Growing tobacco industry,AFG,1.5728106776587377e-07,COL,2014
72,BRA,Growing fibre crops industry,AFG,8.870557685985833e-06,COL,2014
73,BRA,Growing crops n.e.c. industry,AFG,1.1013148389992918e-06,COL,2014
74,BRA,Growing grapes industry,AFG,0.0,COL,2014
75,BRA,Growing fruits and nuts industry,AFG,0.0,COL,2014
76,BRA,"Growing beverage crops (coffee, tea etc) industry",AFG,0.0,COL,2014
77,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",AFG,1.789122224578761e-08,COL,2014
78,BRA,Seeds and plant propagation industry,AFG,0.0,COL,2014
79,BRA,Raising of cattle industry,AFG,0.00010289272419546554,COL,2014
80,BRA,Growing wheat industry,AGO,0.0075403669852538,COL,2014
81,BRA,Growing maize industry,AGO,0.16224287359229714,COL,2014
82,BRA,Growing cereals n.e.c industry,AGO,0.0002549733127166642,COL,2014
83,BRA,Growing leguminous crops and oil seeds industry,AGO,0.010964028123166726,COL,2014
84,BRA,Growing rice industry,AGO,0.0,COL,2014
85,BRA,"Growing vegetables, roots, tubers industry",AGO,9.738920540914609e-06,COL,2014
86,BRA,Growing sugar beet and cane industry,AGO,0.001142495324735207,COL,2014
87,BRA,Growing tobacco industry,AGO,1.1048500306627804e-06,COL,2014
88,BRA,Growing fibre crops industry,AGO,9.713903989970532e-05,COL,2014
89,BRA,Growing crops n.e.c. industry,AGO,7.304006029001914e-05,COL,2014
90,BRA,Growing grapes industry,AGO,0.0,COL,2014
91,BRA,Growing fruits and nuts industry,AGO,0.0,COL,2014
92,BRA,"Growing beverage crops (coffee, tea etc) industry",AGO,0.0,COL,2014
93,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",AGO,3.441015353258563e-07,COL,2014
94,BRA,Seeds and plant propagation industry,AGO,0.0,COL,2014
95,BRA,Raising of cattle industry,AGO,0.0021853521543693834,COL,2014
96,BRA,Growing wheat industry,ALB,0.0005032143609228805,COL,2014
97,BRA,Growing maize industry,ALB,0.007684778844194686,COL,2014
98,BRA,Growing cereals n.e.c industry,ALB,2.2530839948336412e-05,COL,2014
99,BRA,Growing leguminous crops and oil seeds industry,ALB,0.0012506695708340652,COL,2014
100,BRA,Growing rice industry,ALB,0.0,COL,2014
101,BRA,"Growing vegetables, roots, tubers industry",ALB,1.4125302983534089e-06,COL,2014
102,BRA,Growing sugar beet and cane industry,ALB,0.00010151106423545082,COL,2014
103,BRA,Growing tobacco industry,ALB,5.510183571707024e-07,COL,2014
104,BRA,Growing fibre crops industry,ALB,1.4664714395086694e-05,COL,2014
105,BRA,Growing crops n.e.c. industry,ALB,4.923524301372499e-06,COL,2014
106,BRA,Growing grapes industry,ALB,0.0,COL,2014
107,BRA,Growing fruits and nuts industry,ALB,0.0,COL,2014
108,BRA,"Growing beverage crops (coffee, tea etc) industry",ALB,0.0,COL,2014
109,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",ALB,6.474401105249051e-08,COL,2014
110,BRA,Seeds and plant propagation industry,ALB,0.0,COL,2014
111,BRA,Raising of cattle industry,ALB,0.00026552240632581725,COL,2014
112,BRA,Growing wheat industry,ARE,0.017207297656052903,COL,2014
113,BRA,Growing maize industry,ARE,0.43212023981327635,COL,2014
114,BRA,Growing cereals n.e.c industry,ARE,0.0007759278444401057,COL,2014
115,BRA,Growing leguminous crops and oil seeds industry,ARE,0.028515617299931215,COL,2014
116,BRA,Growing rice industry,ARE,0.0,COL,2014
117,BRA,"Growing vegetables, roots, tubers industry",ARE,2.1970422336323806e-05,COL,2014
118,BRA,Growing sugar beet and cane industry,ARE,0.0033772352906762722,COL,2014
119,BRA,Growing tobacco industry,ARE,5.064404722859126e-06,COL,2014
120,BRA,Growing fibre crops industry,ARE,0.00021394399128584008,COL,2014
121,BRA,Growing crops n.e.c. industry,ARE,0.0001946319653038575,COL,2014
122,BRA,Growing grapes industry,ARE,0.0,COL,2014
123,BRA,Growing fruits and nuts industry,ARE,0.0,COL,2014
124,BRA,"Growing beverage crops (coffee, tea etc) industry",ARE,0.0,COL,2014
125,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",ARE,5.549115433465208e-07,COL,2014
126,BRA,Seeds and plant propagation industry,ARE,0.0,COL,2014
127,BRA,Raising of cattle industry,ARE,0.0058582064518687,COL,2014
128,BRA,Growing wheat industry,ARG,0.03519262859790242,COL,2014
129,BRA,Growing maize industry,ARG,0.2807030368821414,COL,2014
130,BRA,Growing cereals n.e.c industry,ARG,0.0016693087207585746,COL,2014
