,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,BRA,Growing wheat industry,XAM,1.860852295311947e-05,ETH,2014
1,BRA,Growing maize industry,XAM,6.16658317970721e-06,ETH,2014
2,BRA,Growing cereals n.e.c industry,XAM,2.5810885256844004e-07,ETH,2014
3,BRA,Growing leguminous crops and oil seeds industry,XAM,4.562818031950155e-05,ETH,2014
4,BRA,Growing rice industry,XAM,0.0,ETH,2014
5,BRA,"Growing vegetables, roots, tubers industry",XAM,2.858025623581407e-08,ETH,2014
6,BRA,Growing sugar beet and cane industry,XAM,1.5226646205458888e-06,ETH,2014
7,BRA,Growing tobacco industry,XAM,9.61827300762324e-09,ETH,2014
8,BRA,Growing fibre crops industry,XAM,9.495294059382641e-07,ETH,2014
9,BRA,Growing crops n.e.c. industry,XAM,7.476493604102395e-08,ETH,2014
10,BRA,Growing grapes industry,XAM,0.0,ETH,2014
11,BRA,Growing fruits and nuts industry,XAM,0.0,ETH,2014
12,BRA,"Growing beverage crops (coffee, tea etc) industry",XAM,0.0,ETH,2014
13,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,1.562734729097413e-09,ETH,2014
14,BRA,Seeds and plant propagation industry,XAM,0.0,ETH,2014
15,BRA,Raising of cattle industry,XAM,1.9845409837766487e-06,ETH,2014
16,BRA,Growing wheat industry,XEU,2.657523032140349e-05,ETH,2014
17,BRA,Growing maize industry,XEU,3.939241050385839e-05,ETH,2014
18,BRA,Growing cereals n.e.c industry,XEU,3.206696173536579e-07,ETH,2014
19,BRA,Growing leguminous crops and oil seeds industry,XEU,3.251636475296168e-05,ETH,2014
20,BRA,Growing rice industry,XEU,0.0,ETH,2014
21,BRA,"Growing vegetables, roots, tubers industry",XEU,1.4248500371110074e-08,ETH,2014
22,BRA,Growing sugar beet and cane industry,XEU,1.153687746008747e-06,ETH,2014
23,BRA,Growing tobacco industry,XEU,6.2987282584908345e-09,ETH,2014
24,BRA,Growing fibre crops industry,XEU,7.35099081310988e-07,ETH,2014
25,BRA,Growing crops n.e.c. industry,XEU,2.427385270341341e-07,ETH,2014
26,BRA,Growing grapes industry,XEU,0.0,ETH,2014
27,BRA,Growing fruits and nuts industry,XEU,0.0,ETH,2014
28,BRA,"Growing beverage crops (coffee, tea etc) industry",XEU,0.0,ETH,2014
29,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,1.0813006767410528e-09,ETH,2014
30,BRA,Seeds and plant propagation industry,XEU,0.0,ETH,2014
31,BRA,Raising of cattle industry,XEU,1.7900405003217871e-06,ETH,2014
32,BRA,Growing wheat industry,XAF,7.747523104640746e-05,ETH,2014
33,BRA,Growing maize industry,XAF,4.0622761293588376e-05,ETH,2014
34,BRA,Growing cereals n.e.c industry,XAF,1.0978712257775204e-06,ETH,2014
35,BRA,Growing leguminous crops and oil seeds industry,XAF,0.00015247862979052314,ETH,2014
36,BRA,Growing rice industry,XAF,0.0,ETH,2014
37,BRA,"Growing vegetables, roots, tubers industry",XAF,6.79936812234772e-08,ETH,2014
38,BRA,Growing sugar beet and cane industry,XAF,6.115259283879065e-06,ETH,2014
39,BRA,Growing tobacco industry,XAF,2.7505844801005916e-08,ETH,2014
40,BRA,Growing fibre crops industry,XAF,3.282992562164806e-06,ETH,2014
41,BRA,Growing crops n.e.c. industry,XAF,4.803166682930985e-07,ETH,2014
42,BRA,Growing grapes industry,XAF,0.0,ETH,2014
43,BRA,Growing fruits and nuts industry,XAF,0.0,ETH,2014
44,BRA,"Growing beverage crops (coffee, tea etc) industry",XAF,0.0,ETH,2014
45,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAF,1.0797050337307735e-08,ETH,2014
46,BRA,Seeds and plant propagation industry,XAF,0.0,ETH,2014
47,BRA,Raising of cattle industry,XAF,7.903535015261415e-06,ETH,2014
48,BRA,Growing wheat industry,XAS,5.9932492960166795e-05,ETH,2014
49,BRA,Growing maize industry,XAS,2.3396957245079112e-05,ETH,2014
50,BRA,Growing cereals n.e.c industry,XAS,7.212073355584645e-07,ETH,2014
51,BRA,Growing leguminous crops and oil seeds industry,XAS,0.00020206480134794653,ETH,2014
52,BRA,Growing rice industry,XAS,0.0,ETH,2014
53,BRA,"Growing vegetables, roots, tubers industry",XAS,1.6652620466149273e-07,ETH,2014
54,BRA,Growing sugar beet and cane industry,XAS,3.3255633897551346e-06,ETH,2014
55,BRA,Growing tobacco industry,XAS,4.2256609121452465e-08,ETH,2014
56,BRA,Growing fibre crops industry,XAS,5.253769758714009e-06,ETH,2014
57,BRA,Growing crops n.e.c. industry,XAS,2.6298264550353266e-07,ETH,2014
58,BRA,Growing grapes industry,XAS,0.0,ETH,2014
59,BRA,Growing fruits and nuts industry,XAS,0.0,ETH,2014
60,BRA,"Growing beverage crops (coffee, tea etc) industry",XAS,0.0,ETH,2014
61,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAS,1.6765873704056173e-08,ETH,2014
62,BRA,Seeds and plant propagation industry,XAS,0.0,ETH,2014
63,BRA,Raising of cattle industry,XAS,6.931169696557821e-06,ETH,2014
64,BRA,Growing wheat industry,AFG,5.921775389901204e-06,ETH,2014
65,BRA,Growing maize industry,AFG,2.9175212807221673e-06,ETH,2014
66,BRA,Growing cereals n.e.c industry,AFG,1.4003675666770203e-07,ETH,2014
67,BRA,Growing leguminous crops and oil seeds industry,AFG,2.056431011057172e-05,ETH,2014
68,BRA,Growing rice industry,AFG,0.0,ETH,2014
69,BRA,"Growing vegetables, roots, tubers industry",AFG,1.0224727823731327e-08,ETH,2014
70,BRA,Growing sugar beet and cane industry,AFG,8.360880239032196e-07,ETH,2014
71,BRA,Growing tobacco industry,AFG,5.7612433490532265e-09,ETH,2014
72,BRA,Growing fibre crops industry,AFG,4.3572724679089813e-07,ETH,2014
73,BRA,Growing crops n.e.c. industry,AFG,4.134294474221518e-08,ETH,2014
74,BRA,Growing grapes industry,AFG,0.0,ETH,2014
75,BRA,Growing fruits and nuts industry,AFG,0.0,ETH,2014
