,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,BRA,Growing wheat industry,XAM,0.010666571407507226,CUB,2015
1,BRA,Growing maize industry,XAM,0.04031980947074233,CUB,2015
2,BRA,Growing cereals n.e.c industry,XAM,0.009831923826082263,CUB,2015
3,BRA,Growing leguminous crops and oil seeds industry,XAM,0.22175496762090197,CUB,2015
4,BRA,Growing rice industry,XAM,0.0,CUB,2015
5,BRA,"Growing vegetables, roots, tubers industry",XAM,1.355791612094399e-05,CUB,2015
6,BRA,Growing sugar beet and cane industry,XAM,0.019621790881039384,CUB,2015
7,BRA,Growing tobacco industry,XAM,4.1328522336408245e-05,CUB,2015
8,BRA,Growing fibre crops industry,XAM,0.0011535545288957297,CUB,2015
9,BRA,Growing crops n.e.c. industry,XAM,0.0008568110475856723,CUB,2015
10,BRA,Growing grapes industry,XAM,0.0,CUB,2015
11,BRA,Growing fruits and nuts industry,XAM,0.0,CUB,2015
12,BRA,"Growing beverage crops (coffee, tea etc) industry",XAM,0.02093792365506579,CUB,2015
13,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,1.699312785577142e-05,CUB,2015
14,BRA,Seeds and plant propagation industry,XAM,0.0,CUB,2015
15,BRA,Raising of cattle industry,XAM,0.02045031140180175,CUB,2015
16,BRA,Growing wheat industry,XEU,0.00013888914780444122,CUB,2015
17,BRA,Growing maize industry,XEU,0.0003890831370478414,CUB,2015
18,BRA,Growing cereals n.e.c industry,XEU,5.2479189452757325e-05,CUB,2015
19,BRA,Growing leguminous crops and oil seeds industry,XEU,0.007506354532820669,CUB,2015
20,BRA,Growing rice industry,XEU,0.0,CUB,2015
21,BRA,"Growing vegetables, roots, tubers industry",XEU,6.754107350288019e-07,CUB,2015
22,BRA,Growing sugar beet and cane industry,XEU,0.00023813732596777748,CUB,2015
23,BRA,Growing tobacco industry,XEU,1.6745241682826418e-06,CUB,2015
24,BRA,Growing fibre crops industry,XEU,3.4018812125380995e-05,CUB,2015
25,BRA,Growing crops n.e.c. industry,XEU,2.0873292775257036e-05,CUB,2015
26,BRA,Growing grapes industry,XEU,0.0,CUB,2015
27,BRA,Growing fruits and nuts industry,XEU,0.0,CUB,2015
28,BRA,"Growing beverage crops (coffee, tea etc) industry",XEU,0.00025614412075924714,CUB,2015
