,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,BRA,Growing wheat industry,XAM,7.142095011020589e-05,ERI,2015
1,BRA,Growing maize industry,XAM,1.5035640638697936e-06,ERI,2015
2,BRA,Growing cereals n.e.c industry,XAM,2.164840544557964e-07,ERI,2015
3,BRA,Growing leguminous crops and oil seeds industry,XAM,8.345598958622714e-05,ERI,2015
4,BRA,Growing rice industry,XAM,0.0,ERI,2015
5,BRA,"Growing vegetables, roots, tubers industry",XAM,5.975153182832368e-08,ERI,2015
6,BRA,Growing sugar beet and cane industry,XAM,6.2598358870069415e-06,ERI,2015
7,BRA,Growing tobacco industry,XAM,2.8221456157157972e-08,ERI,2015
8,BRA,Growing fibre crops industry,XAM,2.052068274391971e-06,ERI,2015
9,BRA,Growing crops n.e.c. industry,XAM,8.234376959678145e-08,ERI,2015
10,BRA,Growing grapes industry,XAM,0.0,ERI,2015
11,BRA,Growing fruits and nuts industry,XAM,0.0,ERI,2015
12,BRA,"Growing beverage crops (coffee, tea etc) industry",XAM,1.3687968646786703e-07,ERI,2015
13,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,5.0330300139454735e-09,ERI,2015
14,BRA,Seeds and plant propagation industry,XAM,0.0,ERI,2015
15,BRA,Raising of cattle industry,XAM,7.943165662769933e-06,ERI,2015
16,BRA,Growing wheat industry,XEU,1.9523443495487153e-05,ERI,2015
17,BRA,Growing maize industry,XEU,2.626614794140709e-07,ERI,2015
18,BRA,Growing cereals n.e.c industry,XEU,3.0374338287476126e-08,ERI,2015
19,BRA,Growing leguminous crops and oil seeds industry,XEU,1.3315707287074276e-05,ERI,2015
20,BRA,Growing rice industry,XEU,0.0,ERI,2015
21,BRA,"Growing vegetables, roots, tubers industry",XEU,7.786843386714295e-09,ERI,2015
22,BRA,Growing sugar beet and cane industry,XEU,9.93307480290223e-07,ERI,2015
23,BRA,Growing tobacco industry,XEU,3.750339668431909e-09,ERI,2015
24,BRA,Growing fibre crops industry,XEU,2.8855797222490666e-07,ERI,2015
25,BRA,Growing crops n.e.c. industry,XEU,1.2620262945779275e-08,ERI,2015
