,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,BRA,Growing wheat industry,XAM,0.0001255224442553224,ISL,2015
1,BRA,Growing maize industry,XAM,0.0002334607891621907,ISL,2015
2,BRA,Growing cereals n.e.c industry,XAM,4.0874444032870296e-05,ISL,2015
3,BRA,Growing leguminous crops and oil seeds industry,XAM,0.004892447284836215,ISL,2015
4,BRA,Growing rice industry,XAM,0.0,ISL,2015
5,BRA,"Growing vegetables, roots, tubers industry",XAM,4.142391496131998e-06,ISL,2015
6,BRA,Growing sugar beet and cane industry,XAM,0.00016204233336356003,ISL,2015
7,BRA,Growing tobacco industry,XAM,3.2053720478037257e-07,ISL,2015
8,BRA,Growing fibre crops industry,XAM,3.4008057979275146e-05,ISL,2015
9,BRA,Growing crops n.e.c. industry,XAM,6.301873301633314e-06,ISL,2015
10,BRA,Growing grapes industry,XAM,0.0,ISL,2015
11,BRA,Growing fruits and nuts industry,XAM,0.0,ISL,2015
12,BRA,"Growing beverage crops (coffee, tea etc) industry",XAM,1.8321312234053126e-05,ISL,2015
13,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,7.719373583118238e-08,ISL,2015
14,BRA,Seeds and plant propagation industry,XAM,0.0,ISL,2015
15,BRA,Raising of cattle industry,XAM,0.00021710548053167894,ISL,2015
16,BRA,Growing wheat industry,XEU,0.0009858183199932377,ISL,2015
17,BRA,Growing maize industry,XEU,0.0015901753205677968,ISL,2015
18,BRA,Growing cereals n.e.c industry,XEU,0.00018916269390575026,ISL,2015
19,BRA,Growing leguminous crops and oil seeds industry,XEU,0.047354611845349746,ISL,2015
20,BRA,Growing rice industry,XEU,0.0,ISL,2015
21,BRA,"Growing vegetables, roots, tubers industry",XEU,3.965939889494856e-05,ISL,2015
22,BRA,Growing sugar beet and cane industry,XEU,0.0007566613567513104,ISL,2015
23,BRA,Growing tobacco industry,XEU,2.568688217131931e-06,ISL,2015
24,BRA,Growing fibre crops industry,XEU,0.00029919675999107246,ISL,2015
25,BRA,Growing crops n.e.c. industry,XEU,4.434867153800106e-05,ISL,2015
26,BRA,Growing grapes industry,XEU,0.0,ISL,2015
27,BRA,Growing fruits and nuts industry,XEU,0.0,ISL,2015
28,BRA,"Growing beverage crops (coffee, tea etc) industry",XEU,0.00014693725288574086,ISL,2015
29,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,5.911277995121957e-07,ISL,2015
30,BRA,Seeds and plant propagation industry,XEU,0.0,ISL,2015
31,BRA,Raising of cattle industry,XEU,0.001046886227844417,ISL,2015
32,BRA,Growing wheat industry,XAF,3.026198805093498e-05,ISL,2015
33,BRA,Growing maize industry,XAF,8.968596562124118e-05,ISL,2015
34,BRA,Growing cereals n.e.c industry,XAF,1.1244927183937704e-05,ISL,2015
35,BRA,Growing leguminous crops and oil seeds industry,XAF,0.001183092057292091,ISL,2015
36,BRA,Growing rice industry,XAF,0.0,ISL,2015
37,BRA,"Growing vegetables, roots, tubers industry",XAF,1.1327567087539439e-06,ISL,2015
38,BRA,Growing sugar beet and cane industry,XAF,4.4117265468648486e-05,ISL,2015
39,BRA,Growing tobacco industry,XAF,7.369791301351579e-08,ISL,2015
40,BRA,Growing fibre crops industry,XAF,8.422799783590314e-06,ISL,2015
41,BRA,Growing crops n.e.c. industry,XAF,1.5072595798680046e-06,ISL,2015
42,BRA,Growing grapes industry,XAF,0.0,ISL,2015
43,BRA,Growing fruits and nuts industry,XAF,0.0,ISL,2015
44,BRA,"Growing beverage crops (coffee, tea etc) industry",XAF,3.5827204621792855e-06,ISL,2015
45,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAF,1.85498232729242e-08,ISL,2015
46,BRA,Seeds and plant propagation industry,XAF,0.0,ISL,2015
47,BRA,Raising of cattle industry,XAF,6.050163362696915e-05,ISL,2015
48,BRA,Growing wheat industry,XAS,4.521468796076683e-05,ISL,2015
49,BRA,Growing maize industry,XAS,0.00019449220672667898,ISL,2015
50,BRA,Growing cereals n.e.c industry,XAS,1.6623378586723602e-05,ISL,2015
51,BRA,Growing leguminous crops and oil seeds industry,XAS,0.0017447753742203204,ISL,2015
52,BRA,Growing rice industry,XAS,0.0,ISL,2015
53,BRA,"Growing vegetables, roots, tubers industry",XAS,1.4111268161088145e-06,ISL,2015
54,BRA,Growing sugar beet and cane industry,XAS,6.556071346794801e-05,ISL,2015
55,BRA,Growing tobacco industry,XAS,9.139548388740113e-08,ISL,2015
56,BRA,Growing fibre crops industry,XAS,1.0045314618074423e-05,ISL,2015
57,BRA,Growing crops n.e.c. industry,XAS,3.535218201334842e-06,ISL,2015
58,BRA,Growing grapes industry,XAS,0.0,ISL,2015
59,BRA,Growing fruits and nuts industry,XAS,0.0,ISL,2015
60,BRA,"Growing beverage crops (coffee, tea etc) industry",XAS,6.818218723036298e-06,ISL,2015
61,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAS,2.5821867295081138e-08,ISL,2015
62,BRA,Seeds and plant propagation industry,XAS,0.0,ISL,2015
63,BRA,Raising of cattle industry,XAS,8.925465232333509e-05,ISL,2015
64,BRA,Growing wheat industry,AFG,9.63346134753915e-06,ISL,2015
65,BRA,Growing maize industry,AFG,1.632264116014183e-05,ISL,2015
66,BRA,Growing cereals n.e.c industry,AFG,2.814304000857152e-06,ISL,2015
67,BRA,Growing leguminous crops and oil seeds industry,AFG,0.0003995363391420543,ISL,2015
68,BRA,Growing rice industry,AFG,0.0,ISL,2015
69,BRA,"Growing vegetables, roots, tubers industry",AFG,2.9469667071355395e-07,ISL,2015
70,BRA,Growing sugar beet and cane industry,AFG,1.1157703240775002e-05,ISL,2015
71,BRA,Growing tobacco industry,AFG,2.4737874812197992e-08,ISL,2015
72,BRA,Growing fibre crops industry,AFG,2.6196808805618427e-06,ISL,2015
73,BRA,Growing crops n.e.c. industry,AFG,4.627520474087463e-07,ISL,2015
74,BRA,Growing grapes industry,AFG,0.0,ISL,2015
75,BRA,Growing fruits and nuts industry,AFG,0.0,ISL,2015
76,BRA,"Growing beverage crops (coffee, tea etc) industry",AFG,1.456691640379846e-06,ISL,2015
77,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",AFG,5.85707764644121e-09,ISL,2015
78,BRA,Seeds and plant propagation industry,AFG,0.0,ISL,2015
79,BRA,Raising of cattle industry,AFG,1.5000711962324338e-05,ISL,2015
80,BRA,Growing wheat industry,AGO,0.0002738762636006677,ISL,2015
81,BRA,Growing maize industry,AGO,0.0011951537504628256,ISL,2015
82,BRA,Growing cereals n.e.c industry,AGO,9.543419723910243e-05,ISL,2015
83,BRA,Growing leguminous crops and oil seeds industry,AGO,0.008933154972290703,ISL,2015
84,BRA,Growing rice industry,AGO,0.0,ISL,2015
85,BRA,"Growing vegetables, roots, tubers industry",AGO,6.2939551565707475e-06,ISL,2015
86,BRA,Growing sugar beet and cane industry,AGO,0.00032751251871989556,ISL,2015
87,BRA,Growing tobacco industry,AGO,4.2093565908496125e-07,ISL,2015
88,BRA,Growing fibre crops industry,AGO,4.038958069986867e-05,ISL,2015
89,BRA,Growing crops n.e.c. industry,AGO,3.268734744542152e-05,ISL,2015
90,BRA,Growing grapes industry,AGO,0.0,ISL,2015
91,BRA,Growing fruits and nuts industry,AGO,0.0,ISL,2015
92,BRA,"Growing beverage crops (coffee, tea etc) industry",AGO,1.3932182271488154e-05,ISL,2015
93,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",AGO,1.0578484456718038e-07,ISL,2015
94,BRA,Seeds and plant propagation industry,AGO,0.0,ISL,2015
95,BRA,Raising of cattle industry,AGO,0.00040420194493260035,ISL,2015
96,BRA,Growing wheat industry,ALB,1.3590485918069005e-05,ISL,2015
97,BRA,Growing maize industry,ALB,3.44579471630472e-05,ISL,2015
98,BRA,Growing cereals n.e.c industry,ALB,4.668450605353366e-06,ISL,2015
99,BRA,Growing leguminous crops and oil seeds industry,ALB,0.0005070742003444991,ISL,2015
100,BRA,Growing rice industry,ALB,0.0,ISL,2015
101,BRA,"Growing vegetables, roots, tubers industry",ALB,3.935858844211246e-07,ISL,2015
102,BRA,Growing sugar beet and cane industry,ALB,1.828978000775075e-05,ISL,2015
103,BRA,Growing tobacco industry,ALB,3.3150519851412014e-08,ISL,2015
104,BRA,Growing fibre crops industry,ALB,3.1994810542245337e-06,ISL,2015
105,BRA,Growing crops n.e.c. industry,ALB,8.748485762487132e-07,ISL,2015
106,BRA,Growing grapes industry,ALB,0.0,ISL,2015
107,BRA,Growing fruits and nuts industry,ALB,0.0,ISL,2015
108,BRA,"Growing beverage crops (coffee, tea etc) industry",ALB,1.3315418720084025e-06,ISL,2015
109,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",ALB,7.692745704866135e-09,ISL,2015
110,BRA,Seeds and plant propagation industry,ALB,0.0,ISL,2015
111,BRA,Raising of cattle industry,ALB,2.452043068235322e-05,ISL,2015
112,BRA,Growing wheat industry,ARE,0.0007448078603067719,ISL,2015
113,BRA,Growing maize industry,ARE,0.0017488916493591698,ISL,2015
114,BRA,Growing cereals n.e.c industry,ARE,0.0002183086887244261,ISL,2015
115,BRA,Growing leguminous crops and oil seeds industry,ARE,0.03176744176564763,ISL,2015
116,BRA,Growing rice industry,ARE,0.0,ISL,2015
117,BRA,"Growing vegetables, roots, tubers industry",ARE,0.0001050652302797458,ISL,2015
118,BRA,Growing sugar beet and cane industry,ARE,0.000856619224166178,ISL,2015
119,BRA,Growing tobacco industry,ARE,1.6823043698074594e-06,ISL,2015
120,BRA,Growing fibre crops industry,ARE,0.00023093727789795472,ISL,2015
121,BRA,Growing crops n.e.c. industry,ARE,4.044187228041899e-05,ISL,2015
122,BRA,Growing grapes industry,ARE,0.0,ISL,2015
123,BRA,Growing fruits and nuts industry,ARE,0.0,ISL,2015
124,BRA,"Growing beverage crops (coffee, tea etc) industry",ARE,0.00017447989425139695,ISL,2015
125,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",ARE,7.547877806430583e-07,ISL,2015
126,BRA,Seeds and plant propagation industry,ARE,0.0,ISL,2015
127,BRA,Raising of cattle industry,ARE,0.0011710618078240285,ISL,2015
128,BRA,Growing wheat industry,ARG,0.00015249621004131337,ISL,2015
