,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,BRA,Growing wheat industry,XAM,0.007918167606656562,PAN,2015
1,BRA,Growing maize industry,XAM,0.002421530780433682,PAN,2015
2,BRA,Growing cereals n.e.c industry,XAM,0.0008362193521500845,PAN,2015
3,BRA,Growing leguminous crops and oil seeds industry,XAM,0.41569397853725637,PAN,2015
4,BRA,Growing rice industry,XAM,0.0,PAN,2015
5,BRA,"Growing vegetables, roots, tubers industry",XAM,0.0002782170509966224,PAN,2015
6,BRA,Growing sugar beet and cane industry,XAM,0.004572041310889162,PAN,2015
7,BRA,Growing tobacco industry,XAM,0.0005649792161348125,PAN,2015
8,BRA,Growing fibre crops industry,XAM,0.0048060200610733446,PAN,2015
9,BRA,Growing crops n.e.c. industry,XAM,0.0006663887467236619,PAN,2015
10,BRA,Growing grapes industry,XAM,0.0,PAN,2015
11,BRA,Growing fruits and nuts industry,XAM,0.0,PAN,2015
12,BRA,"Growing beverage crops (coffee, tea etc) industry",XAM,0.0004311363427347639,PAN,2015
13,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,6.631502143790349e-05,PAN,2015
14,BRA,Seeds and plant propagation industry,XAM,0.0,PAN,2015
15,BRA,Raising of cattle industry,XAM,0.013345351812908916,PAN,2015
16,BRA,Growing wheat industry,XEU,0.0025333262867426633,PAN,2015
17,BRA,Growing maize industry,XEU,0.000657273518951797,PAN,2015
18,BRA,Growing cereals n.e.c industry,XEU,0.00019807698823547484,PAN,2015
19,BRA,Growing leguminous crops and oil seeds industry,XEU,0.4362240077794412,PAN,2015
20,BRA,Growing rice industry,XEU,0.0,PAN,2015
21,BRA,"Growing vegetables, roots, tubers industry",XEU,3.514927713951485e-05,PAN,2015
22,BRA,Growing sugar beet and cane industry,XEU,0.0027567995003806014,PAN,2015
23,BRA,Growing tobacco industry,XEU,1.9786024138339033e-05,PAN,2015
24,BRA,Growing fibre crops industry,XEU,0.0025197708713151374,PAN,2015
25,BRA,Growing crops n.e.c. industry,XEU,0.00018942987212144488,PAN,2015
26,BRA,Growing grapes industry,XEU,0.0,PAN,2015
27,BRA,Growing fruits and nuts industry,XEU,0.0,PAN,2015
28,BRA,"Growing beverage crops (coffee, tea etc) industry",XEU,0.00010174335252924158,PAN,2015
29,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,1.4177422138121886e-05,PAN,2015
