,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,BRA,Growing wheat industry,XAM,0.00012095742907076742,YEM,2015
1,BRA,Growing maize industry,XAM,1.7610004990599594e-05,YEM,2015
2,BRA,Growing cereals n.e.c industry,XAM,1.2504099310539448e-06,YEM,2015
3,BRA,Growing leguminous crops and oil seeds industry,XAM,0.0002643716980075985,YEM,2015
4,BRA,Growing rice industry,XAM,0.0,YEM,2015
5,BRA,"Growing vegetables, roots, tubers industry",XAM,1.2140362980411225e-07,YEM,2015
6,BRA,Growing sugar beet and cane industry,XAM,6.688092109081884e-06,YEM,2015
7,BRA,Growing tobacco industry,XAM,4.7463544973473394e-08,YEM,2015
8,BRA,Growing fibre crops industry,XAM,3.114591203329108e-06,YEM,2015
9,BRA,Growing crops n.e.c. industry,XAM,3.396118821754244e-07,YEM,2015
10,BRA,Growing grapes industry,XAM,0.0,YEM,2015
11,BRA,Growing fruits and nuts industry,XAM,0.0,YEM,2015
12,BRA,"Growing beverage crops (coffee, tea etc) industry",XAM,3.083170121373068e-07,YEM,2015
13,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,1.927067064606113e-08,YEM,2015
14,BRA,Seeds and plant propagation industry,XAM,0.0,YEM,2015
15,BRA,Raising of cattle industry,XAM,1.3426797126882227e-05,YEM,2015
16,BRA,Growing wheat industry,XEU,7.306569496719389e-05,YEM,2015
17,BRA,Growing maize industry,XEU,5.714280636181424e-06,YEM,2015
18,BRA,Growing cereals n.e.c industry,XEU,6.205435635559558e-07,YEM,2015
19,BRA,Growing leguminous crops and oil seeds industry,XEU,0.0003715228855261292,YEM,2015
20,BRA,Growing rice industry,XEU,0.0,YEM,2015
21,BRA,"Growing vegetables, roots, tubers industry",XEU,5.372128379418864e-08,YEM,2015
22,BRA,Growing sugar beet and cane industry,XEU,2.9437023346004727e-06,YEM,2015
23,BRA,Growing tobacco industry,XEU,3.196470413009073e-08,YEM,2015
24,BRA,Growing fibre crops industry,XEU,2.139155067265511e-06,YEM,2015
25,BRA,Growing crops n.e.c. industry,XEU,6.41739061086508e-07,YEM,2015
26,BRA,Growing grapes industry,XEU,0.0,YEM,2015
27,BRA,Growing fruits and nuts industry,XEU,0.0,YEM,2015
28,BRA,"Growing beverage crops (coffee, tea etc) industry",XEU,1.0859661059127235e-07,YEM,2015
29,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,5.8113375492608595e-09,YEM,2015
30,BRA,Seeds and plant propagation industry,XEU,0.0,YEM,2015
31,BRA,Raising of cattle industry,XEU,1.4306624079533956e-05,YEM,2015
32,BRA,Growing wheat industry,XAF,0.0013985285900583338,YEM,2015
33,BRA,Growing maize industry,XAF,0.00013679077546929216,YEM,2015
34,BRA,Growing cereals n.e.c industry,XAF,1.5826523845269555e-05,YEM,2015
35,BRA,Growing leguminous crops and oil seeds industry,XAF,0.009849607072237782,YEM,2015
36,BRA,Growing rice industry,XAF,0.0,YEM,2015
37,BRA,"Growing vegetables, roots, tubers industry",XAF,1.467126416105293e-06,YEM,2015
38,BRA,Growing sugar beet and cane industry,XAF,7.47246469385594e-05,YEM,2015
39,BRA,Growing tobacco industry,XAF,8.769019141511167e-07,YEM,2015
40,BRA,Growing fibre crops industry,XAF,5.766433241813842e-05,YEM,2015
41,BRA,Growing crops n.e.c. industry,XAF,1.0781773145482357e-05,YEM,2015
42,BRA,Growing grapes industry,XAF,0.0,YEM,2015
43,BRA,Growing fruits and nuts industry,XAF,0.0,YEM,2015
44,BRA,"Growing beverage crops (coffee, tea etc) industry",XAF,2.938145623317889e-06,YEM,2015
45,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAF,1.578283804881106e-07,YEM,2015
46,BRA,Seeds and plant propagation industry,XAF,0.0,YEM,2015
47,BRA,Raising of cattle industry,XAF,0.0003525591441646715,YEM,2015
48,BRA,Growing wheat industry,XAS,0.0001736712443971667,YEM,2015
49,BRA,Growing maize industry,XAS,1.53451972506355e-05,YEM,2015
50,BRA,Growing cereals n.e.c industry,XAS,5.065673305358895e-06,YEM,2015
51,BRA,Growing leguminous crops and oil seeds industry,XAS,0.00045611817981705587,YEM,2015
52,BRA,Growing rice industry,XAS,0.0,YEM,2015
53,BRA,"Growing vegetables, roots, tubers industry",XAS,1.7781125647192767e-07,YEM,2015
54,BRA,Growing sugar beet and cane industry,XAS,2.255535771462287e-05,YEM,2015
55,BRA,Growing tobacco industry,XAS,5.98956562652097e-08,YEM,2015
56,BRA,Growing fibre crops industry,XAS,3.8891384471934056e-06,YEM,2015
57,BRA,Growing crops n.e.c. industry,XAS,4.112186639700137e-07,YEM,2015
58,BRA,Growing grapes industry,XAS,0.0,YEM,2015
59,BRA,Growing fruits and nuts industry,XAS,0.0,YEM,2015
60,BRA,"Growing beverage crops (coffee, tea etc) industry",XAS,8.236464107254641e-07,YEM,2015
61,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAS,1.0087950200084139e-08,YEM,2015
62,BRA,Seeds and plant propagation industry,XAS,0.0,YEM,2015
63,BRA,Raising of cattle industry,XAS,3.5355379200920755e-05,YEM,2015
64,BRA,Growing wheat industry,AFG,3.1745927367093885e-05,YEM,2015
65,BRA,Growing maize industry,AFG,2.6338735288251537e-06,YEM,2015
66,BRA,Growing cereals n.e.c industry,AFG,3.576487498984969e-07,YEM,2015
67,BRA,Growing leguminous crops and oil seeds industry,AFG,0.00011174186705375232,YEM,2015
68,BRA,Growing rice industry,AFG,0.0,YEM,2015
69,BRA,"Growing vegetables, roots, tubers industry",AFG,3.637915026183213e-08,YEM,2015
70,BRA,Growing sugar beet and cane industry,AFG,1.7585926029330418e-06,YEM,2015
71,BRA,Growing tobacco industry,AFG,1.4594567230182195e-08,YEM,2015
72,BRA,Growing fibre crops industry,AFG,1.2117057277297122e-06,YEM,2015
73,BRA,Growing crops n.e.c. industry,AFG,1.2492743999950936e-07,YEM,2015
74,BRA,Growing grapes industry,AFG,0.0,YEM,2015
75,BRA,Growing fruits and nuts industry,AFG,0.0,YEM,2015
76,BRA,"Growing beverage crops (coffee, tea etc) industry",AFG,1.1171248517823512e-07,YEM,2015
77,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",AFG,4.042662864736107e-09,YEM,2015
78,BRA,Seeds and plant propagation industry,AFG,0.0,YEM,2015
79,BRA,Raising of cattle industry,AFG,4.483190820704419e-06,YEM,2015
80,BRA,Growing wheat industry,AGO,0.0020008882369282827,YEM,2015
81,BRA,Growing maize industry,AGO,0.00010303698636225412,YEM,2015
82,BRA,Growing cereals n.e.c industry,AGO,3.832027025945292e-06,YEM,2015
83,BRA,Growing leguminous crops and oil seeds industry,AGO,0.0005984262939711769,YEM,2015
84,BRA,Growing rice industry,AGO,0.0,YEM,2015
85,BRA,"Growing vegetables, roots, tubers industry",AGO,2.1406155037987295e-07,YEM,2015
86,BRA,Growing sugar beet and cane industry,AGO,1.9401636460720738e-05,YEM,2015
87,BRA,Growing tobacco industry,AGO,8.173975006893146e-08,YEM,2015
88,BRA,Growing fibre crops industry,AGO,6.5183177748447665e-06,YEM,2015
89,BRA,Growing crops n.e.c. industry,AGO,1.0031393932111196e-06,YEM,2015
90,BRA,Growing grapes industry,AGO,0.0,YEM,2015
91,BRA,Growing fruits and nuts industry,AGO,0.0,YEM,2015
92,BRA,"Growing beverage crops (coffee, tea etc) industry",AGO,7.38247133302086e-07,YEM,2015
93,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",AGO,2.6127006181248813e-08,YEM,2015
94,BRA,Seeds and plant propagation industry,AGO,0.0,YEM,2015
95,BRA,Raising of cattle industry,AGO,3.8353162135218246e-05,YEM,2015
96,BRA,Growing wheat industry,ALB,0.0001898599772127978,YEM,2015
97,BRA,Growing maize industry,ALB,7.018018428604171e-06,YEM,2015
98,BRA,Growing cereals n.e.c industry,ALB,3.492047936074152e-07,YEM,2015
99,BRA,Growing leguminous crops and oil seeds industry,ALB,4.201722102248423e-05,YEM,2015
100,BRA,Growing rice industry,ALB,0.0,YEM,2015
101,BRA,"Growing vegetables, roots, tubers industry",ALB,1.7325383537690018e-08,YEM,2015
102,BRA,Growing sugar beet and cane industry,ALB,1.7399970450042208e-06,YEM,2015
103,BRA,Growing tobacco industry,ALB,6.241494730306495e-09,YEM,2015
104,BRA,Growing fibre crops industry,ALB,4.3236661677465436e-07,YEM,2015
105,BRA,Growing crops n.e.c. industry,ALB,8.924611637213019e-08,YEM,2015
106,BRA,Growing grapes industry,ALB,0.0,YEM,2015
107,BRA,Growing fruits and nuts industry,ALB,0.0,YEM,2015
108,BRA,"Growing beverage crops (coffee, tea etc) industry",ALB,6.808767594669603e-08,YEM,2015
109,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",ALB,1.8022427710166285e-09,YEM,2015
110,BRA,Seeds and plant propagation industry,ALB,0.0,YEM,2015
111,BRA,Raising of cattle industry,ALB,3.324223688354893e-06,YEM,2015
112,BRA,Growing wheat industry,ARE,0.0786893578872502,YEM,2015
113,BRA,Growing maize industry,ARE,0.004267305860639367,YEM,2015
114,BRA,Growing cereals n.e.c industry,ARE,8.185552454604994e-05,YEM,2015
115,BRA,Growing leguminous crops and oil seeds industry,ARE,0.026998251870218606,YEM,2015
116,BRA,Growing rice industry,ARE,0.0,YEM,2015
117,BRA,"Growing vegetables, roots, tubers industry",ARE,1.574377904542338e-05,YEM,2015
118,BRA,Growing sugar beet and cane industry,ARE,0.0006598948765128245,YEM,2015
119,BRA,Growing tobacco industry,ARE,4.781604214867415e-06,YEM,2015
120,BRA,Growing fibre crops industry,ARE,0.00033904270836837607,YEM,2015
121,BRA,Growing crops n.e.c. industry,ARE,8.197795450468028e-05,YEM,2015
122,BRA,Growing grapes industry,ARE,0.0,YEM,2015
123,BRA,Growing fruits and nuts industry,ARE,0.0,YEM,2015
124,BRA,"Growing beverage crops (coffee, tea etc) industry",ARE,2.3041284048738085e-05,YEM,2015
125,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",ARE,8.608000643651413e-07,YEM,2015
126,BRA,Seeds and plant propagation industry,ARE,0.0,YEM,2015
127,BRA,Raising of cattle industry,ARE,0.003680561877609463,YEM,2015
128,BRA,Growing wheat industry,ARG,0.00028928175437508086,YEM,2015
129,BRA,Growing maize industry,ARG,0.00011810692876569387,YEM,2015
130,BRA,Growing cereals n.e.c industry,ARG,5.598792725202251e-06,YEM,2015
131,BRA,Growing leguminous crops and oil seeds industry,ARG,0.0007528240286377741,YEM,2015
132,BRA,Growing rice industry,ARG,0.0,YEM,2015
133,BRA,"Growing vegetables, roots, tubers industry",ARG,3.2725260546404964e-07,YEM,2015
134,BRA,Growing sugar beet and cane industry,ARG,2.7173745463131385e-05,YEM,2015
135,BRA,Growing tobacco industry,ARG,1.0677864032351126e-07,YEM,2015
136,BRA,Growing fibre crops industry,ARG,1.0052035145265585e-05,YEM,2015
137,BRA,Growing crops n.e.c. industry,ARG,9.631413447183115e-07,YEM,2015
138,BRA,Growing grapes industry,ARG,0.0,YEM,2015
139,BRA,Growing fruits and nuts industry,ARG,0.0,YEM,2015
140,BRA,"Growing beverage crops (coffee, tea etc) industry",ARG,1.2011486732002304e-06,YEM,2015
141,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",ARG,2.7663699348608703e-08,YEM,2015
142,BRA,Seeds and plant propagation industry,ARG,0.0,YEM,2015
143,BRA,Raising of cattle industry,ARG,4.8225645802290306e-05,YEM,2015
144,BRA,Growing wheat industry,ARM,0.00037170380814049954,YEM,2015
145,BRA,Growing maize industry,ARM,1.6306708500957243e-05,YEM,2015
146,BRA,Growing cereals n.e.c industry,ARM,1.0056964948289926e-06,YEM,2015
147,BRA,Growing leguminous crops and oil seeds industry,ARM,0.00048647439974717506,YEM,2015
148,BRA,Growing rice industry,ARM,0.0,YEM,2015
149,BRA,"Growing vegetables, roots, tubers industry",ARM,1.6585090493216652e-07,YEM,2015
150,BRA,Growing sugar beet and cane industry,ARM,6.013530700721718e-06,YEM,2015
151,BRA,Growing tobacco industry,ARM,1.204396173315294e-07,YEM,2015
152,BRA,Growing fibre crops industry,ARM,1.0010521250581181e-05,YEM,2015
153,BRA,Growing crops n.e.c. industry,ARM,8.324719268210016e-07,YEM,2015
154,BRA,Growing grapes industry,ARM,0.0,YEM,2015
155,BRA,Growing fruits and nuts industry,ARM,0.0,YEM,2015
156,BRA,"Growing beverage crops (coffee, tea etc) industry",ARM,4.479638122752792e-07,YEM,2015
157,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",ARM,2.496340617926867e-08,YEM,2015
158,BRA,Seeds and plant propagation industry,ARM,0.0,YEM,2015
159,BRA,Raising of cattle industry,ARM,1.6892153716303287e-05,YEM,2015
160,BRA,Growing wheat industry,AUS,0.005534533911335084,YEM,2015
161,BRA,Growing maize industry,AUS,0.0003291911283782428,YEM,2015
162,BRA,Growing cereals n.e.c industry,AUS,5.372440194514014e-05,YEM,2015
163,BRA,Growing leguminous crops and oil seeds industry,AUS,0.006406510996775471,YEM,2015
164,BRA,Growing rice industry,AUS,0.0,YEM,2015
165,BRA,"Growing vegetables, roots, tubers industry",AUS,2.8980792276874303e-06,YEM,2015
166,BRA,Growing sugar beet and cane industry,AUS,0.000248943495243268,YEM,2015
167,BRA,Growing tobacco industry,AUS,9.281183922149493e-07,YEM,2015
168,BRA,Growing fibre crops industry,AUS,6.834429427596856e-05,YEM,2015
169,BRA,Growing crops n.e.c. industry,AUS,2.4366181411909858e-05,YEM,2015
170,BRA,Growing grapes industry,AUS,0.0,YEM,2015
171,BRA,Growing fruits and nuts industry,AUS,0.0,YEM,2015
172,BRA,"Growing beverage crops (coffee, tea etc) industry",AUS,9.946636654971687e-06,YEM,2015
173,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",AUS,1.9212162553587367e-07,YEM,2015
174,BRA,Seeds and plant propagation industry,AUS,0.0,YEM,2015
175,BRA,Raising of cattle industry,AUS,0.00046610978504614314,YEM,2015
176,BRA,Growing wheat industry,AUT,0.09676587153653025,YEM,2015
177,BRA,Growing maize industry,AUT,0.0016343637964433355,YEM,2015
178,BRA,Growing cereals n.e.c industry,AUT,2.8131472931361044e-05,YEM,2015
179,BRA,Growing leguminous crops and oil seeds industry,AUT,0.003556932030860829,YEM,2015
180,BRA,Growing rice industry,AUT,0.0,YEM,2015
181,BRA,"Growing vegetables, roots, tubers industry",AUT,1.3938873748179042e-06,YEM,2015
182,BRA,Growing sugar beet and cane industry,AUT,0.00026586328133181757,YEM,2015
183,BRA,Growing tobacco industry,AUT,7.047022701671291e-07,YEM,2015
184,BRA,Growing fibre crops industry,AUT,4.409348494525334e-05,YEM,2015
185,BRA,Growing crops n.e.c. industry,AUT,6.392943410389486e-06,YEM,2015
186,BRA,Growing grapes industry,AUT,0.0,YEM,2015
187,BRA,Growing fruits and nuts industry,AUT,0.0,YEM,2015
188,BRA,"Growing beverage crops (coffee, tea etc) industry",AUT,4.146851896313427e-06,YEM,2015
189,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",AUT,2.0103659218622732e-07,YEM,2015
190,BRA,Seeds and plant propagation industry,AUT,0.0,YEM,2015
191,BRA,Raising of cattle industry,AUT,0.0004920122678850667,YEM,2015
192,BRA,Growing wheat industry,AZE,6.909720461513935e-05,YEM,2015
193,BRA,Growing maize industry,AZE,6.011291814210322e-06,YEM,2015
