,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,BRA,Growing wheat industry,XAM,0.0001184292192635738,ZWE,2015
1,BRA,Growing maize industry,XAM,4.718241194846569e-06,ZWE,2015
2,BRA,Growing cereals n.e.c industry,XAM,3.894144230719094e-06,ZWE,2015
3,BRA,Growing leguminous crops and oil seeds industry,XAM,0.0004895900946180939,ZWE,2015
4,BRA,Growing rice industry,XAM,0.0,ZWE,2015
5,BRA,"Growing vegetables, roots, tubers industry",XAM,2.8073367149646774e-07,ZWE,2015
6,BRA,Growing sugar beet and cane industry,XAM,1.3758031195086048e-05,ZWE,2015
7,BRA,Growing tobacco industry,XAM,1.540040786341649e-06,ZWE,2015
8,BRA,Growing fibre crops industry,XAM,9.761296563359865e-06,ZWE,2015
9,BRA,Growing crops n.e.c. industry,XAM,2.2526973925952023e-06,ZWE,2015
10,BRA,Growing grapes industry,XAM,0.0,ZWE,2015
11,BRA,Growing fruits and nuts industry,XAM,0.0,ZWE,2015
12,BRA,"Growing beverage crops (coffee, tea etc) industry",XAM,3.301510418422594e-07,ZWE,2015
13,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,2.9181671758646873e-08,ZWE,2015
14,BRA,Seeds and plant propagation industry,XAM,0.0,ZWE,2015
15,BRA,Raising of cattle industry,XAM,2.300799356551935e-05,ZWE,2015
16,BRA,Growing wheat industry,XEU,4.064779130884653e-05,ZWE,2015
17,BRA,Growing maize industry,XEU,1.1820379085721406e-06,ZWE,2015
18,BRA,Growing cereals n.e.c industry,XEU,8.543201686645654e-07,ZWE,2015
19,BRA,Growing leguminous crops and oil seeds industry,XEU,0.00012507219427549486,ZWE,2015
20,BRA,Growing rice industry,XEU,0.0,ZWE,2015
21,BRA,"Growing vegetables, roots, tubers industry",XEU,6.288727197181145e-08,ZWE,2015
22,BRA,Growing sugar beet and cane industry,XEU,3.3156603861741775e-06,ZWE,2015
23,BRA,Growing tobacco industry,XEU,3.850398738816816e-08,ZWE,2015
24,BRA,Growing fibre crops industry,XEU,2.6172903350941233e-06,ZWE,2015
25,BRA,Growing crops n.e.c. industry,XEU,5.751944629497013e-07,ZWE,2015
26,BRA,Growing grapes industry,XEU,0.0,ZWE,2015
27,BRA,Growing fruits and nuts industry,XEU,0.0,ZWE,2015
28,BRA,"Growing beverage crops (coffee, tea etc) industry",XEU,7.345828769222995e-08,ZWE,2015
29,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,7.073795144474752e-09,ZWE,2015
30,BRA,Seeds and plant propagation industry,XEU,0.0,ZWE,2015
31,BRA,Raising of cattle industry,XEU,5.689466381961462e-06,ZWE,2015
32,BRA,Growing wheat industry,XAF,0.0023532615457738616,ZWE,2015
33,BRA,Growing maize industry,XAF,5.974960506479994e-05,ZWE,2015
34,BRA,Growing cereals n.e.c industry,XAF,3.5458807891117827e-05,ZWE,2015
