,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,BRA,Growing wheat industry,XAM,0.0,KGZ,2016
1,BRA,Growing maize industry,XAM,3.380933782474881e-05,KGZ,2016
2,BRA,Growing cereals n.e.c industry,XAM,3.223901678701356e-06,KGZ,2016
3,BRA,Growing leguminous crops and oil seeds industry,XAM,0.0001264495907649238,KGZ,2016
4,BRA,Growing rice industry,XAM,3.3700346724945365e-09,KGZ,2016
5,BRA,"Growing vegetables, roots, tubers industry",XAM,1.0939476939472133e-08,KGZ,2016
6,BRA,Growing sugar beet and cane industry,XAM,1.934510088344874e-06,KGZ,2016
7,BRA,Growing tobacco industry,XAM,4.623681949086365e-08,KGZ,2016
8,BRA,Growing fibre crops industry,XAM,0.0,KGZ,2016
9,BRA,Growing crops n.e.c. industry,XAM,1.0059261407574222e-07,KGZ,2016
10,BRA,Growing grapes industry,XAM,0.0,KGZ,2016
11,BRA,Growing fruits and nuts industry,XAM,0.0,KGZ,2016
12,BRA,"Growing beverage crops (coffee, tea etc) industry",XAM,4.376854851819505e-07,KGZ,2016
13,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,5.871076620272573e-09,KGZ,2016
14,BRA,Seeds and plant propagation industry,XAM,0.0,KGZ,2016
15,BRA,Raising of cattle industry,XAM,4.644823635917387e-06,KGZ,2016
16,BRA,Growing wheat industry,XEU,0.0,KGZ,2016
17,BRA,Growing maize industry,XEU,7.093907315262277e-06,KGZ,2016
18,BRA,Growing cereals n.e.c industry,XEU,8.339765186720604e-07,KGZ,2016
19,BRA,Growing leguminous crops and oil seeds industry,XEU,3.468159899315529e-05,KGZ,2016
20,BRA,Growing rice industry,XEU,8.147798818924504e-10,KGZ,2016
21,BRA,"Growing vegetables, roots, tubers industry",XEU,2.4869836637307357e-09,KGZ,2016
22,BRA,Growing sugar beet and cane industry,XEU,4.96279891430609e-07,KGZ,2016
23,BRA,Growing tobacco industry,XEU,9.942164543452886e-09,KGZ,2016
24,BRA,Growing fibre crops industry,XEU,0.0,KGZ,2016
25,BRA,Growing crops n.e.c. industry,XEU,2.514801443626271e-08,KGZ,2016
