,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,BRA,Growing wheat industry,XAM,0.0,MMR,2016
1,BRA,Growing maize industry,XAM,0.0005912149397308876,MMR,2016
2,BRA,Growing cereals n.e.c industry,XAM,1.5874553847837405e-05,MMR,2016
3,BRA,Growing leguminous crops and oil seeds industry,XAM,0.0018018724724223783,MMR,2016
4,BRA,Growing rice industry,XAM,3.37383813381108e-08,MMR,2016
5,BRA,"Growing vegetables, roots, tubers industry",XAM,2.158719559291153e-07,MMR,2016
6,BRA,Growing sugar beet and cane industry,XAM,5.515531773844829e-06,MMR,2016
7,BRA,Growing tobacco industry,XAM,3.550736058533116e-07,MMR,2016
8,BRA,Growing fibre crops industry,XAM,0.0,MMR,2016
9,BRA,Growing crops n.e.c. industry,XAM,4.736294822222148e-06,MMR,2016
10,BRA,Growing grapes industry,XAM,0.0,MMR,2016
11,BRA,Growing fruits and nuts industry,XAM,0.0,MMR,2016
12,BRA,"Growing beverage crops (coffee, tea etc) industry",XAM,7.670247559671901e-07,MMR,2016
13,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,8.581907614131274e-08,MMR,2016
14,BRA,Seeds and plant propagation industry,XAM,0.0,MMR,2016
15,BRA,Raising of cattle industry,XAM,2.3143365438505108e-05,MMR,2016
16,BRA,Growing wheat industry,XEU,0.0,MMR,2016
17,BRA,Growing maize industry,XEU,0.0018584062488089118,MMR,2016
18,BRA,Growing cereals n.e.c industry,XEU,2.3411847073276773e-05,MMR,2016
19,BRA,Growing leguminous crops and oil seeds industry,XEU,0.0012874106531959154,MMR,2016
20,BRA,Growing rice industry,XEU,1.4090844553430703e-08,MMR,2016
21,BRA,"Growing vegetables, roots, tubers industry",XEU,8.95384129028841e-08,MMR,2016
22,BRA,Growing sugar beet and cane industry,XEU,6.531859239181526e-06,MMR,2016
23,BRA,Growing tobacco industry,XEU,1.0044104530231937e-07,MMR,2016
24,BRA,Growing fibre crops industry,XEU,0.0,MMR,2016
25,BRA,Growing crops n.e.c. industry,XEU,7.818601229988239e-06,MMR,2016
26,BRA,Growing grapes industry,XEU,0.0,MMR,2016
27,BRA,Growing fruits and nuts industry,XEU,0.0,MMR,2016
28,BRA,"Growing beverage crops (coffee, tea etc) industry",XEU,2.4683959409225e-07,MMR,2016
29,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,3.030278108370544e-08,MMR,2016
30,BRA,Seeds and plant propagation industry,XEU,0.0,MMR,2016
31,BRA,Raising of cattle industry,XEU,3.3334516628618815e-05,MMR,2016
32,BRA,Growing wheat industry,XAF,0.0,MMR,2016
33,BRA,Growing maize industry,XAF,0.0005027519644095922,MMR,2016
34,BRA,Growing cereals n.e.c industry,XAF,1.090762869244453e-05,MMR,2016
35,BRA,Growing leguminous crops and oil seeds industry,XAF,0.0007700121450427323,MMR,2016
36,BRA,Growing rice industry,XAF,2.2326659041963183e-08,MMR,2016
37,BRA,"Growing vegetables, roots, tubers industry",XAF,1.3600920906772026e-07,MMR,2016
