,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,BRA,Growing wheat industry,XAM,0.0,SEN,2016
1,BRA,Growing maize industry,XAM,0.0010012619145150102,SEN,2016
2,BRA,Growing cereals n.e.c industry,XAM,0.0004202638356367285,SEN,2016
3,BRA,Growing leguminous crops and oil seeds industry,XAM,0.002877897997365727,SEN,2016
4,BRA,Growing rice industry,XAM,1.1652187493505838e-07,SEN,2016
5,BRA,"Growing vegetables, roots, tubers industry",XAM,1.5697554476383504e-07,SEN,2016
6,BRA,Growing sugar beet and cane industry,XAM,0.00013452388604785092,SEN,2016
7,BRA,Growing tobacco industry,XAM,2.506024266106562e-07,SEN,2016
8,BRA,Growing fibre crops industry,XAM,0.0,SEN,2016
9,BRA,Growing crops n.e.c. industry,XAM,2.4756607816097593e-06,SEN,2016
10,BRA,Growing grapes industry,XAM,0.0,SEN,2016
11,BRA,Growing fruits and nuts industry,XAM,0.0,SEN,2016
12,BRA,"Growing beverage crops (coffee, tea etc) industry",XAM,1.3859684928143512e-06,SEN,2016
13,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,1.3432827377416852e-07,SEN,2016
14,BRA,Seeds and plant propagation industry,XAM,0.0,SEN,2016
15,BRA,Raising of cattle industry,XAM,0.0008935462190664363,SEN,2016
16,BRA,Growing wheat industry,XEU,0.0,SEN,2016
17,BRA,Growing maize industry,XEU,0.0003431675234802021,SEN,2016
18,BRA,Growing cereals n.e.c industry,XEU,2.1496134259941213e-05,SEN,2016
19,BRA,Growing leguminous crops and oil seeds industry,XEU,0.0003525309291127664,SEN,2016
20,BRA,Growing rice industry,XEU,1.1408927680268715e-08,SEN,2016
21,BRA,"Growing vegetables, roots, tubers industry",XEU,1.8720274406403188e-08,SEN,2016
22,BRA,Growing sugar beet and cane industry,XEU,7.2577358391912084e-06,SEN,2016
23,BRA,Growing tobacco industry,XEU,4.372580287133421e-08,SEN,2016
24,BRA,Growing fibre crops industry,XEU,0.0,SEN,2016
25,BRA,Growing crops n.e.c. industry,XEU,3.206789820916888e-07,SEN,2016
26,BRA,Growing grapes industry,XEU,0.0,SEN,2016
27,BRA,Growing fruits and nuts industry,XEU,0.0,SEN,2016
