,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,BRA,Growing wheat industry,XAM,0.0,XAF,2016
1,BRA,Growing maize industry,XAM,0.0005028140022794719,XAF,2016
2,BRA,Growing cereals n.e.c industry,XAM,0.00010303354154072325,XAF,2016
3,BRA,Growing leguminous crops and oil seeds industry,XAM,0.0017295011200830126,XAF,2016
4,BRA,Growing rice industry,XAM,4.811828158252487e-07,XAF,2016
5,BRA,"Growing vegetables, roots, tubers industry",XAM,3.5265844276576177e-07,XAF,2016
6,BRA,Growing sugar beet and cane industry,XAM,3.4053406303329334e-05,XAF,2016
7,BRA,Growing tobacco industry,XAM,1.8035117429194073e-06,XAF,2016
8,BRA,Growing fibre crops industry,XAM,0.0,XAF,2016
9,BRA,Growing crops n.e.c. industry,XAM,5.241530362705709e-06,XAF,2016
10,BRA,Growing grapes industry,XAM,0.0,XAF,2016
11,BRA,Growing fruits and nuts industry,XAM,0.0,XAF,2016
12,BRA,"Growing beverage crops (coffee, tea etc) industry",XAM,1.6262774176641002e-06,XAF,2016
13,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,4.20549752313715e-07,XAF,2016
14,BRA,Seeds and plant propagation industry,XAM,0.0,XAF,2016
15,BRA,Raising of cattle industry,XAM,0.00021297619281395822,XAF,2016
16,BRA,Growing wheat industry,XEU,0.0,XAF,2016
17,BRA,Growing maize industry,XEU,0.00014054834851344155,XAF,2016
18,BRA,Growing cereals n.e.c industry,XEU,2.369855376564511e-05,XAF,2016
19,BRA,Growing leguminous crops and oil seeds industry,XEU,0.0004675650536792646,XAF,2016
20,BRA,Growing rice industry,XEU,2.018348392897414e-07,XAF,2016
21,BRA,"Growing vegetables, roots, tubers industry",XEU,9.0073114750664e-08,XAF,2016
22,BRA,Growing sugar beet and cane industry,XEU,8.319293368337592e-06,XAF,2016
23,BRA,Growing tobacco industry,XEU,2.3037344522467329e-07,XAF,2016
24,BRA,Growing fibre crops industry,XEU,0.0,XAF,2016
25,BRA,Growing crops n.e.c. industry,XEU,1.3464903028287325e-06,XAF,2016
26,BRA,Growing grapes industry,XEU,0.0,XAF,2016
27,BRA,Growing fruits and nuts industry,XEU,0.0,XAF,2016
28,BRA,"Growing beverage crops (coffee, tea etc) industry",XEU,5.314055611797519e-07,XAF,2016
29,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,1.0984416797700719e-07,XAF,2016
30,BRA,Seeds and plant propagation industry,XEU,0.0,XAF,2016
31,BRA,Raising of cattle industry,XEU,3.95392821221604e-05,XAF,2016
32,BRA,Growing wheat industry,XAF,0.0,XAF,2016
33,BRA,Growing maize industry,XAF,0.0,XAF,2016
34,BRA,Growing cereals n.e.c industry,XAF,0.0,XAF,2016
35,BRA,Growing leguminous crops and oil seeds industry,XAF,0.0,XAF,2016
36,BRA,Growing rice industry,XAF,0.0,XAF,2016
37,BRA,"Growing vegetables, roots, tubers industry",XAF,0.0,XAF,2016
38,BRA,Growing sugar beet and cane industry,XAF,0.0,XAF,2016
39,BRA,Growing tobacco industry,XAF,0.0,XAF,2016
40,BRA,Growing fibre crops industry,XAF,0.0,XAF,2016
41,BRA,Growing crops n.e.c. industry,XAF,0.0,XAF,2016
42,BRA,Growing grapes industry,XAF,0.0,XAF,2016
43,BRA,Growing fruits and nuts industry,XAF,0.0,XAF,2016
44,BRA,"Growing beverage crops (coffee, tea etc) industry",XAF,0.0,XAF,2016
45,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAF,0.0,XAF,2016
46,BRA,Seeds and plant propagation industry,XAF,0.0,XAF,2016
47,BRA,Raising of cattle industry,XAF,0.0,XAF,2016
48,BRA,Growing wheat industry,XAS,0.0,XAF,2016
49,BRA,Growing maize industry,XAS,0.0019129161810289828,XAF,2016
50,BRA,Growing cereals n.e.c industry,XAS,0.0003705021602231498,XAF,2016
51,BRA,Growing leguminous crops and oil seeds industry,XAS,0.0076512347713188905,XAF,2016
52,BRA,Growing rice industry,XAS,4.172131407531051e-06,XAF,2016
53,BRA,"Growing vegetables, roots, tubers industry",XAS,1.52799544728291e-06,XAF,2016
54,BRA,Growing sugar beet and cane industry,XAS,0.00014113786588699847,XAF,2016
55,BRA,Growing tobacco industry,XAS,5.172207920778897e-06,XAF,2016
56,BRA,Growing fibre crops industry,XAS,0.0,XAF,2016
57,BRA,Growing crops n.e.c. industry,XAS,2.0992311603863692e-05,XAF,2016
58,BRA,Growing grapes industry,XAS,0.0,XAF,2016
59,BRA,Growing fruits and nuts industry,XAS,0.0,XAF,2016
60,BRA,"Growing beverage crops (coffee, tea etc) industry",XAS,8.298131104086564e-06,XAF,2016
61,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAS,3.4599344711241224e-06,XAF,2016
62,BRA,Seeds and plant propagation industry,XAS,0.0,XAF,2016
63,BRA,Raising of cattle industry,XAS,0.0007562754831687316,XAF,2016
64,BRA,Growing wheat industry,AFG,0.0,XAF,2016
65,BRA,Growing maize industry,AFG,6.760372756007132e-05,XAF,2016
66,BRA,Growing cereals n.e.c industry,AFG,9.678824510067939e-06,XAF,2016
67,BRA,Growing leguminous crops and oil seeds industry,AFG,0.00021054333785971833,XAF,2016
68,BRA,Growing rice industry,AFG,5.764686559805089e-08,XAF,2016
69,BRA,"Growing vegetables, roots, tubers industry",AFG,3.1478865944066176e-08,XAF,2016
70,BRA,Growing sugar beet and cane industry,AFG,3.985629601739688e-06,XAF,2016
71,BRA,Growing tobacco industry,AFG,1.0538584809411172e-07,XAF,2016
72,BRA,Growing fibre crops industry,AFG,0.0,XAF,2016
73,BRA,Growing crops n.e.c. industry,AFG,5.737051602397199e-07,XAF,2016
74,BRA,Growing grapes industry,AFG,0.0,XAF,2016
75,BRA,Growing fruits and nuts industry,AFG,0.0,XAF,2016
76,BRA,"Growing beverage crops (coffee, tea etc) industry",AFG,2.2081479088198866e-07,XAF,2016
77,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",AFG,4.767108818795889e-08,XAF,2016
78,BRA,Seeds and plant propagation industry,AFG,0.0,XAF,2016
79,BRA,Raising of cattle industry,AFG,1.5017920846768961e-05,XAF,2016
80,BRA,Growing wheat industry,AGO,0.0,XAF,2016
81,BRA,Growing maize industry,AGO,0.016681258526578206,XAF,2016
82,BRA,Growing cereals n.e.c industry,AGO,0.003213905689865718,XAF,2016
83,BRA,Growing leguminous crops and oil seeds industry,AGO,0.040093741888793034,XAF,2016
84,BRA,Growing rice industry,AGO,4.803124301070621e-06,XAF,2016
85,BRA,"Growing vegetables, roots, tubers industry",AGO,3.417491257609243e-06,XAF,2016
86,BRA,Growing sugar beet and cane industry,AGO,0.001641615457317497,XAF,2016
87,BRA,Growing tobacco industry,AGO,1.150597950639515e-05,XAF,2016
88,BRA,Growing fibre crops industry,AGO,0.0,XAF,2016
