,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,BRA,Growing wheat industry,XAM,1.9854202869629048e-05,COD,2019
1,BRA,Growing maize industry,XAM,2.7961904854690384e-05,COD,2019
2,BRA,Growing cereals n.e.c industry,XAM,2.9886940571758663e-06,COD,2019
3,BRA,Growing leguminous crops and oil seeds industry,XAM,0.00014124158571224833,COD,2019
4,BRA,Growing rice industry,XAM,0.0,COD,2019
5,BRA,"Growing vegetables, roots, tubers industry",XAM,0.0,COD,2019
6,BRA,Growing sugar beet and cane industry,XAM,9.384290161025999e-07,COD,2019
7,BRA,Growing tobacco industry,XAM,3.086810334994209e-08,COD,2019
8,BRA,Growing fibre crops industry,XAM,3.261513081513597e-05,COD,2019
9,BRA,Growing crops n.e.c. industry,XAM,3.244597515971649e-07,COD,2019
10,BRA,Growing grapes industry,XAM,1.3558740658567635e-10,COD,2019
11,BRA,Growing fruits and nuts industry,XAM,0.0,COD,2019
12,BRA,"Growing beverage crops (coffee, tea etc) industry",XAM,7.771951830820995e-07,COD,2019
13,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,4.757764906048008e-08,COD,2019
14,BRA,Seeds and plant propagation industry,XAM,0.0,COD,2019
15,BRA,Raising of cattle industry,XAM,3.23810784970159e-06,COD,2019
16,BRA,Growing wheat industry,XEU,3.1049249032287276e-06,COD,2019
17,BRA,Growing maize industry,XEU,4.469983010891037e-06,COD,2019
18,BRA,Growing cereals n.e.c industry,XEU,4.4950546541804736e-07,COD,2019
19,BRA,Growing leguminous crops and oil seeds industry,XEU,2.2150736582016033e-05,COD,2019
20,BRA,Growing rice industry,XEU,0.0,COD,2019
21,BRA,"Growing vegetables, roots, tubers industry",XEU,0.0,COD,2019
22,BRA,Growing sugar beet and cane industry,XEU,1.4246407216776638e-07,COD,2019
23,BRA,Growing tobacco industry,XEU,4.9395865275826796e-09,COD,2019
24,BRA,Growing fibre crops industry,XEU,5.116301524492702e-06,COD,2019
25,BRA,Growing crops n.e.c. industry,XEU,4.348631080949181e-08,COD,2019
26,BRA,Growing grapes industry,XEU,2.078382114201737e-11,COD,2019
27,BRA,Growing fruits and nuts industry,XEU,0.0,COD,2019
28,BRA,"Growing beverage crops (coffee, tea etc) industry",XEU,1.1966564049562632e-07,COD,2019
29,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,7.196963513590954e-09,COD,2019
30,BRA,Seeds and plant propagation industry,XEU,0.0,COD,2019
31,BRA,Raising of cattle industry,XEU,4.172714658898614e-07,COD,2019
32,BRA,Growing wheat industry,XAF,0.00011659468209854861,COD,2019
33,BRA,Growing maize industry,XAF,0.00015818135118733485,COD,2019
34,BRA,Growing cereals n.e.c industry,XAF,1.4962898952388745e-05,COD,2019
35,BRA,Growing leguminous crops and oil seeds industry,XAF,0.0008079166219695689,COD,2019
36,BRA,Growing rice industry,XAF,0.0,COD,2019
37,BRA,"Growing vegetables, roots, tubers industry",XAF,0.0,COD,2019
38,BRA,Growing sugar beet and cane industry,XAF,5.2227048464817915e-06,COD,2019
39,BRA,Growing tobacco industry,XAF,1.897963010599104e-07,COD,2019
40,BRA,Growing fibre crops industry,XAF,0.00020451977035623647,COD,2019
41,BRA,Growing crops n.e.c. industry,XAF,1.21218248223969e-06,COD,2019
42,BRA,Growing grapes industry,XAF,8.597678858204269e-10,COD,2019
43,BRA,Growing fruits and nuts industry,XAF,0.0,COD,2019
44,BRA,"Growing beverage crops (coffee, tea etc) industry",XAF,4.8267952617808125e-06,COD,2019
45,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAF,3.1096029657413417e-07,COD,2019
46,BRA,Seeds and plant propagation industry,XAF,0.0,COD,2019
47,BRA,Raising of cattle industry,XAF,1.0937134757837002e-05,COD,2019
48,BRA,Growing wheat industry,XAS,2.027624144241908e-05,COD,2019
49,BRA,Growing maize industry,XAS,2.747227940070335e-05,COD,2019
50,BRA,Growing cereals n.e.c industry,XAS,2.759228375528015e-06,COD,2019
51,BRA,Growing leguminous crops and oil seeds industry,XAS,0.00013716815401106688,COD,2019
52,BRA,Growing rice industry,XAS,0.0,COD,2019
53,BRA,"Growing vegetables, roots, tubers industry",XAS,0.0,COD,2019
54,BRA,Growing sugar beet and cane industry,XAS,9.16560071996761e-07,COD,2019
55,BRA,Growing tobacco industry,XAS,3.162189301645176e-08,COD,2019
56,BRA,Growing fibre crops industry,XAS,3.361958318182538e-05,COD,2019
57,BRA,Growing crops n.e.c. industry,XAS,2.485763619016689e-07,COD,2019
58,BRA,Growing grapes industry,XAS,1.4364485478327612e-10,COD,2019
59,BRA,Growing fruits and nuts industry,XAS,0.0,COD,2019
60,BRA,"Growing beverage crops (coffee, tea etc) industry",XAS,8.167010329498146e-07,COD,2019
61,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAS,5.0787275126346606e-08,COD,2019
62,BRA,Seeds and plant propagation industry,XAS,0.0,COD,2019
63,BRA,Raising of cattle industry,XAS,2.321785434804358e-06,COD,2019
64,BRA,Growing wheat industry,AFG,6.359664615732068e-06,COD,2019
65,BRA,Growing maize industry,AFG,1.0090762389963687e-05,COD,2019
66,BRA,Growing cereals n.e.c industry,AFG,9.948482288118354e-07,COD,2019
67,BRA,Growing leguminous crops and oil seeds industry,AFG,5.310912310806825e-05,COD,2019
68,BRA,Growing rice industry,AFG,0.0,COD,2019
69,BRA,"Growing vegetables, roots, tubers industry",AFG,0.0,COD,2019
70,BRA,Growing sugar beet and cane industry,AFG,3.2662962818335456e-07,COD,2019
71,BRA,Growing tobacco industry,AFG,1.1558759194882385e-08,COD,2019
