,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,BRA,Growing wheat industry,XAM,8.418326238550886e-05,GIN,2019
1,BRA,Growing maize industry,XAM,0.00019507416939974718,GIN,2019
2,BRA,Growing cereals n.e.c industry,XAM,4.362458670006585e-06,GIN,2019
3,BRA,Growing leguminous crops and oil seeds industry,XAM,0.0002150849580541709,GIN,2019
4,BRA,Growing rice industry,XAM,0.0,GIN,2019
5,BRA,"Growing vegetables, roots, tubers industry",XAM,0.0,GIN,2019
6,BRA,Growing sugar beet and cane industry,XAM,1.787799587194724e-06,GIN,2019
7,BRA,Growing tobacco industry,XAM,4.4862738605456496e-08,GIN,2019
8,BRA,Growing fibre crops industry,XAM,2.9456167605554117e-05,GIN,2019
9,BRA,Growing crops n.e.c. industry,XAM,3.51200985948191e-07,GIN,2019
10,BRA,Growing grapes industry,XAM,1.8071803045002618e-10,GIN,2019
11,BRA,Growing fruits and nuts industry,XAM,0.0,GIN,2019
12,BRA,"Growing beverage crops (coffee, tea etc) industry",XAM,2.0337427281747214e-06,GIN,2019
13,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,1.4115284294229698e-08,GIN,2019
14,BRA,Seeds and plant propagation industry,XAM,0.0,GIN,2019
15,BRA,Raising of cattle industry,XAM,5.395239539688903e-06,GIN,2019
16,BRA,Growing wheat industry,XEU,0.00015775197069287054,GIN,2019
17,BRA,Growing maize industry,XEU,0.0002967462202256656,GIN,2019
18,BRA,Growing cereals n.e.c industry,XEU,1.882642399533263e-06,GIN,2019
19,BRA,Growing leguminous crops and oil seeds industry,XEU,8.945692682916504e-05,GIN,2019
20,BRA,Growing rice industry,XEU,0.0,GIN,2019
21,BRA,"Growing vegetables, roots, tubers industry",XEU,0.0,GIN,2019
22,BRA,Growing sugar beet and cane industry,XEU,8.138249777227186e-07,GIN,2019
23,BRA,Growing tobacco industry,XEU,1.7263502886141052e-08,GIN,2019
24,BRA,Growing fibre crops industry,XEU,1.1961134151241315e-05,GIN,2019
25,BRA,Growing crops n.e.c. industry,XEU,1.26896205268561e-07,GIN,2019
26,BRA,Growing grapes industry,XEU,6.769273259738206e-11,GIN,2019
27,BRA,Growing fruits and nuts industry,XEU,0.0,GIN,2019
28,BRA,"Growing beverage crops (coffee, tea etc) industry",XEU,1.8562409728191932e-06,GIN,2019
29,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,6.766648357228812e-09,GIN,2019
30,BRA,Seeds and plant propagation industry,XEU,0.0,GIN,2019
31,BRA,Raising of cattle industry,XEU,2.3139896766526453e-06,GIN,2019
32,BRA,Growing wheat industry,XAF,0.00023118103229924537,GIN,2019
33,BRA,Growing maize industry,XAF,0.00046397143916401747,GIN,2019
34,BRA,Growing cereals n.e.c industry,XAF,4.655299590312797e-06,GIN,2019
35,BRA,Growing leguminous crops and oil seeds industry,XAF,0.00022463535946060437,GIN,2019
36,BRA,Growing rice industry,XAF,0.0,GIN,2019
37,BRA,"Growing vegetables, roots, tubers industry",XAF,0.0,GIN,2019
38,BRA,Growing sugar beet and cane industry,XAF,1.9963038199523774e-06,GIN,2019
39,BRA,Growing tobacco industry,XAF,1.2959308846002623e-07,GIN,2019
40,BRA,Growing fibre crops industry,XAF,3.313641750362869e-05,GIN,2019
41,BRA,Growing crops n.e.c. industry,XAF,4.6009426326307847e-07,GIN,2019
42,BRA,Growing grapes industry,XAF,2.0715191793546356e-10,GIN,2019
43,BRA,Growing fruits and nuts industry,XAF,0.0,GIN,2019
44,BRA,"Growing beverage crops (coffee, tea etc) industry",XAF,3.335011027870932e-06,GIN,2019
45,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAF,1.617730596021307e-08,GIN,2019
46,BRA,Seeds and plant propagation industry,XAF,0.0,GIN,2019
47,BRA,Raising of cattle industry,XAF,6.868338356286801e-06,GIN,2019
48,BRA,Growing wheat industry,XAS,5.679685979608135e-05,GIN,2019
49,BRA,Growing maize industry,XAS,0.00011406102759218012,GIN,2019
50,BRA,Growing cereals n.e.c industry,XAS,1.2563073545529043e-06,GIN,2019
51,BRA,Growing leguminous crops and oil seeds industry,XAS,9.983853311341015e-05,GIN,2019
52,BRA,Growing rice industry,XAS,0.0,GIN,2019
53,BRA,"Growing vegetables, roots, tubers industry",XAS,0.0,GIN,2019
54,BRA,Growing sugar beet and cane industry,XAS,5.356900333796586e-07,GIN,2019
55,BRA,Growing tobacco industry,XAS,1.4632466385879373e-08,GIN,2019
56,BRA,Growing fibre crops industry,XAS,1.0539789719055598e-05,GIN,2019
57,BRA,Growing crops n.e.c. industry,XAS,1.0751452002427888e-07,GIN,2019
58,BRA,Growing grapes industry,XAS,5.724226495462474e-11,GIN,2019
59,BRA,Growing fruits and nuts industry,XAS,0.0,GIN,2019
60,BRA,"Growing beverage crops (coffee, tea etc) industry",XAS,8.618051516072196e-07,GIN,2019
61,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAS,5.3622611774088165e-09,GIN,2019
62,BRA,Seeds and plant propagation industry,XAS,0.0,GIN,2019
63,BRA,Raising of cattle industry,XAS,1.6167259244725916e-06,GIN,2019
64,BRA,Growing wheat industry,AFG,0.0006574201043580293,GIN,2019
65,BRA,Growing maize industry,AFG,0.0012210865667227873,GIN,2019
66,BRA,Growing cereals n.e.c industry,AFG,6.029560549741464e-06,GIN,2019
67,BRA,Growing leguminous crops and oil seeds industry,AFG,0.0003406898503808764,GIN,2019
68,BRA,Growing rice industry,AFG,0.0,GIN,2019
69,BRA,"Growing vegetables, roots, tubers industry",AFG,0.0,GIN,2019
70,BRA,Growing sugar beet and cane industry,AFG,2.728183165783565e-06,GIN,2019
71,BRA,Growing tobacco industry,AFG,5.772433739496501e-08,GIN,2019
72,BRA,Growing fibre crops industry,AFG,4.174411283461352e-05,GIN,2019
73,BRA,Growing crops n.e.c. industry,AFG,2.85198762138438e-07,GIN,2019
74,BRA,Growing grapes industry,AFG,2.2240069215086046e-10,GIN,2019
75,BRA,Growing fruits and nuts industry,AFG,0.0,GIN,2019
76,BRA,"Growing beverage crops (coffee, tea etc) industry",AFG,7.331371585469562e-06,GIN,2019
77,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",AFG,2.416983001112894e-08,GIN,2019
78,BRA,Seeds and plant propagation industry,AFG,0.0,GIN,2019
79,BRA,Raising of cattle industry,AFG,7.441523657837013e-06,GIN,2019
80,BRA,Growing wheat industry,AGO,0.0003744499952822461,GIN,2019
81,BRA,Growing maize industry,AGO,0.0007305084032329988,GIN,2019
82,BRA,Growing cereals n.e.c industry,AGO,6.663728652266068e-06,GIN,2019
83,BRA,Growing leguminous crops and oil seeds industry,AGO,0.0003774542751027132,GIN,2019
84,BRA,Growing rice industry,AGO,0.0,GIN,2019
85,BRA,"Growing vegetables, roots, tubers industry",AGO,0.0,GIN,2019
86,BRA,Growing sugar beet and cane industry,AGO,2.862382821064947e-06,GIN,2019
87,BRA,Growing tobacco industry,AGO,5.720208183799675e-08,GIN,2019
88,BRA,Growing fibre crops industry,AGO,4.135477480933672e-05,GIN,2019
89,BRA,Growing crops n.e.c. industry,AGO,8.31902012234098e-07,GIN,2019
90,BRA,Growing grapes industry,AGO,2.375029615973435e-10,GIN,2019
91,BRA,Growing fruits and nuts industry,AGO,0.0,GIN,2019
92,BRA,"Growing beverage crops (coffee, tea etc) industry",AGO,5.244489001844275e-06,GIN,2019
93,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",AGO,2.2909183942862978e-08,GIN,2019
94,BRA,Seeds and plant propagation industry,AGO,0.0,GIN,2019
95,BRA,Raising of cattle industry,AGO,8.649178145747614e-06,GIN,2019
96,BRA,Growing wheat industry,ALB,1.5324354386932053e-05,GIN,2019
97,BRA,Growing maize industry,ALB,3.111054238761863e-05,GIN,2019
98,BRA,Growing cereals n.e.c industry,ALB,4.289115176345554e-07,GIN,2019
99,BRA,Growing leguminous crops and oil seeds industry,ALB,1.7230913010995728e-05,GIN,2019
100,BRA,Growing rice industry,ALB,0.0,GIN,2019
101,BRA,"Growing vegetables, roots, tubers industry",ALB,0.0,GIN,2019
102,BRA,Growing sugar beet and cane industry,ALB,1.663917086436421e-07,GIN,2019
103,BRA,Growing tobacco industry,ALB,2.9464586723125714e-09,GIN,2019
104,BRA,Growing fibre crops industry,ALB,2.1701983200128493e-06,GIN,2019
105,BRA,Growing crops n.e.c. industry,ALB,7.265915762296219e-08,GIN,2019
106,BRA,Growing grapes industry,ALB,1.280276092869768e-11,GIN,2019
107,BRA,Growing fruits and nuts industry,ALB,0.0,GIN,2019
108,BRA,"Growing beverage crops (coffee, tea etc) industry",ALB,2.1105564180053092e-07,GIN,2019
109,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",ALB,1.0693914955328196e-09,GIN,2019
110,BRA,Seeds and plant propagation industry,ALB,0.0,GIN,2019
111,BRA,Raising of cattle industry,ALB,5.335429186019809e-07,GIN,2019
112,BRA,Growing wheat industry,ARE,0.002761072673098816,GIN,2019
113,BRA,Growing maize industry,ARE,0.005944394838274428,GIN,2019
114,BRA,Growing cereals n.e.c industry,ARE,9.252588477123272e-05,GIN,2019
115,BRA,Growing leguminous crops and oil seeds industry,ARE,0.005529521520790157,GIN,2019
116,BRA,Growing rice industry,ARE,0.0,GIN,2019
117,BRA,"Growing vegetables, roots, tubers industry",ARE,0.0,GIN,2019
118,BRA,Growing sugar beet and cane industry,ARE,4.1531721377198894e-05,GIN,2019
119,BRA,Growing tobacco industry,ARE,1.2523571258370554e-06,GIN,2019
120,BRA,Growing fibre crops industry,ARE,0.000784363653361617,GIN,2019
121,BRA,Growing crops n.e.c. industry,ARE,4.534367205359515e-06,GIN,2019
122,BRA,Growing grapes industry,ARE,7.026122344017751e-09,GIN,2019
123,BRA,Growing fruits and nuts industry,ARE,0.0,GIN,2019
124,BRA,"Growing beverage crops (coffee, tea etc) industry",ARE,4.6813948410856056e-05,GIN,2019
125,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",ARE,3.809372885588845e-07,GIN,2019
126,BRA,Seeds and plant propagation industry,ARE,0.0,GIN,2019
127,BRA,Raising of cattle industry,ARE,0.0001125379410223769,GIN,2019
128,BRA,Growing wheat industry,ARG,0.00012982617110669423,GIN,2019
129,BRA,Growing maize industry,ARG,0.0002633988146390914,GIN,2019
130,BRA,Growing cereals n.e.c industry,ARG,3.6844329367297196e-06,GIN,2019
131,BRA,Growing leguminous crops and oil seeds industry,ARG,0.0002089825276287863,GIN,2019
132,BRA,Growing rice industry,ARG,0.0,GIN,2019
133,BRA,"Growing vegetables, roots, tubers industry",ARG,0.0,GIN,2019
134,BRA,Growing sugar beet and cane industry,ARG,1.5018877411754284e-06,GIN,2019
135,BRA,Growing tobacco industry,ARG,3.582455229077144e-08,GIN,2019
136,BRA,Growing fibre crops industry,ARG,2.770095746666421e-05,GIN,2019
137,BRA,Growing crops n.e.c. industry,ARG,3.746897527072795e-07,GIN,2019
138,BRA,Growing grapes industry,ARG,1.397648069553752e-10,GIN,2019
139,BRA,Growing fruits and nuts industry,ARG,0.0,GIN,2019
140,BRA,"Growing beverage crops (coffee, tea etc) industry",ARG,2.466140610711023e-06,GIN,2019
141,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",ARG,1.3595791136557291e-08,GIN,2019
142,BRA,Seeds and plant propagation industry,ARG,0.0,GIN,2019
143,BRA,Raising of cattle industry,ARG,4.835109405113298e-06,GIN,2019
144,BRA,Growing wheat industry,ARM,4.522726564116256e-05,GIN,2019
145,BRA,Growing maize industry,ARM,9.166151878351538e-05,GIN,2019
146,BRA,Growing cereals n.e.c industry,ARM,1.0699416346596792e-06,GIN,2019
147,BRA,Growing leguminous crops and oil seeds industry,ARM,5.60466164994972e-05,GIN,2019
148,BRA,Growing rice industry,ARM,0.0,GIN,2019
149,BRA,"Growing vegetables, roots, tubers industry",ARM,0.0,GIN,2019
150,BRA,Growing sugar beet and cane industry,ARM,4.6353903534642904e-07,GIN,2019
151,BRA,Growing tobacco industry,ARM,1.1951424137181736e-08,GIN,2019
152,BRA,Growing fibre crops industry,ARM,7.737325506568167e-06,GIN,2019
153,BRA,Growing crops n.e.c. industry,ARM,9.319390141635001e-08,GIN,2019
154,BRA,Growing grapes industry,ARM,6.273290941570846e-11,GIN,2019
155,BRA,Growing fruits and nuts industry,ARM,0.0,GIN,2019
156,BRA,"Growing beverage crops (coffee, tea etc) industry",ARM,6.339309536764854e-07,GIN,2019
157,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",ARM,3.890364006205405e-09,GIN,2019
158,BRA,Seeds and plant propagation industry,ARM,0.0,GIN,2019
159,BRA,Raising of cattle industry,ARM,1.2922391340990336e-06,GIN,2019
160,BRA,Growing wheat industry,AUS,0.0010677589308687363,GIN,2019
161,BRA,Growing maize industry,AUS,0.002134326259519097,GIN,2019
162,BRA,Growing cereals n.e.c industry,AUS,2.689300449733368e-05,GIN,2019
163,BRA,Growing leguminous crops and oil seeds industry,AUS,0.0014867945154780403,GIN,2019
164,BRA,Growing rice industry,AUS,0.0,GIN,2019
165,BRA,"Growing vegetables, roots, tubers industry",AUS,0.0,GIN,2019
166,BRA,Growing sugar beet and cane industry,AUS,1.050186763507575e-05,GIN,2019
167,BRA,Growing tobacco industry,AUS,2.6406857363399306e-07,GIN,2019
168,BRA,Growing fibre crops industry,AUS,0.0002040759461250946,GIN,2019
169,BRA,Growing crops n.e.c. industry,AUS,3.9267580254911494e-06,GIN,2019
170,BRA,Growing grapes industry,AUS,1.0230922615463695e-09,GIN,2019
171,BRA,Growing fruits and nuts industry,AUS,0.0,GIN,2019
172,BRA,"Growing beverage crops (coffee, tea etc) industry",AUS,1.8422432162673656e-05,GIN,2019
173,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",AUS,1.0036302806506471e-07,GIN,2019
174,BRA,Seeds and plant propagation industry,AUS,0.0,GIN,2019
175,BRA,Raising of cattle industry,AUS,3.4797102839714174e-05,GIN,2019
176,BRA,Growing wheat industry,AUT,0.0003793101169232657,GIN,2019
177,BRA,Growing maize industry,AUT,0.0007747387122324258,GIN,2019
178,BRA,Growing cereals n.e.c industry,AUT,1.3355566941160476e-05,GIN,2019
179,BRA,Growing leguminous crops and oil seeds industry,AUT,0.0005184992418077833,GIN,2019
180,BRA,Growing rice industry,AUT,0.0,GIN,2019
181,BRA,"Growing vegetables, roots, tubers industry",AUT,0.0,GIN,2019
182,BRA,Growing sugar beet and cane industry,AUT,4.8918172309280545e-06,GIN,2019
183,BRA,Growing tobacco industry,AUT,9.133488330147592e-08,GIN,2019
184,BRA,Growing fibre crops industry,AUT,6.316800944703136e-05,GIN,2019
185,BRA,Growing crops n.e.c. industry,AUT,2.1256448549914507e-06,GIN,2019
186,BRA,Growing grapes industry,AUT,3.702922819169446e-10,GIN,2019
187,BRA,Growing fruits and nuts industry,AUT,0.0,GIN,2019
188,BRA,"Growing beverage crops (coffee, tea etc) industry",AUT,5.47118552664452e-06,GIN,2019
189,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",AUT,3.532293244405042e-08,GIN,2019
190,BRA,Seeds and plant propagation industry,AUT,0.0,GIN,2019
191,BRA,Raising of cattle industry,AUT,1.6716175068262977e-05,GIN,2019
192,BRA,Growing wheat industry,AZE,5.739760304371346e-05,GIN,2019
193,BRA,Growing maize industry,AZE,0.00011066915103795544,GIN,2019
194,BRA,Growing cereals n.e.c industry,AZE,1.0622145670407836e-06,GIN,2019
195,BRA,Growing leguminous crops and oil seeds industry,AZE,6.32052655731553e-05,GIN,2019
196,BRA,Growing rice industry,AZE,0.0,GIN,2019
197,BRA,"Growing vegetables, roots, tubers industry",AZE,0.0,GIN,2019
198,BRA,Growing sugar beet and cane industry,AZE,4.3269842497439325e-07,GIN,2019
199,BRA,Growing tobacco industry,AZE,9.547512490729781e-09,GIN,2019
200,BRA,Growing fibre crops industry,AZE,6.824276607026214e-06,GIN,2019
201,BRA,Growing crops n.e.c. industry,AZE,1.1039170597490671e-07,GIN,2019
202,BRA,Growing grapes industry,AZE,3.8036332653875276e-11,GIN,2019
203,BRA,Growing fruits and nuts industry,AZE,0.0,GIN,2019
204,BRA,"Growing beverage crops (coffee, tea etc) industry",AZE,7.470564751010274e-07,GIN,2019
205,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",AZE,3.729293568964755e-09,GIN,2019
206,BRA,Seeds and plant propagation industry,AZE,0.0,GIN,2019
