,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,BRA,Growing wheat industry,XAM,0.0034551137083217542,IDN,2019
1,BRA,Growing maize industry,XAM,0.01592834033466692,IDN,2019
2,BRA,Growing cereals n.e.c industry,XAM,0.00017005560636493869,IDN,2019
3,BRA,Growing leguminous crops and oil seeds industry,XAM,0.03613367483102341,IDN,2019
4,BRA,Growing rice industry,XAM,0.0,IDN,2019
5,BRA,"Growing vegetables, roots, tubers industry",XAM,0.0,IDN,2019
6,BRA,Growing sugar beet and cane industry,XAM,0.00012294445670468082,IDN,2019
7,BRA,Growing tobacco industry,XAM,5.3646626455682814e-05,IDN,2019
8,BRA,Growing fibre crops industry,XAM,0.13888099631852874,IDN,2019
9,BRA,Growing crops n.e.c. industry,XAM,3.316781350182684e-05,IDN,2019
10,BRA,Growing grapes industry,XAM,6.044543063578795e-08,IDN,2019
11,BRA,Growing fruits and nuts industry,XAM,0.0,IDN,2019
12,BRA,"Growing beverage crops (coffee, tea etc) industry",XAM,5.589924660493905e-05,IDN,2019
13,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,3.233673872705435e-06,IDN,2019
14,BRA,Seeds and plant propagation industry,XAM,0.0,IDN,2019
15,BRA,Raising of cattle industry,XAM,0.00035226833594509144,IDN,2019
16,BRA,Growing wheat industry,XEU,0.0003029803203035908,IDN,2019
17,BRA,Growing maize industry,XEU,0.0017905331783537575,IDN,2019
18,BRA,Growing cereals n.e.c industry,XEU,1.4386144253030235e-05,IDN,2019
19,BRA,Growing leguminous crops and oil seeds industry,XEU,0.003416178845146283,IDN,2019
20,BRA,Growing rice industry,XEU,0.0,IDN,2019
21,BRA,"Growing vegetables, roots, tubers industry",XEU,0.0,IDN,2019
22,BRA,Growing sugar beet and cane industry,XEU,1.1630829320930558e-05,IDN,2019
23,BRA,Growing tobacco industry,XEU,2.1913875644729782e-05,IDN,2019
24,BRA,Growing fibre crops industry,XEU,0.007189448627533764,IDN,2019
25,BRA,Growing crops n.e.c. industry,XEU,2.358486155106376e-06,IDN,2019
26,BRA,Growing grapes industry,XEU,5.666105948442832e-09,IDN,2019
27,BRA,Growing fruits and nuts industry,XEU,0.0,IDN,2019
28,BRA,"Growing beverage crops (coffee, tea etc) industry",XEU,5.977338485807129e-06,IDN,2019
29,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,2.2474244345867706e-07,IDN,2019
30,BRA,Seeds and plant propagation industry,XEU,0.0,IDN,2019
31,BRA,Raising of cattle industry,XEU,2.4786297634321665e-05,IDN,2019
32,BRA,Growing wheat industry,XAF,0.002893583905303104,IDN,2019
