,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,BRA,Growing wheat industry,XAM,0.00813625668621036,JPN,2019
1,BRA,Growing maize industry,XAM,0.06889625688709557,JPN,2019
2,BRA,Growing cereals n.e.c industry,XAM,0.0013636749070709414,JPN,2019
3,BRA,Growing leguminous crops and oil seeds industry,XAM,0.11949171582593131,JPN,2019
4,BRA,Growing rice industry,XAM,0.0,JPN,2019
5,BRA,"Growing vegetables, roots, tubers industry",XAM,0.0,JPN,2019
6,BRA,Growing sugar beet and cane industry,XAM,0.0005239833340178836,JPN,2019
7,BRA,Growing tobacco industry,XAM,0.0009022133291190882,JPN,2019
8,BRA,Growing fibre crops industry,XAM,0.03457669181463573,JPN,2019
9,BRA,Growing crops n.e.c. industry,XAM,9.528544863574416e-05,JPN,2019
10,BRA,Growing grapes industry,XAM,3.782693667267727e-07,JPN,2019
11,BRA,Growing fruits and nuts industry,XAM,0.0,JPN,2019
12,BRA,"Growing beverage crops (coffee, tea etc) industry",XAM,0.0008613401444635149,JPN,2019
13,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,1.3741387566232286e-05,JPN,2019
14,BRA,Seeds and plant propagation industry,XAM,0.0,JPN,2019
15,BRA,Raising of cattle industry,XAM,0.0012463237545117035,JPN,2019
16,BRA,Growing wheat industry,XEU,0.0005540783883003523,JPN,2019
17,BRA,Growing maize industry,XEU,0.005211534171138197,JPN,2019
18,BRA,Growing cereals n.e.c industry,XEU,0.00013331802287257268,JPN,2019
19,BRA,Growing leguminous crops and oil seeds industry,XEU,0.00941996906458134,JPN,2019
20,BRA,Growing rice industry,XEU,0.0,JPN,2019
21,BRA,"Growing vegetables, roots, tubers industry",XEU,0.0,JPN,2019
22,BRA,Growing sugar beet and cane industry,XEU,5.294238908003514e-05,JPN,2019
23,BRA,Growing tobacco industry,XEU,6.174717738670274e-05,JPN,2019
24,BRA,Growing fibre crops industry,XEU,0.0028147172512369084,JPN,2019
25,BRA,Growing crops n.e.c. industry,XEU,6.868368700498674e-06,JPN,2019
26,BRA,Growing grapes industry,XEU,1.9659969301140818e-08,JPN,2019
27,BRA,Growing fruits and nuts industry,XEU,0.0,JPN,2019
28,BRA,"Growing beverage crops (coffee, tea etc) industry",XEU,8.629530716943202e-05,JPN,2019
29,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,1.140468869751837e-06,JPN,2019
30,BRA,Seeds and plant propagation industry,XEU,0.0,JPN,2019
31,BRA,Raising of cattle industry,XEU,0.00012099124900967999,JPN,2019
32,BRA,Growing wheat industry,XAF,0.001835726731320463,JPN,2019
33,BRA,Growing maize industry,XAF,0.016271940028864937,JPN,2019
34,BRA,Growing cereals n.e.c industry,XAF,0.0003470534209014681,JPN,2019
35,BRA,Growing leguminous crops and oil seeds industry,XAF,0.03180566419569641,JPN,2019
36,BRA,Growing rice industry,XAF,0.0,JPN,2019
37,BRA,"Growing vegetables, roots, tubers industry",XAF,0.0,JPN,2019
38,BRA,Growing sugar beet and cane industry,XAF,0.00012253659784120058,JPN,2019
39,BRA,Growing tobacco industry,XAF,0.00020326075510046702,JPN,2019
40,BRA,Growing fibre crops industry,XAF,0.009672925217699396,JPN,2019
41,BRA,Growing crops n.e.c. industry,XAF,2.7696015813596618e-05,JPN,2019
42,BRA,Growing grapes industry,XAF,7.582317469715948e-08,JPN,2019
43,BRA,Growing fruits and nuts industry,XAF,0.0,JPN,2019
