,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,COD,Growing wheat industry,XAM,9.450740269193002e-08,ARG,2012
1,COD,Growing maize industry,XAM,2.8481201706675523e-05,ARG,2012
2,COD,Growing cereals n.e.c industry,XAM,2.3619815787351684e-08,ARG,2012
3,COD,Growing leguminous crops and oil seeds industry,XAM,3.4155455756531496e-06,ARG,2012
4,COD,Growing rice industry,XAM,1.8054284357632877e-06,ARG,2012
5,COD,"Growing vegetables, roots, tubers industry",XAM,5.602290408871653e-06,ARG,2012
6,COD,Growing sugar beet and cane industry,XAM,0.0,ARG,2012
7,COD,Growing tobacco industry,XAM,2.2766620814518922e-08,ARG,2012
8,COD,Growing fibre crops industry,XAM,5.455398099307885e-06,ARG,2012
9,COD,Growing crops n.e.c. industry,XAM,7.09829526512476e-09,ARG,2012
10,COD,Growing grapes industry,XAM,0.0,ARG,2012
11,COD,Growing fruits and nuts industry,XAM,2.0296718000253738e-05,ARG,2012
12,COD,"Growing beverage crops (coffee, tea etc) industry",XAM,1.0570228188402239e-07,ARG,2012
13,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,2.9541050678360817e-08,ARG,2012
14,COD,Seeds and plant propagation industry,XAM,0.0,ARG,2012
15,COD,Raising of cattle industry,XAM,2.0292038154254846e-05,ARG,2012
16,COD,Growing wheat industry,XEU,8.970242642731249e-09,ARG,2012
17,COD,Growing maize industry,XEU,2.305125702859769e-06,ARG,2012
18,COD,Growing cereals n.e.c industry,XEU,2.1938578298388174e-09,ARG,2012
19,COD,Growing leguminous crops and oil seeds industry,XEU,3.2236969958444857e-07,ARG,2012
20,COD,Growing rice industry,XEU,1.7977013206037905e-07,ARG,2012
21,COD,"Growing vegetables, roots, tubers industry",XEU,4.887655709225845e-07,ARG,2012
22,COD,Growing sugar beet and cane industry,XEU,0.0,ARG,2012
23,COD,Growing tobacco industry,XEU,1.9805847419641406e-09,ARG,2012
24,COD,Growing fibre crops industry,XEU,4.844561249386401e-07,ARG,2012
25,COD,Growing crops n.e.c. industry,XEU,7.037167509287903e-10,ARG,2012
26,COD,Growing grapes industry,XEU,0.0,ARG,2012
27,COD,Growing fruits and nuts industry,XEU,1.978876701929704e-06,ARG,2012
28,COD,"Growing beverage crops (coffee, tea etc) industry",XEU,1.0094293400344097e-08,ARG,2012
29,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,2.4718944051934808e-09,ARG,2012
30,COD,Seeds and plant propagation industry,XEU,0.0,ARG,2012
31,COD,Raising of cattle industry,XEU,1.979531558966217e-06,ARG,2012
32,COD,Growing wheat industry,XAF,1.7662373235773486e-08,ARG,2012
33,COD,Growing maize industry,XAF,5.668191606181317e-06,ARG,2012
34,COD,Growing cereals n.e.c industry,XAF,4.634849284838927e-09,ARG,2012
35,COD,Growing leguminous crops and oil seeds industry,XAF,5.464450418342261e-07,ARG,2012
36,COD,Growing rice industry,XAF,3.694194707521277e-07,ARG,2012
37,COD,"Growing vegetables, roots, tubers industry",XAF,7.81283067741805e-07,ARG,2012
38,COD,Growing sugar beet and cane industry,XAF,0.0,ARG,2012
39,COD,Growing tobacco industry,XAF,3.339108384982145e-09,ARG,2012
40,COD,Growing fibre crops industry,XAF,1.0054264940366504e-06,ARG,2012
41,COD,Growing crops n.e.c. industry,XAF,1.4215030394342223e-09,ARG,2012
42,COD,Growing grapes industry,XAF,0.0,ARG,2012
43,COD,Growing fruits and nuts industry,XAF,3.5868122950124454e-06,ARG,2012
44,COD,"Growing beverage crops (coffee, tea etc) industry",XAF,1.9518541851902867e-08,ARG,2012
45,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAF,3.421260279203871e-09,ARG,2012
46,COD,Seeds and plant propagation industry,XAF,0.0,ARG,2012
47,COD,Raising of cattle industry,XAF,4.1502695659961424e-06,ARG,2012
48,COD,Growing wheat industry,XAS,1.0335700523438081e-08,ARG,2012
49,COD,Growing maize industry,XAS,2.8747639324582232e-06,ARG,2012
50,COD,Growing cereals n.e.c industry,XAS,2.802617253562726e-09,ARG,2012
51,COD,Growing leguminous crops and oil seeds industry,XAS,3.914646288429527e-07,ARG,2012
52,COD,Growing rice industry,XAS,2.1022933045735393e-07,ARG,2012
53,COD,"Growing vegetables, roots, tubers industry",XAS,4.84656915580218e-07,ARG,2012
54,COD,Growing sugar beet and cane industry,XAS,0.0,ARG,2012
55,COD,Growing tobacco industry,XAS,2.2243756017584846e-09,ARG,2012
56,COD,Growing fibre crops industry,XAS,8.776768359112904e-07,ARG,2012
57,COD,Growing crops n.e.c. industry,XAS,8.672763180923722e-10,ARG,2012
58,COD,Growing grapes industry,XAS,0.0,ARG,2012
59,COD,Growing fruits and nuts industry,XAS,2.9328999834347278e-06,ARG,2012
60,COD,"Growing beverage crops (coffee, tea etc) industry",XAS,1.1363703981791197e-08,ARG,2012
61,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAS,2.5024408002699414e-09,ARG,2012
62,COD,Seeds and plant propagation industry,XAS,0.0,ARG,2012
63,COD,Raising of cattle industry,XAS,2.296405023824244e-06,ARG,2012
