,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,COD,Growing wheat industry,XAM,2.7235771516678837e-07,AUS,2012
1,COD,Growing maize industry,XAM,9.608183605954922e-05,AUS,2012
2,COD,Growing cereals n.e.c industry,XAM,6.332522571245759e-08,AUS,2012
3,COD,Growing leguminous crops and oil seeds industry,XAM,9.030990261029404e-06,AUS,2012
4,COD,Growing rice industry,XAM,4.830130564100943e-06,AUS,2012
5,COD,"Growing vegetables, roots, tubers industry",XAM,1.5503805240121985e-05,AUS,2012
6,COD,Growing sugar beet and cane industry,XAM,0.0,AUS,2012
7,COD,Growing tobacco industry,XAM,5.677616653190582e-08,AUS,2012
8,COD,Growing fibre crops industry,XAM,3.407553065055405e-05,AUS,2012
9,COD,Growing crops n.e.c. industry,XAM,2.1849239027152292e-08,AUS,2012
10,COD,Growing grapes industry,XAM,0.0,AUS,2012
11,COD,Growing fruits and nuts industry,XAM,0.0008668300664265578,AUS,2012
12,COD,"Growing beverage crops (coffee, tea etc) industry",XAM,2.3377265256778018e-06,AUS,2012
13,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,3.688408730853141e-08,AUS,2012
14,COD,Seeds and plant propagation industry,XAM,0.0,AUS,2012
15,COD,Raising of cattle industry,XAM,5.176408655290891e-05,AUS,2012
16,COD,Growing wheat industry,XEU,3.288142512719952e-08,AUS,2012
17,COD,Growing maize industry,XEU,4.754122973470477e-06,AUS,2012
18,COD,Growing cereals n.e.c industry,XEU,6.2709382319161755e-09,AUS,2012
19,COD,Growing leguminous crops and oil seeds industry,XEU,1.2141610099538197e-06,AUS,2012
20,COD,Growing rice industry,XEU,5.694828256887812e-07,AUS,2012
21,COD,"Growing vegetables, roots, tubers industry",XEU,2.4633207067819555e-06,AUS,2012
22,COD,Growing sugar beet and cane industry,XEU,0.0,AUS,2012
23,COD,Growing tobacco industry,XEU,6.5395934888348224e-09,AUS,2012
24,COD,Growing fibre crops industry,XEU,4.647082248823189e-06,AUS,2012
25,COD,Growing crops n.e.c. industry,XEU,2.595911890371421e-09,AUS,2012
26,COD,Growing grapes industry,XEU,0.0,AUS,2012
27,COD,Growing fruits and nuts industry,XEU,0.00010073516988577292,AUS,2012
28,COD,"Growing beverage crops (coffee, tea etc) industry",XEU,3.119414212295701e-07,AUS,2012
29,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,5.378079046669788e-09,AUS,2012
30,COD,Seeds and plant propagation industry,XEU,0.0,AUS,2012
31,COD,Raising of cattle industry,XEU,5.317030281249862e-06,AUS,2012
32,COD,Growing wheat industry,XAF,2.4495358709703733e-07,AUS,2012
33,COD,Growing maize industry,XAF,6.026531308997149e-05,AUS,2012
34,COD,Growing cereals n.e.c industry,XAF,4.600812894125928e-08,AUS,2012
35,COD,Growing leguminous crops and oil seeds industry,XAF,8.062519788092657e-06,AUS,2012
36,COD,Growing rice industry,XAF,4.29802562567873e-06,AUS,2012
37,COD,"Growing vegetables, roots, tubers industry",XAF,1.076884578203562e-05,AUS,2012
38,COD,Growing sugar beet and cane industry,XAF,0.0,AUS,2012
39,COD,Growing tobacco industry,XAF,6.296557771533432e-08,AUS,2012
40,COD,Growing fibre crops industry,XAF,6.737520130525096e-05,AUS,2012
41,COD,Growing crops n.e.c. industry,XAF,1.6074672316882455e-08,AUS,2012
42,COD,Growing grapes industry,XAF,0.0,AUS,2012
43,COD,Growing fruits and nuts industry,XAF,0.006013177729803032,AUS,2012
44,COD,"Growing beverage crops (coffee, tea etc) industry",XAF,2.9704240027699965e-05,AUS,2012
45,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAF,3.316592652506347e-08,AUS,2012
46,COD,Seeds and plant propagation industry,XAF,0.0,AUS,2012
47,COD,Raising of cattle industry,XAF,3.7742362577028716e-05,AUS,2012
48,COD,Growing wheat industry,XAS,4.480542249457927e-06,AUS,2012
49,COD,Growing maize industry,XAS,0.0005009182041656823,AUS,2012
50,COD,Growing cereals n.e.c industry,XAS,5.315445877185683e-07,AUS,2012
51,COD,Growing leguminous crops and oil seeds industry,XAS,9.34130291795574e-05,AUS,2012
52,COD,Growing rice industry,XAS,5.306284399704977e-05,AUS,2012
53,COD,"Growing vegetables, roots, tubers industry",XAS,0.00012181015881229449,AUS,2012
54,COD,Growing sugar beet and cane industry,XAS,0.0,AUS,2012
55,COD,Growing tobacco industry,XAS,4.206124452935994e-07,AUS,2012
56,COD,Growing fibre crops industry,XAS,0.0006822795840134891,AUS,2012
57,COD,Growing crops n.e.c. industry,XAS,1.7968513511071594e-07,AUS,2012
58,COD,Growing grapes industry,XAS,0.0,AUS,2012
59,COD,Growing fruits and nuts industry,XAS,0.010984588501232446,AUS,2012
60,COD,"Growing beverage crops (coffee, tea etc) industry",XAS,7.550723979075254e-05,AUS,2012
61,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAS,4.2595974736552867e-07,AUS,2012
62,COD,Seeds and plant propagation industry,XAS,0.0,AUS,2012
63,COD,Raising of cattle industry,XAS,0.00036987202861211706,AUS,2012
64,COD,Growing wheat industry,AFG,4.199291317274207e-08,AUS,2012
65,COD,Growing maize industry,AFG,7.1399986312013694e-06,AUS,2012
66,COD,Growing cereals n.e.c industry,AFG,8.245229303785836e-09,AUS,2012
67,COD,Growing leguminous crops and oil seeds industry,AFG,1.5200843486659064e-06,AUS,2012
68,COD,Growing rice industry,AFG,7.120886218791242e-07,AUS,2012
69,COD,"Growing vegetables, roots, tubers industry",AFG,2.8397958541669382e-06,AUS,2012
70,COD,Growing sugar beet and cane industry,AFG,0.0,AUS,2012
71,COD,Growing tobacco industry,AFG,8.85656378597055e-09,AUS,2012
72,COD,Growing fibre crops industry,AFG,5.387988427723273e-06,AUS,2012
73,COD,Growing crops n.e.c. industry,AFG,3.3920943914598807e-09,AUS,2012
74,COD,Growing grapes industry,AFG,0.0,AUS,2012
75,COD,Growing fruits and nuts industry,AFG,6.78999509314098e-05,AUS,2012
76,COD,"Growing beverage crops (coffee, tea etc) industry",AFG,3.7715829544613107e-07,AUS,2012
77,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",AFG,6.594879278525721e-09,AUS,2012
78,COD,Seeds and plant propagation industry,AFG,0.0,AUS,2012
79,COD,Raising of cattle industry,AFG,6.78309819699842e-06,AUS,2012
80,COD,Growing wheat industry,AGO,6.1073665748908e-07,AUS,2012
81,COD,Growing maize industry,AGO,7.414151581944236e-05,AUS,2012
82,COD,Growing cereals n.e.c industry,AGO,1.133335541807384e-07,AUS,2012
83,COD,Growing leguminous crops and oil seeds industry,AGO,1.9098331213518054e-05,AUS,2012
84,COD,Growing rice industry,AGO,1.087207652592574e-05,AUS,2012
85,COD,"Growing vegetables, roots, tubers industry",AGO,3.0077364800666058e-05,AUS,2012
86,COD,Growing sugar beet and cane industry,AGO,0.0,AUS,2012
87,COD,Growing tobacco industry,AGO,1.368730840312483e-07,AUS,2012
88,COD,Growing fibre crops industry,AGO,6.250014066243526e-05,AUS,2012
89,COD,Growing crops n.e.c. industry,AGO,5.018692951909367e-08,AUS,2012
90,COD,Growing grapes industry,AGO,0.0,AUS,2012
91,COD,Growing fruits and nuts industry,AGO,0.0008194176270134808,AUS,2012
92,COD,"Growing beverage crops (coffee, tea etc) industry",AGO,4.032941361281598e-06,AUS,2012
93,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",AGO,8.247432681842002e-08,AUS,2012
94,COD,Seeds and plant propagation industry,AGO,0.0,AUS,2012
95,COD,Raising of cattle industry,AGO,0.00011538450160548353,AUS,2012
96,COD,Growing wheat industry,ALB,3.197272563359239e-08,AUS,2012
97,COD,Growing maize industry,ALB,5.8146100156197425e-06,AUS,2012
98,COD,Growing cereals n.e.c industry,ALB,6.227275662809759e-09,AUS,2012
99,COD,Growing leguminous crops and oil seeds industry,ALB,1.0897265371319543e-06,AUS,2012
100,COD,Growing rice industry,ALB,5.458142069279214e-07,AUS,2012
101,COD,"Growing vegetables, roots, tubers industry",ALB,1.6521249122085075e-06,AUS,2012
102,COD,Growing sugar beet and cane industry,ALB,0.0,AUS,2012
103,COD,Growing tobacco industry,ALB,6.5648523747055105e-09,AUS,2012
104,COD,Growing fibre crops industry,ALB,5.07732881452882e-06,AUS,2012
105,COD,Growing crops n.e.c. industry,ALB,2.6016478991872737e-09,AUS,2012
106,COD,Growing grapes industry,ALB,0.0,AUS,2012
107,COD,Growing fruits and nuts industry,ALB,0.00020137668051776407,AUS,2012
108,COD,"Growing beverage crops (coffee, tea etc) industry",ALB,2.821485132489414e-07,AUS,2012
109,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",ALB,4.933532836454844e-09,AUS,2012
110,COD,Seeds and plant propagation industry,ALB,0.0,AUS,2012
111,COD,Raising of cattle industry,ALB,5.1102985633679714e-06,AUS,2012
112,COD,Growing wheat industry,ARE,1.7913990849757379e-06,AUS,2012
113,COD,Growing maize industry,ARE,0.00044964917396568224,AUS,2012
114,COD,Growing cereals n.e.c industry,ARE,3.493422554886016e-07,AUS,2012
115,COD,Growing leguminous crops and oil seeds industry,ARE,5.389040823802878e-05,AUS,2012
116,COD,Growing rice industry,ARE,2.9684992131315927e-05,AUS,2012
117,COD,"Growing vegetables, roots, tubers industry",ARE,6.623836812873125e-05,AUS,2012
118,COD,Growing sugar beet and cane industry,ARE,0.0,AUS,2012
119,COD,Growing tobacco industry,ARE,2.788800875729957e-07,AUS,2012
120,COD,Growing fibre crops industry,ARE,0.00030305278731369633,AUS,2012
121,COD,Growing crops n.e.c. industry,ARE,1.2024499596958618e-07,AUS,2012
122,COD,Growing grapes industry,ARE,0.0,AUS,2012
123,COD,Growing fruits and nuts industry,ARE,0.06570597654925438,AUS,2012
124,COD,"Growing beverage crops (coffee, tea etc) industry",ARE,1.7900631795904627e-05,AUS,2012
125,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",ARE,2.2015923417359155e-07,AUS,2012
126,COD,Seeds and plant propagation industry,ARE,0.0,AUS,2012
127,COD,Raising of cattle industry,ARE,0.00029586779931595615,AUS,2012
128,COD,Growing wheat industry,ARG,1.0621783637855175e-06,AUS,2012
129,COD,Growing maize industry,ARG,0.00018213863289398633,AUS,2012
130,COD,Growing cereals n.e.c industry,ARG,1.825403428569891e-07,AUS,2012
131,COD,Growing leguminous crops and oil seeds industry,ARG,3.356761687401579e-05,AUS,2012
132,COD,Growing rice industry,ARG,1.5130592040231755e-05,AUS,2012
133,COD,"Growing vegetables, roots, tubers industry",ARG,4.5516866233671445e-05,AUS,2012
134,COD,Growing sugar beet and cane industry,ARG,0.0,AUS,2012
135,COD,Growing tobacco industry,ARG,1.6931944820992922e-07,AUS,2012
136,COD,Growing fibre crops industry,ARG,0.00014140796928292698,AUS,2012
137,COD,Growing crops n.e.c. industry,ARG,6.853154030782754e-08,AUS,2012
138,COD,Growing grapes industry,ARG,0.0,AUS,2012
139,COD,Growing fruits and nuts industry,ARG,0.0021952294367988717,AUS,2012
140,COD,"Growing beverage crops (coffee, tea etc) industry",ARG,8.405234253173777e-06,AUS,2012
141,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",ARG,1.4940336810607853e-07,AUS,2012
142,COD,Seeds and plant propagation industry,ARG,0.0,AUS,2012
143,COD,Raising of cattle industry,ARG,0.00011782864896178376,AUS,2012
144,COD,Growing wheat industry,ARM,5.1157740824804576e-08,AUS,2012
145,COD,Growing maize industry,ARM,7.72243258971851e-06,AUS,2012
146,COD,Growing cereals n.e.c industry,ARM,9.492201426807962e-09,AUS,2012
147,COD,Growing leguminous crops and oil seeds industry,ARM,1.6643987385605613e-06,AUS,2012
148,COD,Growing rice industry,ARM,8.26070802783151e-07,AUS,2012
149,COD,"Growing vegetables, roots, tubers industry",ARM,2.5261055221347394e-06,AUS,2012
150,COD,Growing sugar beet and cane industry,ARM,0.0,AUS,2012
151,COD,Growing tobacco industry,ARM,9.671986285210338e-09,AUS,2012
152,COD,Growing fibre crops industry,ARM,8.942068414112546e-06,AUS,2012
153,COD,Growing crops n.e.c. industry,ARM,3.8833881094290595e-09,AUS,2012
154,COD,Growing grapes industry,ARM,0.0,AUS,2012
155,COD,Growing fruits and nuts industry,ARM,0.0003201453533440428,AUS,2012
156,COD,"Growing beverage crops (coffee, tea etc) industry",ARM,4.137467447283761e-07,AUS,2012
157,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",ARM,8.329324979768697e-09,AUS,2012
158,COD,Seeds and plant propagation industry,ARM,0.0,AUS,2012
159,COD,Raising of cattle industry,ARM,7.605388046992699e-06,AUS,2012
160,COD,Growing wheat industry,AUS,0.0,AUS,2012
161,COD,Growing maize industry,AUS,0.0,AUS,2012
162,COD,Growing cereals n.e.c industry,AUS,0.0,AUS,2012
163,COD,Growing leguminous crops and oil seeds industry,AUS,0.0,AUS,2012
164,COD,Growing rice industry,AUS,0.0,AUS,2012
165,COD,"Growing vegetables, roots, tubers industry",AUS,0.0,AUS,2012
166,COD,Growing sugar beet and cane industry,AUS,0.0,AUS,2012
167,COD,Growing tobacco industry,AUS,0.0,AUS,2012
168,COD,Growing fibre crops industry,AUS,0.0,AUS,2012
169,COD,Growing crops n.e.c. industry,AUS,0.0,AUS,2012
170,COD,Growing grapes industry,AUS,0.0,AUS,2012
171,COD,Growing fruits and nuts industry,AUS,0.0,AUS,2012
172,COD,"Growing beverage crops (coffee, tea etc) industry",AUS,0.0,AUS,2012
173,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",AUS,0.0,AUS,2012
174,COD,Seeds and plant propagation industry,AUS,0.0,AUS,2012
175,COD,Raising of cattle industry,AUS,0.0,AUS,2012
176,COD,Growing wheat industry,AUT,7.118748678133636e-07,AUS,2012
