,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,COD,Growing wheat industry,XAM,8.41527409720927e-08,BRN,2012
1,COD,Growing maize industry,XAM,2.3777366331820332e-06,BRN,2012
2,COD,Growing cereals n.e.c industry,XAM,1.3377731421203891e-08,BRN,2012
3,COD,Growing leguminous crops and oil seeds industry,XAM,1.1236618930732267e-06,BRN,2012
4,COD,Growing rice industry,XAM,2.9852619766207224e-06,BRN,2012
5,COD,"Growing vegetables, roots, tubers industry",XAM,4.364240423576683e-07,BRN,2012
6,COD,Growing sugar beet and cane industry,XAM,0.0,BRN,2012
7,COD,Growing tobacco industry,XAM,5.086320181050576e-09,BRN,2012
8,COD,Growing fibre crops industry,XAM,1.4252570233248912e-05,BRN,2012
9,COD,Growing crops n.e.c. industry,XAM,5.623505950850236e-09,BRN,2012
10,COD,Growing grapes industry,XAM,0.0,BRN,2012
11,COD,Growing fruits and nuts industry,XAM,4.3679799179029106e-05,BRN,2012
12,COD,"Growing beverage crops (coffee, tea etc) industry",XAM,3.176134313750555e-08,BRN,2012
13,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,1.5609709600683166e-09,BRN,2012
14,COD,Seeds and plant propagation industry,XAM,0.0,BRN,2012
15,COD,Raising of cattle industry,XAM,2.5049491580694675e-05,BRN,2012
16,COD,Growing wheat industry,XEU,2.0169817066900762e-08,BRN,2012
17,COD,Growing maize industry,XEU,7.80576657693162e-07,BRN,2012
18,COD,Growing cereals n.e.c industry,XEU,3.2741897850944512e-09,BRN,2012
19,COD,Growing leguminous crops and oil seeds industry,XEU,2.894337096998042e-07,BRN,2012
20,COD,Growing rice industry,XEU,6.846984015719172e-07,BRN,2012
21,COD,"Growing vegetables, roots, tubers industry",XEU,1.354517016378465e-07,BRN,2012
22,COD,Growing sugar beet and cane industry,XEU,0.0,BRN,2012
23,COD,Growing tobacco industry,XEU,1.478624824306627e-09,BRN,2012
24,COD,Growing fibre crops industry,XEU,3.832279803909607e-06,BRN,2012
25,COD,Growing crops n.e.c. industry,XEU,1.3868972114570077e-09,BRN,2012
26,COD,Growing grapes industry,XEU,0.0,BRN,2012
27,COD,Growing fruits and nuts industry,XEU,1.1070601765136149e-05,BRN,2012
28,COD,"Growing beverage crops (coffee, tea etc) industry",XEU,9.110955124715133e-09,BRN,2012
29,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,5.444932165742371e-10,BRN,2012
30,COD,Seeds and plant propagation industry,XEU,0.0,BRN,2012
31,COD,Raising of cattle industry,XEU,5.73325994274526e-06,BRN,2012
32,COD,Growing wheat industry,XAF,8.164951322925443e-08,BRN,2012
33,COD,Growing maize industry,XAF,2.504515752176378e-06,BRN,2012
34,COD,Growing cereals n.e.c industry,XAF,1.2479529480269179e-08,BRN,2012
35,COD,Growing leguminous crops and oil seeds industry,XAF,1.1120752694996722e-06,BRN,2012
36,COD,Growing rice industry,XAF,2.682468161031761e-06,BRN,2012
37,COD,"Growing vegetables, roots, tubers industry",XAF,4.882787013448021e-07,BRN,2012
38,COD,Growing sugar beet and cane industry,XAF,0.0,BRN,2012
39,COD,Growing tobacco industry,XAF,4.988232065139346e-09,BRN,2012
40,COD,Growing fibre crops industry,XAF,1.3304575739023695e-05,BRN,2012
41,COD,Growing crops n.e.c. industry,XAF,5.295549442047354e-09,BRN,2012
42,COD,Growing grapes industry,XAF,0.0,BRN,2012
43,COD,Growing fruits and nuts industry,XAF,3.750527120985566e-05,BRN,2012
44,COD,"Growing beverage crops (coffee, tea etc) industry",XAF,2.8786536467050512e-08,BRN,2012
45,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAF,1.8288685169241146e-09,BRN,2012
46,COD,Seeds and plant propagation industry,XAF,0.0,BRN,2012
47,COD,Raising of cattle industry,XAF,2.2851972187713625e-05,BRN,2012
48,COD,Growing wheat industry,XAS,7.3929244267367106e-06,BRN,2012
49,COD,Growing maize industry,XAS,0.00022411954762235884,BRN,2012
50,COD,Growing cereals n.e.c industry,XAS,1.1222705418699433e-06,BRN,2012
51,COD,Growing leguminous crops and oil seeds industry,XAS,0.00010171830133136321,BRN,2012
52,COD,Growing rice industry,XAS,0.00023496513973926688,BRN,2012
53,COD,"Growing vegetables, roots, tubers industry",XAS,4.655370506850608e-05,BRN,2012
54,COD,Growing sugar beet and cane industry,XAS,0.0,BRN,2012
55,COD,Growing tobacco industry,XAS,4.354007860804903e-07,BRN,2012
56,COD,Growing fibre crops industry,XAS,0.0011378750793190181,BRN,2012
57,COD,Growing crops n.e.c. industry,XAS,4.814904222861911e-07,BRN,2012
58,COD,Growing grapes industry,XAS,0.0,BRN,2012
59,COD,Growing fruits and nuts industry,XAS,0.0027838268148171513,BRN,2012
60,COD,"Growing beverage crops (coffee, tea etc) industry",XAS,2.420450119827596e-06,BRN,2012
61,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAS,1.7087764340754112e-07,BRN,2012
62,COD,Seeds and plant propagation industry,XAS,0.0,BRN,2012
63,COD,Raising of cattle industry,XAS,0.0020260702060753617,BRN,2012
64,COD,Growing wheat industry,AFG,7.842140877615974e-08,BRN,2012
65,COD,Growing maize industry,AFG,2.5741537486498714e-06,BRN,2012
66,COD,Growing cereals n.e.c industry,AFG,1.2199123987614241e-08,BRN,2012
67,COD,Growing leguminous crops and oil seeds industry,AFG,1.0891506639959008e-06,BRN,2012
68,COD,Growing rice industry,AFG,2.5503340321460113e-06,BRN,2012
69,COD,"Growing vegetables, roots, tubers industry",AFG,4.960784500593184e-07,BRN,2012
70,COD,Growing sugar beet and cane industry,AFG,0.0,BRN,2012
71,COD,Growing tobacco industry,AFG,5.0095690128676404e-09,BRN,2012
72,COD,Growing fibre crops industry,AFG,1.3114570407171373e-05,BRN,2012
73,COD,Growing crops n.e.c. industry,AFG,5.206861791571116e-09,BRN,2012
74,COD,Growing grapes industry,AFG,0.0,BRN,2012
75,COD,Growing fruits and nuts industry,AFG,3.560811351083642e-05,BRN,2012
76,COD,"Growing beverage crops (coffee, tea etc) industry",AFG,2.908015405962374e-08,BRN,2012
77,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",AFG,1.8803244166763827e-09,BRN,2012
78,COD,Seeds and plant propagation industry,AFG,0.0,BRN,2012
79,COD,Raising of cattle industry,AFG,2.200718983266235e-05,BRN,2012
80,COD,Growing wheat industry,AGO,1.0587463354621422e-07,BRN,2012
81,COD,Growing maize industry,AGO,4.228912599195297e-06,BRN,2012
82,COD,Growing cereals n.e.c industry,AGO,1.722157104173139e-08,BRN,2012
83,COD,Growing leguminous crops and oil seeds industry,AGO,1.5213748316260156e-06,BRN,2012
84,COD,Growing rice industry,AGO,3.6190152976964228e-06,BRN,2012
85,COD,"Growing vegetables, roots, tubers industry",AGO,7.247845748797932e-07,BRN,2012
86,COD,Growing sugar beet and cane industry,AGO,0.0,BRN,2012
87,COD,Growing tobacco industry,AGO,8.244085359369628e-09,BRN,2012
88,COD,Growing fibre crops industry,AGO,1.718829354271802e-05,BRN,2012
89,COD,Growing crops n.e.c. industry,AGO,7.306604511332245e-09,BRN,2012
90,COD,Growing grapes industry,AGO,0.0,BRN,2012
91,COD,Growing fruits and nuts industry,AGO,4.7306996465880374e-05,BRN,2012
92,COD,"Growing beverage crops (coffee, tea etc) industry",AGO,4.2476194961656534e-08,BRN,2012
93,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",AGO,2.9437751869459973e-09,BRN,2012
94,COD,Seeds and plant propagation industry,AGO,0.0,BRN,2012
95,COD,Raising of cattle industry,AGO,3.2861817295959753e-05,BRN,2012
96,COD,Growing wheat industry,ALB,2.8801206794827243e-08,BRN,2012
97,COD,Growing maize industry,ALB,9.406716062650702e-07,BRN,2012
98,COD,Growing cereals n.e.c industry,ALB,4.565033275838296e-09,BRN,2012
99,COD,Growing leguminous crops and oil seeds industry,ALB,3.960561641538547e-07,BRN,2012
100,COD,Growing rice industry,ALB,9.810568290473633e-07,BRN,2012
101,COD,"Growing vegetables, roots, tubers industry",ALB,1.6956575125563763e-07,BRN,2012
102,COD,Growing sugar beet and cane industry,ALB,0.0,BRN,2012
103,COD,Growing tobacco industry,ALB,1.875851311846761e-09,BRN,2012
104,COD,Growing fibre crops industry,ALB,5.495453872375619e-06,BRN,2012
105,COD,Growing crops n.e.c. industry,ALB,1.928182389345863e-09,BRN,2012
106,COD,Growing grapes industry,ALB,0.0,BRN,2012
107,COD,Growing fruits and nuts industry,ALB,1.769606603041517e-05,BRN,2012
108,COD,"Growing beverage crops (coffee, tea etc) industry",ALB,1.2118893739111856e-08,BRN,2012
109,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",ALB,6.393832925817784e-10,BRN,2012
110,COD,Seeds and plant propagation industry,ALB,0.0,BRN,2012
111,COD,Raising of cattle industry,ALB,8.31623113784846e-06,BRN,2012
