,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,COD,Growing wheat industry,XAM,7.344661765556693e-07,DOM,2012
1,COD,Growing maize industry,XAM,5.4106140778245134e-05,DOM,2012
2,COD,Growing cereals n.e.c industry,XAM,1.1972699401060996e-07,DOM,2012
3,COD,Growing leguminous crops and oil seeds industry,XAM,1.2614390363407394e-05,DOM,2012
4,COD,Growing rice industry,XAM,1.6090517857372422e-05,DOM,2012
5,COD,"Growing vegetables, roots, tubers industry",XAM,1.9219807846665732e-05,DOM,2012
6,COD,Growing sugar beet and cane industry,XAM,0.0,DOM,2012
7,COD,Growing tobacco industry,XAM,5.617914800368883e-08,DOM,2012
8,COD,Growing fibre crops industry,XAM,6.006615360111737e-06,DOM,2012
9,COD,Growing crops n.e.c. industry,XAM,4.627652914057912e-08,DOM,2012
10,COD,Growing grapes industry,XAM,0.0,DOM,2012
11,COD,Growing fruits and nuts industry,XAM,2.0798307850307654e-05,DOM,2012
12,COD,"Growing beverage crops (coffee, tea etc) industry",XAM,2.0005798213897803e-07,DOM,2012
13,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,5.5681482119534576e-08,DOM,2012
14,COD,Seeds and plant propagation industry,XAM,0.0,DOM,2012
15,COD,Raising of cattle industry,XAM,0.00022978726414050126,DOM,2012
16,COD,Growing wheat industry,XEU,1.132233678428923e-07,DOM,2012
17,COD,Growing maize industry,XEU,9.034337651967545e-06,DOM,2012
18,COD,Growing cereals n.e.c industry,XEU,1.8712090400959657e-08,DOM,2012
19,COD,Growing leguminous crops and oil seeds industry,XEU,1.9438192406977585e-06,DOM,2012
20,COD,Growing rice industry,XEU,3.1106354170814257e-06,DOM,2012
21,COD,"Growing vegetables, roots, tubers industry",XEU,2.2887588465730707e-06,DOM,2012
22,COD,Growing sugar beet and cane industry,XEU,0.0,DOM,2012
23,COD,Growing tobacco industry,XEU,8.603621372078324e-09,DOM,2012
24,COD,Growing fibre crops industry,XEU,8.673957670108454e-07,DOM,2012
25,COD,Growing crops n.e.c. industry,XEU,7.2608308002681086e-09,DOM,2012
26,COD,Growing grapes industry,XEU,0.0,DOM,2012
27,COD,Growing fruits and nuts industry,XEU,2.6741407066758603e-06,DOM,2012
28,COD,"Growing beverage crops (coffee, tea etc) industry",XEU,2.6233631781944222e-08,DOM,2012
29,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,6.673014081616769e-09,DOM,2012
30,COD,Seeds and plant propagation industry,XEU,0.0,DOM,2012
31,COD,Raising of cattle industry,XEU,3.790683489310904e-05,DOM,2012
32,COD,Growing wheat industry,XAF,2.4256942305408385e-08,DOM,2012
33,COD,Growing maize industry,XAF,1.490695481140414e-06,DOM,2012
34,COD,Growing cereals n.e.c industry,XAF,3.7680487791106696e-09,DOM,2012
35,COD,Growing leguminous crops and oil seeds industry,XAF,4.5230355512432043e-07,DOM,2012
36,COD,Growing rice industry,XAF,8.595652260263845e-07,DOM,2012
37,COD,"Growing vegetables, roots, tubers industry",XAF,4.794964935859787e-07,DOM,2012
38,COD,Growing sugar beet and cane industry,XAF,0.0,DOM,2012
39,COD,Growing tobacco industry,XAF,2.58086166723963e-09,DOM,2012
40,COD,Growing fibre crops industry,XAF,2.525261246815746e-07,DOM,2012
41,COD,Growing crops n.e.c. industry,XAF,1.5794252979705011e-09,DOM,2012
42,COD,Growing grapes industry,XAF,0.0,DOM,2012
43,COD,Growing fruits and nuts industry,XAF,9.63025550043028e-07,DOM,2012
44,COD,"Growing beverage crops (coffee, tea etc) industry",XAF,6.363380202056741e-09,DOM,2012
45,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAF,1.564545683410081e-09,DOM,2012
46,COD,Seeds and plant propagation industry,XAF,0.0,DOM,2012
47,COD,Raising of cattle industry,XAF,9.049279847100135e-06,DOM,2012
48,COD,Growing wheat industry,XAS,2.21230193557531e-08,DOM,2012
49,COD,Growing maize industry,XAS,1.5586234501636158e-06,DOM,2012
50,COD,Growing cereals n.e.c industry,XAS,3.5279034479090004e-09,DOM,2012
51,COD,Growing leguminous crops and oil seeds industry,XAS,4.116700860059891e-07,DOM,2012
52,COD,Growing rice industry,XAS,7.207289958543912e-07,DOM,2012
53,COD,"Growing vegetables, roots, tubers industry",XAS,4.5874482177621216e-07,DOM,2012
