,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,COD,Growing wheat industry,XAM,3.883372799725279e-06,JAM,2012
1,COD,Growing maize industry,XAM,9.855117154028496e-05,JAM,2012
2,COD,Growing cereals n.e.c industry,XAM,6.264787596876454e-07,JAM,2012
3,COD,Growing leguminous crops and oil seeds industry,XAM,5.2362256221461316e-05,JAM,2012
4,COD,Growing rice industry,XAM,0.00014045607497322198,JAM,2012
5,COD,"Growing vegetables, roots, tubers industry",XAM,2.6403508204806547e-05,JAM,2012
6,COD,Growing sugar beet and cane industry,XAM,0.0,JAM,2012
7,COD,Growing tobacco industry,XAM,2.0810811666256868e-07,JAM,2012
8,COD,Growing fibre crops industry,XAM,1.5458133593605505e-05,JAM,2012
9,COD,Growing crops n.e.c. industry,XAM,2.535218159223971e-07,JAM,2012
10,COD,Growing grapes industry,XAM,0.0,JAM,2012
11,COD,Growing fruits and nuts industry,XAM,3.6081895616040846e-05,JAM,2012
12,COD,"Growing beverage crops (coffee, tea etc) industry",XAM,4.1366580324210806e-07,JAM,2012
13,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,7.384447394307598e-08,JAM,2012
14,COD,Seeds and plant propagation industry,XAM,0.0,JAM,2012
15,COD,Raising of cattle industry,XAM,0.0010655413878376753,JAM,2012
16,COD,Growing wheat industry,XEU,5.746362205890753e-07,JAM,2012
17,COD,Growing maize industry,XEU,1.3999117796605774e-05,JAM,2012
18,COD,Growing cereals n.e.c industry,XEU,9.302362291880618e-08,JAM,2012
19,COD,Growing leguminous crops and oil seeds industry,XEU,7.555666620179797e-06,JAM,2012
20,COD,Growing rice industry,XEU,2.1243179366161595e-05,JAM,2012
21,COD,"Growing vegetables, roots, tubers industry",XEU,3.63251683925401e-06,JAM,2012
22,COD,Growing sugar beet and cane industry,XEU,0.0,JAM,2012
23,COD,Growing tobacco industry,XEU,3.445066302598016e-08,JAM,2012
24,COD,Growing fibre crops industry,XEU,2.4665436052542015e-06,JAM,2012
25,COD,Growing crops n.e.c. industry,XEU,3.801613413805854e-08,JAM,2012
26,COD,Growing grapes industry,XEU,0.0,JAM,2012
27,COD,Growing fruits and nuts industry,XEU,4.545093159607092e-06,JAM,2012
28,COD,"Growing beverage crops (coffee, tea etc) industry",XEU,6.088700054184164e-08,JAM,2012
29,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,9.702929188559889e-09,JAM,2012
30,COD,Seeds and plant propagation industry,XEU,0.0,JAM,2012
31,COD,Raising of cattle industry,XEU,0.00018162751030527936,JAM,2012
32,COD,Growing wheat industry,XAF,1.2923660922042312e-08,JAM,2012
33,COD,Growing maize industry,XAF,3.7809860790738273e-07,JAM,2012
34,COD,Growing cereals n.e.c industry,XAF,2.1094473752064854e-09,JAM,2012
