,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,COD,Growing wheat industry,XAM,4.6651523762826765e-08,MDG,2012
1,COD,Growing maize industry,XAM,3.691252612528061e-06,MDG,2012
2,COD,Growing cereals n.e.c industry,XAM,7.524133111534964e-09,MDG,2012
3,COD,Growing leguminous crops and oil seeds industry,XAM,6.509640424431269e-07,MDG,2012
4,COD,Growing rice industry,XAM,1.7030699726861795e-06,MDG,2012
5,COD,"Growing vegetables, roots, tubers industry",XAM,1.183629551874991e-06,MDG,2012
6,COD,Growing sugar beet and cane industry,XAM,0.0,MDG,2012
7,COD,Growing tobacco industry,XAM,3.958012474084386e-09,MDG,2012
8,COD,Growing fibre crops industry,XAM,1.6439475456312395e-06,MDG,2012
9,COD,Growing crops n.e.c. industry,XAM,3.465426636420573e-09,MDG,2012
10,COD,Growing grapes industry,XAM,0.0,MDG,2012
11,COD,Growing fruits and nuts industry,XAM,0.0001482216389288853,MDG,2012
12,COD,"Growing beverage crops (coffee, tea etc) industry",XAM,9.080631875552028e-08,MDG,2012
13,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,7.722909107989698e-09,MDG,2012
14,COD,Seeds and plant propagation industry,XAM,0.0,MDG,2012
15,COD,Raising of cattle industry,XAM,1.5170370950215847e-05,MDG,2012
16,COD,Growing wheat industry,XEU,8.159612360926895e-09,MDG,2012
17,COD,Growing maize industry,XEU,4.535554911997195e-07,MDG,2012
18,COD,Growing cereals n.e.c industry,XEU,1.3133950546652981e-09,MDG,2012
19,COD,Growing leguminous crops and oil seeds industry,XEU,1.1417341973110545e-07,MDG,2012
20,COD,Growing rice industry,XEU,3.034538740635461e-07,MDG,2012
21,COD,"Growing vegetables, roots, tubers industry",XEU,9.356748016684048e-08,MDG,2012
22,COD,Growing sugar beet and cane industry,XEU,0.0,MDG,2012
23,COD,Growing tobacco industry,XEU,7.086530077730046e-10,MDG,2012
24,COD,Growing fibre crops industry,XEU,1.4043102799891597e-07,MDG,2012
25,COD,Growing crops n.e.c. industry,XEU,5.840467120178911e-10,MDG,2012
26,COD,Growing grapes industry,XEU,0.0,MDG,2012
27,COD,Growing fruits and nuts industry,XEU,1.6350350018250953e-05,MDG,2012
28,COD,"Growing beverage crops (coffee, tea etc) industry",XEU,2.8307083534703282e-09,MDG,2012
29,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,9.435046186638446e-10,MDG,2012
30,COD,Seeds and plant propagation industry,XEU,0.0,MDG,2012
31,COD,Raising of cattle industry,XEU,3.6569931150352573e-06,MDG,2012
32,COD,Growing wheat industry,XAF,2.666585228661661e-07,MDG,2012
