,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,COD,Growing wheat industry,XAM,2.2065384896724915e-08,MLI,2012
1,COD,Growing maize industry,XAM,1.1291622781225075e-06,MLI,2012
2,COD,Growing cereals n.e.c industry,XAM,3.844305607856827e-09,MLI,2012
3,COD,Growing leguminous crops and oil seeds industry,XAM,2.9146422550807473e-07,MLI,2012
4,COD,Growing rice industry,XAM,6.642389038049959e-07,MLI,2012
5,COD,"Growing vegetables, roots, tubers industry",XAM,3.127975821217727e-07,MLI,2012
6,COD,Growing sugar beet and cane industry,XAM,0.0,MLI,2012
7,COD,Growing tobacco industry,XAM,1.5413172188455107e-09,MLI,2012
8,COD,Growing fibre crops industry,XAM,1.353561946840856e-07,MLI,2012
9,COD,Growing crops n.e.c. industry,XAM,1.549626963258566e-09,MLI,2012
10,COD,Growing grapes industry,XAM,0.0,MLI,2012
11,COD,Growing fruits and nuts industry,XAM,3.217224078682828e-07,MLI,2012
12,COD,"Growing beverage crops (coffee, tea etc) industry",XAM,6.50268938770192e-09,MLI,2012
13,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,6.600249417202997e-08,MLI,2012
14,COD,Seeds and plant propagation industry,XAM,0.0,MLI,2012
15,COD,Raising of cattle industry,XAM,6.803486324329366e-06,MLI,2012
16,COD,Growing wheat industry,XEU,6.391285584522958e-09,MLI,2012
17,COD,Growing maize industry,XEU,4.228468779391659e-07,MLI,2012
18,COD,Growing cereals n.e.c industry,XEU,1.1116650277835217e-09,MLI,2012
19,COD,Growing leguminous crops and oil seeds industry,XEU,8.805867473133713e-08,MLI,2012
20,COD,Growing rice industry,XEU,2.075897517084103e-07,MLI,2012
21,COD,"Growing vegetables, roots, tubers industry",XEU,1.1935879246684228e-07,MLI,2012
22,COD,Growing sugar beet and cane industry,XEU,0.0,MLI,2012
23,COD,Growing tobacco industry,XEU,4.664149656041841e-10,MLI,2012
24,COD,Growing fibre crops industry,XEU,4.230016236503616e-08,MLI,2012
25,COD,Growing crops n.e.c. industry,XEU,4.4493308493292214e-10,MLI,2012
26,COD,Growing grapes industry,XEU,0.0,MLI,2012
27,COD,Growing fruits and nuts industry,XEU,1.203772989519921e-07,MLI,2012
28,COD,"Growing beverage crops (coffee, tea etc) industry",XEU,2.173607773528105e-09,MLI,2012
29,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,1.1842342215878135e-08,MLI,2012
30,COD,Seeds and plant propagation industry,XEU,0.0,MLI,2012
31,COD,Raising of cattle industry,XEU,2.0034486736890063e-06,MLI,2012
32,COD,Growing wheat industry,XAF,8.249822076950432e-08,MLI,2012
33,COD,Growing maize industry,XAF,7.406648854820128e-06,MLI,2012
34,COD,Growing cereals n.e.c industry,XAF,1.422858785570463e-08,MLI,2012
35,COD,Growing leguminous crops and oil seeds industry,XAF,1.2590315596707213e-06,MLI,2012
36,COD,Growing rice industry,XAF,2.5697560620781744e-06,MLI,2012
37,COD,"Growing vegetables, roots, tubers industry",XAF,2.810925889365152e-06,MLI,2012
38,COD,Growing sugar beet and cane industry,XAF,0.0,MLI,2012
39,COD,Growing tobacco industry,XAF,7.917109817253192e-09,MLI,2012
40,COD,Growing fibre crops industry,XAF,7.543938858998576e-07,MLI,2012
41,COD,Growing crops n.e.c. industry,XAF,5.544849985297396e-09,MLI,2012
42,COD,Growing grapes industry,XAF,0.0,MLI,2012
43,COD,Growing fruits and nuts industry,XAF,2.235174192964344e-06,MLI,2012
44,COD,"Growing beverage crops (coffee, tea etc) industry",XAF,5.629126167104094e-08,MLI,2012
45,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAF,2.2456383297054096e-07,MLI,2012
46,COD,Seeds and plant propagation industry,XAF,0.0,MLI,2012
47,COD,Raising of cattle industry,XAF,2.4431291745985267e-05,MLI,2012
48,COD,Growing wheat industry,XAS,5.601479736619847e-08,MLI,2012
49,COD,Growing maize industry,XAS,1.8185504174841076e-06,MLI,2012
50,COD,Growing cereals n.e.c industry,XAS,9.494948342265675e-09,MLI,2012
51,COD,Growing leguminous crops and oil seeds industry,XAS,6.761489442586104e-07,MLI,2012
52,COD,Growing rice industry,XAS,1.9643166575149145e-06,MLI,2012
53,COD,"Growing vegetables, roots, tubers industry",XAS,4.0377274933926495e-07,MLI,2012
54,COD,Growing sugar beet and cane industry,XAS,0.0,MLI,2012
55,COD,Growing tobacco industry,XAS,3.26933611597704e-09,MLI,2012
56,COD,Growing fibre crops industry,XAS,2.54127018963844e-07,MLI,2012
