,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,COD,Growing wheat industry,XAM,3.2577273734874356e-08,MNG,2012
1,COD,Growing maize industry,XAM,1.2435989997133499e-06,MNG,2012
2,COD,Growing cereals n.e.c industry,XAM,5.866753902775672e-09,MNG,2012
3,COD,Growing leguminous crops and oil seeds industry,XAM,4.2833583329168184e-07,MNG,2012
4,COD,Growing rice industry,XAM,1.1354741555412487e-06,MNG,2012
5,COD,"Growing vegetables, roots, tubers industry",XAM,2.418532646547987e-07,MNG,2012
6,COD,Growing sugar beet and cane industry,XAM,0.0,MNG,2012
7,COD,Growing tobacco industry,XAM,2.792076508467711e-09,MNG,2012
8,COD,Growing fibre crops industry,XAM,2.9156665355891775e-07,MNG,2012
9,COD,Growing crops n.e.c. industry,XAM,2.535153515157587e-09,MNG,2012
10,COD,Growing grapes industry,XAM,0.0,MNG,2012
11,COD,Growing fruits and nuts industry,XAM,7.238008201657656e-07,MNG,2012
12,COD,"Growing beverage crops (coffee, tea etc) industry",XAM,5.1019853554502255e-09,MNG,2012
13,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,9.200002514955637e-10,MNG,2012
14,COD,Seeds and plant propagation industry,XAM,0.0,MNG,2012
15,COD,Raising of cattle industry,XAM,1.4624687741645327e-05,MNG,2012
16,COD,Growing wheat industry,XEU,7.398580841322403e-09,MNG,2012
17,COD,Growing maize industry,XEU,2.440723651043722e-07,MNG,2012
18,COD,Growing cereals n.e.c industry,XEU,1.3377078433360509e-09,MNG,2012
19,COD,Growing leguminous crops and oil seeds industry,XEU,9.28314228242301e-08,MNG,2012
20,COD,Growing rice industry,XEU,2.595685542860801e-07,MNG,2012
21,COD,"Growing vegetables, roots, tubers industry",XEU,4.0742911773070954e-08,MNG,2012
22,COD,Growing sugar beet and cane industry,XEU,0.0,MNG,2012
23,COD,Growing tobacco industry,XEU,5.818991213593604e-10,MNG,2012
24,COD,Growing fibre crops industry,XEU,5.1144725349118044e-08,MNG,2012
25,COD,Growing crops n.e.c. industry,XEU,5.643273469594494e-10,MNG,2012
26,COD,Growing grapes industry,XEU,0.0,MNG,2012
27,COD,Growing fruits and nuts industry,XEU,1.065697565914429e-07,MNG,2012
28,COD,"Growing beverage crops (coffee, tea etc) industry",XEU,8.668383234242814e-10,MNG,2012
29,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,1.4283786682380697e-10,MNG,2012
30,COD,Seeds and plant propagation industry,XEU,0.0,MNG,2012
31,COD,Raising of cattle industry,XEU,3.2324287407283203e-06,MNG,2012
32,COD,Growing wheat industry,XAF,2.0914659750728166e-08,MNG,2012
33,COD,Growing maize industry,XAF,6.351730356437337e-07,MNG,2012
34,COD,Growing cereals n.e.c industry,XAF,3.709592884885332e-09,MNG,2012
35,COD,Growing leguminous crops and oil seeds industry,XAF,2.634158723179521e-07,MNG,2012
36,COD,Growing rice industry,XAF,7.522417234568705e-07,MNG,2012
37,COD,"Growing vegetables, roots, tubers industry",XAF,1.1783883469667067e-07,MNG,2012
38,COD,Growing sugar beet and cane industry,XAF,0.0,MNG,2012
39,COD,Growing tobacco industry,XAF,1.5464414018797598e-09,MNG,2012
