,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,COD,Growing wheat industry,XAM,6.006740936745525e-06,RUS,2012
1,COD,Growing maize industry,XAM,0.0006162736768864243,RUS,2012
2,COD,Growing cereals n.e.c industry,XAM,1.490878005149616e-06,RUS,2012
3,COD,Growing leguminous crops and oil seeds industry,XAM,0.0002348710388564829,RUS,2012
4,COD,Growing rice industry,XAM,8.27936306223031e-05,RUS,2012
5,COD,"Growing vegetables, roots, tubers industry",XAM,0.00033477352679697146,RUS,2012
6,COD,Growing sugar beet and cane industry,XAM,0.0,RUS,2012
7,COD,Growing tobacco industry,XAM,2.7896148731022034e-06,RUS,2012
8,COD,Growing fibre crops industry,XAM,0.00015344868912086374,RUS,2012
9,COD,Growing crops n.e.c. industry,XAM,1.6702306655977252e-07,RUS,2012
10,COD,Growing grapes industry,XAM,0.0,RUS,2012
11,COD,Growing fruits and nuts industry,XAM,0.004439222716245383,RUS,2012
12,COD,"Growing beverage crops (coffee, tea etc) industry",XAM,8.997813145818182e-06,RUS,2012
13,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,1.354665448580094e-06,RUS,2012
14,COD,Seeds and plant propagation industry,XAM,0.0,RUS,2012
15,COD,Raising of cattle industry,XAM,0.0003012192629165048,RUS,2012
16,COD,Growing wheat industry,XEU,5.536837166055728e-07,RUS,2012
17,COD,Growing maize industry,XEU,4.174049234109451e-05,RUS,2012
18,COD,Growing cereals n.e.c industry,XEU,1.1502213523953821e-07,RUS,2012
19,COD,Growing leguminous crops and oil seeds industry,XEU,1.7282410055015982e-05,RUS,2012
20,COD,Growing rice industry,XEU,6.590634173705853e-06,RUS,2012
21,COD,"Growing vegetables, roots, tubers industry",XEU,2.7083857769937153e-05,RUS,2012
22,COD,Growing sugar beet and cane industry,XEU,0.0,RUS,2012
23,COD,Growing tobacco industry,XEU,2.2010225660110508e-07,RUS,2012
24,COD,Growing fibre crops industry,XEU,9.948048279289763e-06,RUS,2012
25,COD,Growing crops n.e.c. industry,XEU,1.1299529417085069e-08,RUS,2012
26,COD,Growing grapes industry,XEU,0.0,RUS,2012
27,COD,Growing fruits and nuts industry,XEU,0.00034504822548742233,RUS,2012
28,COD,"Growing beverage crops (coffee, tea etc) industry",XEU,6.775531100757357e-07,RUS,2012
29,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,1.0431310645796715e-07,RUS,2012
30,COD,Seeds and plant propagation industry,XEU,0.0,RUS,2012
31,COD,Raising of cattle industry,XEU,2.117381590887545e-05,RUS,2012
32,COD,Growing wheat industry,XAF,7.270182991931496e-07,RUS,2012
33,COD,Growing maize industry,XAF,4.057580439874566e-05,RUS,2012
34,COD,Growing cereals n.e.c industry,XAF,9.994221855606407e-08,RUS,2012
35,COD,Growing leguminous crops and oil seeds industry,XAF,1.8973343463998287e-05,RUS,2012
36,COD,Growing rice industry,XAF,7.815353498126125e-06,RUS,2012
37,COD,"Growing vegetables, roots, tubers industry",XAF,3.305344676456101e-05,RUS,2012
38,COD,Growing sugar beet and cane industry,XAF,0.0,RUS,2012
