,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,COD,Growing wheat industry,XAM,3.5182885561767164e-08,TGO,2012
1,COD,Growing maize industry,XAM,6.571038056652395e-06,TGO,2012
2,COD,Growing cereals n.e.c industry,XAM,6.2130515714768345e-09,TGO,2012
3,COD,Growing leguminous crops and oil seeds industry,XAM,5.702922277132241e-07,TGO,2012
4,COD,Growing rice industry,XAM,1.2933231859295267e-06,TGO,2012
5,COD,"Growing vegetables, roots, tubers industry",XAM,3.250111168614981e-07,TGO,2012
6,COD,Growing sugar beet and cane industry,XAM,0.0,TGO,2012
7,COD,Growing tobacco industry,XAM,4.835151531278831e-09,TGO,2012
8,COD,Growing fibre crops industry,XAM,6.905129036780572e-07,TGO,2012
9,COD,Growing crops n.e.c. industry,XAM,2.2881559283513045e-09,TGO,2012
10,COD,Growing grapes industry,XAM,0.0,TGO,2012
11,COD,Growing fruits and nuts industry,XAM,7.733331387404803e-07,TGO,2012
12,COD,"Growing beverage crops (coffee, tea etc) industry",XAM,5.484092870551913e-09,TGO,2012
13,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,6.627450250307433e-08,TGO,2012
14,COD,Seeds and plant propagation industry,XAM,0.0,TGO,2012
15,COD,Raising of cattle industry,XAM,1.0869972409462421e-05,TGO,2012
16,COD,Growing wheat industry,XEU,9.461659052672212e-09,TGO,2012
17,COD,Growing maize industry,XEU,1.8819847051354417e-06,TGO,2012
18,COD,Growing cereals n.e.c industry,XEU,1.604296116129878e-09,TGO,2012
19,COD,Growing leguminous crops and oil seeds industry,XEU,1.5618000065173628e-07,TGO,2012
20,COD,Growing rice industry,XEU,3.269707757257286e-07,TGO,2012
21,COD,"Growing vegetables, roots, tubers industry",XEU,9.866451661823301e-08,TGO,2012
22,COD,Growing sugar beet and cane industry,XEU,0.0,TGO,2012
23,COD,Growing tobacco industry,XEU,1.3911412341751552e-09,TGO,2012
24,COD,Growing fibre crops industry,XEU,1.9756470388808624e-07,TGO,2012
25,COD,Growing crops n.e.c. industry,XEU,5.782376319453308e-10,TGO,2012
26,COD,Growing grapes industry,XEU,0.0,TGO,2012
