,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,COD,Growing wheat industry,XAM,3.4059650471933905e-08,UZB,2012
1,COD,Growing maize industry,XAM,1.4078757859281989e-06,UZB,2012
2,COD,Growing cereals n.e.c industry,XAM,5.992593449989732e-09,UZB,2012
3,COD,Growing leguminous crops and oil seeds industry,XAM,4.269686522196167e-07,UZB,2012
4,COD,Growing rice industry,XAM,1.3575138617091408e-06,UZB,2012
5,COD,"Growing vegetables, roots, tubers industry",XAM,3.4848724830979647e-07,UZB,2012
6,COD,Growing sugar beet and cane industry,XAM,0.0,UZB,2012
7,COD,Growing tobacco industry,XAM,2.7320776650673807e-09,UZB,2012
8,COD,Growing fibre crops industry,XAM,4.044269474319011e-07,UZB,2012
9,COD,Growing crops n.e.c. industry,XAM,2.5341214584883086e-09,UZB,2012
10,COD,Growing grapes industry,XAM,0.0,UZB,2012
11,COD,Growing fruits and nuts industry,XAM,2.2920233806315405e-06,UZB,2012
12,COD,"Growing beverage crops (coffee, tea etc) industry",XAM,8.169276503738417e-09,UZB,2012
13,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,9.69966117923587e-10,UZB,2012
14,COD,Seeds and plant propagation industry,XAM,0.0,UZB,2012
15,COD,Raising of cattle industry,XAM,1.2643696793163788e-05,UZB,2012
16,COD,Growing wheat industry,XEU,1.1010333293776076e-08,UZB,2012
17,COD,Growing maize industry,XEU,3.371652045560564e-07,UZB,2012
18,COD,Growing cereals n.e.c industry,XEU,1.880316901061939e-09,UZB,2012
19,COD,Growing leguminous crops and oil seeds industry,XEU,1.3316603274098537e-07,UZB,2012
20,COD,Growing rice industry,XEU,4.3184724554713485e-07,UZB,2012
21,COD,"Growing vegetables, roots, tubers industry",XEU,8.316395727551817e-08,UZB,2012
22,COD,Growing sugar beet and cane industry,XEU,0.0,UZB,2012
23,COD,Growing tobacco industry,XEU,7.257330682930296e-10,UZB,2012
24,COD,Growing fibre crops industry,XEU,7.474366301013607e-08,UZB,2012
25,COD,Growing crops n.e.c. industry,XEU,7.845928029969455e-10,UZB,2012
26,COD,Growing grapes industry,XEU,0.0,UZB,2012
