,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,COD,Growing wheat industry,XAM,3.5818856128355177e-07,ZMB,2012
1,COD,Growing maize industry,XAM,0.00023460778623360265,ZMB,2012
2,COD,Growing cereals n.e.c industry,XAM,1.1753132647647639e-07,ZMB,2012
3,COD,Growing leguminous crops and oil seeds industry,XAM,1.425938545274343e-05,ZMB,2012
4,COD,Growing rice industry,XAM,3.2919036662851165e-06,ZMB,2012
5,COD,"Growing vegetables, roots, tubers industry",XAM,1.9212784653409042e-05,ZMB,2012
6,COD,Growing sugar beet and cane industry,XAM,0.0,ZMB,2012
7,COD,Growing tobacco industry,XAM,7.692127725104973e-08,ZMB,2012
8,COD,Growing fibre crops industry,XAM,5.2604793963907025e-06,ZMB,2012
9,COD,Growing crops n.e.c. industry,XAM,2.928358527128096e-07,ZMB,2012
10,COD,Growing grapes industry,XAM,0.0,ZMB,2012
11,COD,Growing fruits and nuts industry,XAM,1.1507884303472786e-05,ZMB,2012
12,COD,"Growing beverage crops (coffee, tea etc) industry",XAM,1.367197749041039e-07,ZMB,2012
13,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,3.6271089975694176e-07,ZMB,2012
14,COD,Seeds and plant propagation industry,XAM,0.0,ZMB,2012
15,COD,Raising of cattle industry,XAM,5.447215656683627e-05,ZMB,2012
16,COD,Growing wheat industry,XEU,4.475777588495416e-08,ZMB,2012
17,COD,Growing maize industry,XEU,2.857744455775966e-05,ZMB,2012
18,COD,Growing cereals n.e.c industry,XEU,1.3681990193554293e-08,ZMB,2012
19,COD,Growing leguminous crops and oil seeds industry,XEU,1.5913330806684124e-06,ZMB,2012
20,COD,Growing rice industry,XEU,5.382569255894906e-07,ZMB,2012
21,COD,"Growing vegetables, roots, tubers industry",XEU,2.9338334166636006e-06,ZMB,2012
22,COD,Growing sugar beet and cane industry,XEU,0.0,ZMB,2012
23,COD,Growing tobacco industry,XEU,8.964718677923133e-09,ZMB,2012
24,COD,Growing fibre crops industry,XEU,6.083943808169019e-07,ZMB,2012
25,COD,Growing crops n.e.c. industry,XEU,2.839719940980539e-08,ZMB,2012
26,COD,Growing grapes industry,XEU,0.0,ZMB,2012
27,COD,Growing fruits and nuts industry,XEU,1.3274379104004544e-06,ZMB,2012
28,COD,"Growing beverage crops (coffee, tea etc) industry",XEU,1.6365829920985112e-08,ZMB,2012
29,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,5.904579273426739e-08,ZMB,2012
30,COD,Seeds and plant propagation industry,XEU,0.0,ZMB,2012
31,COD,Raising of cattle industry,XEU,8.022958773039836e-06,ZMB,2012
32,COD,Growing wheat industry,XAF,1.494616390890063e-06,ZMB,2012
33,COD,Growing maize industry,XAF,0.0024562993984559305,ZMB,2012
34,COD,Growing cereals n.e.c industry,XAF,4.934359151797921e-07,ZMB,2012
35,COD,Growing leguminous crops and oil seeds industry,XAF,6.27432201929283e-05,ZMB,2012
36,COD,Growing rice industry,XAF,2.0367068367963678e-05,ZMB,2012
37,COD,"Growing vegetables, roots, tubers industry",XAF,0.00029180585568909935,ZMB,2012
38,COD,Growing sugar beet and cane industry,XAF,0.0,ZMB,2012
39,COD,Growing tobacco industry,XAF,2.907259097538976e-07,ZMB,2012
40,COD,Growing fibre crops industry,XAF,2.1724826789235783e-05,ZMB,2012
41,COD,Growing crops n.e.c. industry,XAF,1.6259155922031354e-06,ZMB,2012
42,COD,Growing grapes industry,XAF,0.0,ZMB,2012
43,COD,Growing fruits and nuts industry,XAF,7.249817988342797e-05,ZMB,2012
44,COD,"Growing beverage crops (coffee, tea etc) industry",XAF,2.2874728218598673e-06,ZMB,2012
45,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAF,5.78715246224486e-06,ZMB,2012
46,COD,Seeds and plant propagation industry,XAF,0.0,ZMB,2012
47,COD,Raising of cattle industry,XAF,0.0002801369127101222,ZMB,2012
48,COD,Growing wheat industry,XAS,2.0377966752022966e-07,ZMB,2012
49,COD,Growing maize industry,XAS,0.00013933931606350823,ZMB,2012
50,COD,Growing cereals n.e.c industry,XAS,6.480028423130128e-08,ZMB,2012
51,COD,Growing leguminous crops and oil seeds industry,XAS,7.698648211220067e-06,ZMB,2012
52,COD,Growing rice industry,XAS,2.0437492464931546e-06,ZMB,2012
53,COD,"Growing vegetables, roots, tubers industry",XAS,1.365030678371447e-05,ZMB,2012
54,COD,Growing sugar beet and cane industry,XAS,0.0,ZMB,2012
55,COD,Growing tobacco industry,XAS,4.289307971437151e-08,ZMB,2012
56,COD,Growing fibre crops industry,XAS,2.8994765761310683e-06,ZMB,2012
57,COD,Growing crops n.e.c. industry,XAS,1.4597534679386386e-07,ZMB,2012
58,COD,Growing grapes industry,XAS,0.0,ZMB,2012
59,COD,Growing fruits and nuts industry,XAS,6.5735381735157085e-06,ZMB,2012
60,COD,"Growing beverage crops (coffee, tea etc) industry",XAS,1.0183083612629524e-07,ZMB,2012
61,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAS,2.702875790523296e-07,ZMB,2012
62,COD,Seeds and plant propagation industry,XAS,0.0,ZMB,2012
63,COD,Raising of cattle industry,XAS,3.185683815136127e-05,ZMB,2012
64,COD,Growing wheat industry,AFG,1.2529252548486962e-07,ZMB,2012
65,COD,Growing maize industry,AFG,6.684776029616623e-05,ZMB,2012
66,COD,Growing cereals n.e.c industry,AFG,3.948733971623382e-08,ZMB,2012
67,COD,Growing leguminous crops and oil seeds industry,AFG,4.5671015828302065e-06,ZMB,2012
68,COD,Growing rice industry,AFG,1.1567120665689243e-06,ZMB,2012
69,COD,"Growing vegetables, roots, tubers industry",AFG,6.248735009665684e-06,ZMB,2012
70,COD,Growing sugar beet and cane industry,AFG,0.0,ZMB,2012
71,COD,Growing tobacco industry,AFG,2.6656151478427733e-08,ZMB,2012
72,COD,Growing fibre crops industry,AFG,1.8023031963118147e-06,ZMB,2012
73,COD,Growing crops n.e.c. industry,AFG,7.530120042406619e-08,ZMB,2012
74,COD,Growing grapes industry,AFG,0.0,ZMB,2012
75,COD,Growing fruits and nuts industry,AFG,3.777695809308143e-06,ZMB,2012
76,COD,"Growing beverage crops (coffee, tea etc) industry",AFG,4.008443983950086e-08,ZMB,2012
77,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",AFG,1.2180602707946245e-07,ZMB,2012
78,COD,Seeds and plant propagation industry,AFG,0.0,ZMB,2012
