,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,COD,Growing wheat industry,XAM,2.2742628606808882e-08,GMB,2013
1,COD,Growing maize industry,XAM,1.3023613909708951e-07,GMB,2013
2,COD,Growing cereals n.e.c industry,XAM,1.6385621128526918e-09,GMB,2013
3,COD,Growing leguminous crops and oil seeds industry,XAM,1.3129917167422393e-07,GMB,2013
4,COD,Growing rice industry,XAM,8.588801442811153e-07,GMB,2013
5,COD,"Growing vegetables, roots, tubers industry",XAM,8.115704180112211e-08,GMB,2013
6,COD,Growing sugar beet and cane industry,XAM,1.5658008186009702e-08,GMB,2013
7,COD,Growing tobacco industry,XAM,9.356433107617084e-10,GMB,2013
8,COD,Growing fibre crops industry,XAM,3.6054345264357144e-08,GMB,2013
9,COD,Growing crops n.e.c. industry,XAM,1.77598611635188e-08,GMB,2013
10,COD,Growing grapes industry,XAM,0.0,GMB,2013
11,COD,Growing fruits and nuts industry,XAM,3.0861422510925246e-07,GMB,2013
12,COD,"Growing beverage crops (coffee, tea etc) industry",XAM,1.075051514312514e-10,GMB,2013
13,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,1.0749694569492458e-09,GMB,2013
14,COD,Seeds and plant propagation industry,XAM,0.0,GMB,2013
15,COD,Raising of cattle industry,XAM,2.721847786390859e-06,GMB,2013
16,COD,Growing wheat industry,XEU,3.1871432510730586e-08,GMB,2013
17,COD,Growing maize industry,XEU,2.221238387508942e-07,GMB,2013
18,COD,Growing cereals n.e.c industry,XEU,2.5596834340800946e-09,GMB,2013
19,COD,Growing leguminous crops and oil seeds industry,XEU,2.1274284354128203e-07,GMB,2013
20,COD,Growing rice industry,XEU,1.3448590185276473e-06,GMB,2013
21,COD,"Growing vegetables, roots, tubers industry",XEU,2.2457914500899333e-07,GMB,2013
22,COD,Growing sugar beet and cane industry,XEU,3.723650720560086e-08,GMB,2013
23,COD,Growing tobacco industry,XEU,1.348318804146556e-09,GMB,2013
