,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,COD,Growing wheat industry,XAM,3.8856199648750533e-07,IDN,2013
1,COD,Growing maize industry,XAM,2.82826060043721e-05,IDN,2013
2,COD,Growing cereals n.e.c industry,XAM,4.601086367561101e-08,IDN,2013
3,COD,Growing leguminous crops and oil seeds industry,XAM,1.4290998197672977e-05,IDN,2013
4,COD,Growing rice industry,XAM,1.25112720571998e-05,IDN,2013
5,COD,"Growing vegetables, roots, tubers industry",XAM,7.934953204446697e-06,IDN,2013
6,COD,Growing sugar beet and cane industry,XAM,1.2709781970201657e-06,IDN,2013
7,COD,Growing tobacco industry,XAM,5.1305048921611304e-08,IDN,2013
8,COD,Growing fibre crops industry,XAM,2.7585116695554517e-05,IDN,2013
9,COD,Growing crops n.e.c. industry,XAM,6.297807824460442e-07,IDN,2013
10,COD,Growing grapes industry,XAM,0.0,IDN,2013
11,COD,Growing fruits and nuts industry,XAM,0.00022605593427856187,IDN,2013
12,COD,"Growing beverage crops (coffee, tea etc) industry",XAM,1.993707670450753e-08,IDN,2013
13,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,2.6362311068180105e-08,IDN,2013
14,COD,Seeds and plant propagation industry,XAM,0.0,IDN,2013
15,COD,Raising of cattle industry,XAM,2.9142435316027782e-05,IDN,2013
16,COD,Growing wheat industry,XEU,4.940452698627935e-08,IDN,2013
17,COD,Growing maize industry,XEU,3.1329655552773495e-06,IDN,2013
18,COD,Growing cereals n.e.c industry,XEU,5.708076700624344e-09,IDN,2013
19,COD,Growing leguminous crops and oil seeds industry,XEU,1.9725933817793372e-06,IDN,2013
20,COD,Growing rice industry,XEU,1.706446838938841e-06,IDN,2013
21,COD,"Growing vegetables, roots, tubers industry",XEU,1.1798765624866207e-06,IDN,2013
22,COD,Growing sugar beet and cane industry,XEU,1.6965464242114475e-07,IDN,2013
23,COD,Growing tobacco industry,XEU,6.545064380698969e-09,IDN,2013
24,COD,Growing fibre crops industry,XEU,3.324333968270055e-06,IDN,2013
25,COD,Growing crops n.e.c. industry,XEU,7.435978429023296e-08,IDN,2013
26,COD,Growing grapes industry,XEU,0.0,IDN,2013
27,COD,Growing fruits and nuts industry,XEU,2.473739586298706e-05,IDN,2013
28,COD,"Growing beverage crops (coffee, tea etc) industry",XEU,2.714514013566932e-09,IDN,2013
29,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,3.655304167886798e-09,IDN,2013
30,COD,Seeds and plant propagation industry,XEU,0.0,IDN,2013
31,COD,Raising of cattle industry,XEU,3.711529378266344e-06,IDN,2013
32,COD,Growing wheat industry,XAF,4.3819313622190233e-07,IDN,2013
33,COD,Growing maize industry,XAF,2.737326512530378e-05,IDN,2013
34,COD,Growing cereals n.e.c industry,XAF,5.129184163340337e-08,IDN,2013
35,COD,Growing leguminous crops and oil seeds industry,XAF,1.5846203713881542e-05,IDN,2013
36,COD,Growing rice industry,XAF,1.4800828097709274e-05,IDN,2013
37,COD,"Growing vegetables, roots, tubers industry",XAF,7.513391482053854e-06,IDN,2013
38,COD,Growing sugar beet and cane industry,XAF,1.2948304835565074e-06,IDN,2013
39,COD,Growing tobacco industry,XAF,5.336335437607721e-08,IDN,2013
40,COD,Growing fibre crops industry,XAF,2.8194505315453114e-05,IDN,2013
41,COD,Growing crops n.e.c. industry,XAF,7.587262928067467e-07,IDN,2013
42,COD,Growing grapes industry,XAF,0.0,IDN,2013
43,COD,Growing fruits and nuts industry,XAF,0.00020847940835489365,IDN,2013
44,COD,"Growing beverage crops (coffee, tea etc) industry",XAF,1.9257233566824218e-08,IDN,2013
