,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,COD,Growing wheat industry,XAM,9.547579808974368e-08,KAZ,2013
1,COD,Growing maize industry,XAM,5.244085166603297e-06,KAZ,2013
2,COD,Growing cereals n.e.c industry,XAM,2.894543216021614e-08,KAZ,2013
3,COD,Growing leguminous crops and oil seeds industry,XAM,3.2949268133731495e-06,KAZ,2013
4,COD,Growing rice industry,XAM,3.064285713833676e-06,KAZ,2013
5,COD,"Growing vegetables, roots, tubers industry",XAM,7.183767436183739e-06,KAZ,2013
6,COD,Growing sugar beet and cane industry,XAM,3.8175049146231563e-07,KAZ,2013
7,COD,Growing tobacco industry,XAM,5.936817349253905e-07,KAZ,2013
8,COD,Growing fibre crops industry,XAM,9.901284172061599e-07,KAZ,2013
9,COD,Growing crops n.e.c. industry,XAM,1.3298186523671977e-07,KAZ,2013
10,COD,Growing grapes industry,XAM,0.0,KAZ,2013
11,COD,Growing fruits and nuts industry,XAM,4.3306464911997424e-05,KAZ,2013
12,COD,"Growing beverage crops (coffee, tea etc) industry",XAM,1.5191400999659224e-08,KAZ,2013
13,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,6.707426512351123e-09,KAZ,2013
14,COD,Seeds and plant propagation industry,XAM,0.0,KAZ,2013
15,COD,Raising of cattle industry,XAM,9.475281588197256e-06,KAZ,2013
16,COD,Growing wheat industry,XEU,1.754637425786152e-08,KAZ,2013
17,COD,Growing maize industry,XEU,1.1125702332815737e-06,KAZ,2013
18,COD,Growing cereals n.e.c industry,XEU,5.731380785196149e-09,KAZ,2013
19,COD,Growing leguminous crops and oil seeds industry,XEU,6.148758020126946e-07,KAZ,2013
20,COD,Growing rice industry,XEU,4.968353333018495e-07,KAZ,2013
21,COD,"Growing vegetables, roots, tubers industry",XEU,8.378165611175899e-07,KAZ,2013
22,COD,Growing sugar beet and cane industry,XEU,4.759756622127217e-08,KAZ,2013
23,COD,Growing tobacco industry,XEU,1.4984000807823982e-07,KAZ,2013
24,COD,Growing fibre crops industry,XEU,2.2631531187378877e-07,KAZ,2013
25,COD,Growing crops n.e.c. industry,XEU,2.3581662788461076e-08,KAZ,2013
26,COD,Growing grapes industry,XEU,0.0,KAZ,2013
27,COD,Growing fruits and nuts industry,XEU,9.057522995260028e-06,KAZ,2013
28,COD,"Growing beverage crops (coffee, tea etc) industry",XEU,1.9547686636649723e-09,KAZ,2013
29,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,1.3992733674151532e-09,KAZ,2013
30,COD,Seeds and plant propagation industry,XEU,0.0,KAZ,2013
31,COD,Raising of cattle industry,XEU,1.393977263397922e-06,KAZ,2013
32,COD,Growing wheat industry,XAF,2.9253023741323816e-08,KAZ,2013
33,COD,Growing maize industry,XAF,1.818637090634664e-06,KAZ,2013
34,COD,Growing cereals n.e.c industry,XAF,8.820128736005673e-09,KAZ,2013
35,COD,Growing leguminous crops and oil seeds industry,XAF,1.0157489596796852e-06,KAZ,2013
36,COD,Growing rice industry,XAF,8.440202894718391e-07,KAZ,2013
37,COD,"Growing vegetables, roots, tubers industry",XAF,1.4036110013542173e-06,KAZ,2013
38,COD,Growing sugar beet and cane industry,XAF,8.155696019931896e-08,KAZ,2013
39,COD,Growing tobacco industry,XAF,2.1154184185894475e-07,KAZ,2013
40,COD,Growing fibre crops industry,XAF,3.4707161646470793e-07,KAZ,2013
41,COD,Growing crops n.e.c. industry,XAF,3.983018044049339e-08,KAZ,2013
42,COD,Growing grapes industry,XAF,0.0,KAZ,2013
43,COD,Growing fruits and nuts industry,XAF,1.4185437685490826e-05,KAZ,2013
44,COD,"Growing beverage crops (coffee, tea etc) industry",XAF,3.181539086065142e-09,KAZ,2013
45,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAF,2.2725852180410354e-09,KAZ,2013
46,COD,Seeds and plant propagation industry,XAF,0.0,KAZ,2013
47,COD,Raising of cattle industry,XAF,2.3941645709987407e-06,KAZ,2013
48,COD,Growing wheat industry,XAS,2.7068872842652455e-08,KAZ,2013
49,COD,Growing maize industry,XAS,1.6131953119302392e-06,KAZ,2013
50,COD,Growing cereals n.e.c industry,XAS,8.059255701918879e-09,KAZ,2013
51,COD,Growing leguminous crops and oil seeds industry,XAS,8.893577523450752e-07,KAZ,2013
52,COD,Growing rice industry,XAS,8.03142036016509e-07,KAZ,2013
53,COD,"Growing vegetables, roots, tubers industry",XAS,1.2791943001921471e-06,KAZ,2013
54,COD,Growing sugar beet and cane industry,XAS,7.546439472008067e-08,KAZ,2013
55,COD,Growing tobacco industry,XAS,1.9392881575102952e-07,KAZ,2013
56,COD,Growing fibre crops industry,XAS,3.094740184857614e-07,KAZ,2013
57,COD,Growing crops n.e.c. industry,XAS,3.6853807121061385e-08,KAZ,2013
58,COD,Growing grapes industry,XAS,0.0,KAZ,2013
59,COD,Growing fruits and nuts industry,XAS,1.2930345048273148e-05,KAZ,2013
60,COD,"Growing beverage crops (coffee, tea etc) industry",XAS,2.9397102276574096e-09,KAZ,2013
61,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAS,2.0094881656170017e-09,KAZ,2013
62,COD,Seeds and plant propagation industry,XAS,0.0,KAZ,2013
63,COD,Raising of cattle industry,XAS,2.337395586450633e-06,KAZ,2013
64,COD,Growing wheat industry,AFG,9.173451589382627e-08,KAZ,2013
65,COD,Growing maize industry,AFG,6.748639877067853e-06,KAZ,2013
66,COD,Growing cereals n.e.c industry,AFG,2.346258678025555e-08,KAZ,2013
67,COD,Growing leguminous crops and oil seeds industry,AFG,2.0203412215717962e-06,KAZ,2013
68,COD,Growing rice industry,AFG,3.0410077418072167e-06,KAZ,2013
69,COD,"Growing vegetables, roots, tubers industry",AFG,2.271955001613469e-06,KAZ,2013
70,COD,Growing sugar beet and cane industry,AFG,1.848951456225898e-07,KAZ,2013
71,COD,Growing tobacco industry,AFG,8.634151317397796e-07,KAZ,2013
72,COD,Growing fibre crops industry,AFG,9.888667138483755e-07,KAZ,2013
73,COD,Growing crops n.e.c. industry,AFG,1.1150495343252505e-07,KAZ,2013
74,COD,Growing grapes industry,AFG,0.0,KAZ,2013
75,COD,Growing fruits and nuts industry,AFG,4.8870921163740546e-05,KAZ,2013
76,COD,"Growing beverage crops (coffee, tea etc) industry",AFG,6.274287928414089e-09,KAZ,2013
77,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",AFG,6.426027538444704e-09,KAZ,2013
78,COD,Seeds and plant propagation industry,AFG,0.0,KAZ,2013
79,COD,Raising of cattle industry,AFG,8.917082225774512e-06,KAZ,2013
80,COD,Growing wheat industry,AGO,1.1143586638635107e-07,KAZ,2013
81,COD,Growing maize industry,AGO,6.027460140464362e-06,KAZ,2013
82,COD,Growing cereals n.e.c industry,AGO,3.5704886547110715e-08,KAZ,2013
83,COD,Growing leguminous crops and oil seeds industry,AGO,3.9255204558516824e-06,KAZ,2013
84,COD,Growing rice industry,AGO,3.6605852833513847e-06,KAZ,2013
85,COD,"Growing vegetables, roots, tubers industry",AGO,9.75947803252143e-06,KAZ,2013
86,COD,Growing sugar beet and cane industry,AGO,4.997280072749985e-07,KAZ,2013
87,COD,Growing tobacco industry,AGO,7.626297611479974e-07,KAZ,2013
88,COD,Growing fibre crops industry,AGO,1.175759984692036e-06,KAZ,2013
89,COD,Growing crops n.e.c. industry,AGO,1.5775227341213998e-07,KAZ,2013
90,COD,Growing grapes industry,AGO,0.0,KAZ,2013
91,COD,Growing fruits and nuts industry,AGO,5.293003355203526e-05,KAZ,2013
92,COD,"Growing beverage crops (coffee, tea etc) industry",AGO,2.044760125837977e-08,KAZ,2013
93,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",AGO,7.848457373036384e-09,KAZ,2013
94,COD,Seeds and plant propagation industry,AGO,0.0,KAZ,2013
95,COD,Raising of cattle industry,AGO,1.0981092371455261e-05,KAZ,2013
96,COD,Growing wheat industry,ALB,3.677508901060803e-08,KAZ,2013
97,COD,Growing maize industry,ALB,2.194143478400001e-06,KAZ,2013
98,COD,Growing cereals n.e.c industry,ALB,1.0613065932449789e-08,KAZ,2013
99,COD,Growing leguminous crops and oil seeds industry,ALB,1.078343978770116e-06,KAZ,2013
100,COD,Growing rice industry,ALB,9.900483130869016e-07,KAZ,2013
101,COD,"Growing vegetables, roots, tubers industry",ALB,1.071889475304328e-06,KAZ,2013
102,COD,Growing sugar beet and cane industry,ALB,7.622786447361406e-08,KAZ,2013
103,COD,Growing tobacco industry,ALB,2.8872121055509934e-07,KAZ,2013
104,COD,Growing fibre crops industry,ALB,4.2445066024808973e-07,KAZ,2013
105,COD,Growing crops n.e.c. industry,ALB,4.919621776595074e-08,KAZ,2013
106,COD,Growing grapes industry,ALB,0.0,KAZ,2013
107,COD,Growing fruits and nuts industry,ALB,1.8337375170214794e-05,KAZ,2013
108,COD,"Growing beverage crops (coffee, tea etc) industry",ALB,3.0817257562580822e-09,KAZ,2013
109,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",ALB,2.8315896439326443e-09,KAZ,2013
110,COD,Seeds and plant propagation industry,ALB,0.0,KAZ,2013
111,COD,Raising of cattle industry,ALB,3.0046677863575695e-06,KAZ,2013
112,COD,Growing wheat industry,ARE,1.2760119078407217e-07,KAZ,2013
113,COD,Growing maize industry,ARE,7.396260655639578e-06,KAZ,2013
114,COD,Growing cereals n.e.c industry,ARE,3.788118788090996e-08,KAZ,2013
115,COD,Growing leguminous crops and oil seeds industry,ARE,3.94042387237792e-06,KAZ,2013
116,COD,Growing rice industry,ARE,3.918574387835008e-06,KAZ,2013
117,COD,"Growing vegetables, roots, tubers industry",ARE,6.265018455430963e-06,KAZ,2013
118,COD,Growing sugar beet and cane industry,ARE,3.6580806004816417e-07,KAZ,2013
119,COD,Growing tobacco industry,ARE,9.422000015042403e-07,KAZ,2013
120,COD,Growing fibre crops industry,ARE,1.4052705400685129e-06,KAZ,2013
121,COD,Growing crops n.e.c. industry,ARE,1.6970799255980712e-07,KAZ,2013
122,COD,Growing grapes industry,ARE,0.0,KAZ,2013
123,COD,Growing fruits and nuts industry,ARE,6.0726560976482404e-05,KAZ,2013
124,COD,"Growing beverage crops (coffee, tea etc) industry",ARE,1.4404158051854092e-08,KAZ,2013
125,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",ARE,8.767320073027448e-09,KAZ,2013
126,COD,Seeds and plant propagation industry,ARE,0.0,KAZ,2013
127,COD,Raising of cattle industry,ARE,1.1643585692350288e-05,KAZ,2013
128,COD,Growing wheat industry,ARG,9.92721565119921e-08,KAZ,2013
129,COD,Growing maize industry,ARG,5.391054659673343e-06,KAZ,2013
130,COD,Growing cereals n.e.c industry,ARG,3.0995971349539854e-08,KAZ,2013
131,COD,Growing leguminous crops and oil seeds industry,ARG,3.232025997302894e-06,KAZ,2013
132,COD,Growing rice industry,ARG,3.3109417403268456e-06,KAZ,2013
133,COD,"Growing vegetables, roots, tubers industry",ARG,6.593692695554532e-06,KAZ,2013
134,COD,Growing sugar beet and cane industry,ARG,3.579655823288944e-07,KAZ,2013
135,COD,Growing tobacco industry,ARG,7.908632742962245e-07,KAZ,2013
136,COD,Growing fibre crops industry,ARG,1.107432647777834e-06,KAZ,2013
137,COD,Growing crops n.e.c. industry,ARG,1.366513546487829e-07,KAZ,2013
138,COD,Growing grapes industry,ARG,0.0,KAZ,2013
139,COD,Growing fruits and nuts industry,ARG,4.6228989234035926e-05,KAZ,2013
140,COD,"Growing beverage crops (coffee, tea etc) industry",ARG,1.4282048195651014e-08,KAZ,2013
141,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",ARG,6.6920371185902216e-09,KAZ,2013
142,COD,Seeds and plant propagation industry,ARG,0.0,KAZ,2013
