,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,COD,Growing wheat industry,XAM,7.435224649698214e-06,MYS,2013
1,COD,Growing maize industry,XAM,8.46469331624914e-05,MYS,2013
2,COD,Growing cereals n.e.c industry,XAM,2.3861103249180504e-07,MYS,2013
3,COD,Growing leguminous crops and oil seeds industry,XAM,4.7691284155040394e-05,MYS,2013
4,COD,Growing rice industry,XAM,8.481026446299581e-05,MYS,2013
5,COD,"Growing vegetables, roots, tubers industry",XAM,1.7096704098870774e-05,MYS,2013
6,COD,Growing sugar beet and cane industry,XAM,2.584683562327642e-06,MYS,2013
7,COD,Growing tobacco industry,XAM,1.668479362121447e-07,MYS,2013
8,COD,Growing fibre crops industry,XAM,0.019319606618194603,MYS,2013
9,COD,Growing crops n.e.c. industry,XAM,2.287060186343089e-06,MYS,2013
10,COD,Growing grapes industry,XAM,0.0,MYS,2013
11,COD,Growing fruits and nuts industry,XAM,0.028329370985872675,MYS,2013
12,COD,"Growing beverage crops (coffee, tea etc) industry",XAM,4.675670338947902e-08,MYS,2013
13,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,1.092041347859784e-07,MYS,2013
14,COD,Seeds and plant propagation industry,XAM,0.0,MYS,2013
15,COD,Raising of cattle industry,XAM,9.574641751717139e-05,MYS,2013
16,COD,Growing wheat industry,XEU,5.647250271444503e-07,MYS,2013
17,COD,Growing maize industry,XEU,8.362073235631957e-06,MYS,2013
18,COD,Growing cereals n.e.c industry,XEU,2.252599795870837e-08,MYS,2013
19,COD,Growing leguminous crops and oil seeds industry,XEU,4.9517592048407035e-06,MYS,2013
20,COD,Growing rice industry,XEU,7.604636249904761e-06,MYS,2013
21,COD,"Growing vegetables, roots, tubers industry",XEU,1.9643256613573304e-06,MYS,2013
22,COD,Growing sugar beet and cane industry,XEU,2.598659921820963e-07,MYS,2013
23,COD,Growing tobacco industry,XEU,1.7899859820633137e-08,MYS,2013
24,COD,Growing fibre crops industry,XEU,0.000811636677006359,MYS,2013
25,COD,Growing crops n.e.c. industry,XEU,2.378623388840532e-07,MYS,2013
26,COD,Growing grapes industry,XEU,0.0,MYS,2013
27,COD,Growing fruits and nuts industry,XEU,0.0019497069772996076,MYS,2013
28,COD,"Growing beverage crops (coffee, tea etc) industry",XEU,5.491427948702212e-09,MYS,2013
29,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,1.0310249893028515e-08,MYS,2013
30,COD,Seeds and plant propagation industry,XEU,0.0,MYS,2013
31,COD,Raising of cattle industry,XEU,1.0777991727234661e-05,MYS,2013
32,COD,Growing wheat industry,XAF,5.729490340106932e-06,MYS,2013
33,COD,Growing maize industry,XAF,7.650897296151425e-05,MYS,2013
34,COD,Growing cereals n.e.c industry,XAF,2.1255684888673483e-07,MYS,2013
