,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,COD,Growing wheat industry,XAM,1.1598406177138639e-07,PRY,2013
1,COD,Growing maize industry,XAM,6.783101311073147e-06,PRY,2013
2,COD,Growing cereals n.e.c industry,XAM,1.4383470276079981e-08,PRY,2013
3,COD,Growing leguminous crops and oil seeds industry,XAM,1.6234708400422651e-06,PRY,2013
4,COD,Growing rice industry,XAM,5.224109859635738e-06,PRY,2013
5,COD,"Growing vegetables, roots, tubers industry",XAM,8.017263748905574e-06,PRY,2013
6,COD,Growing sugar beet and cane industry,XAM,3.344532743098002e-07,PRY,2013
7,COD,Growing tobacco industry,XAM,3.545061117549758e-08,PRY,2013
8,COD,Growing fibre crops industry,XAM,5.849350680897305e-07,PRY,2013
9,COD,Growing crops n.e.c. industry,XAM,2.0788541770619224e-07,PRY,2013
10,COD,Growing grapes industry,XAM,0.0,PRY,2013
11,COD,Growing fruits and nuts industry,XAM,4.953555632911899e-05,PRY,2013
12,COD,"Growing beverage crops (coffee, tea etc) industry",XAM,7.836968239699547e-09,PRY,2013
13,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,3.731656631633802e-08,PRY,2013
14,COD,Seeds and plant propagation industry,XAM,0.0,PRY,2013
15,COD,Raising of cattle industry,XAM,1.804733840566851e-05,PRY,2013
16,COD,Growing wheat industry,XEU,1.3343768186603678e-08,PRY,2013
17,COD,Growing maize industry,XEU,3.4697111982274504e-07,PRY,2013
18,COD,Growing cereals n.e.c industry,XEU,1.5587654095395685e-09,PRY,2013
19,COD,Growing leguminous crops and oil seeds industry,XEU,1.707412017165284e-07,PRY,2013
20,COD,Growing rice industry,XEU,6.547670925027278e-07,PRY,2013
21,COD,"Growing vegetables, roots, tubers industry",XEU,7.737011296102119e-07,PRY,2013
22,COD,Growing sugar beet and cane industry,XEU,2.7811174621723873e-08,PRY,2013
23,COD,Growing tobacco industry,XEU,1.522374309935524e-09,PRY,2013
24,COD,Growing fibre crops industry,XEU,4.783339776606812e-08,PRY,2013
25,COD,Growing crops n.e.c. industry,XEU,1.767618278942604e-08,PRY,2013
26,COD,Growing grapes industry,XEU,0.0,PRY,2013
27,COD,Growing fruits and nuts industry,XEU,2.183488206811209e-06,PRY,2013
28,COD,"Growing beverage crops (coffee, tea etc) industry",XEU,7.280442347064177e-10,PRY,2013
29,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,3.439046425888802e-09,PRY,2013
30,COD,Seeds and plant propagation industry,XEU,0.0,PRY,2013
31,COD,Raising of cattle industry,XEU,2.2202916477867293e-06,PRY,2013
32,COD,Growing wheat industry,XAF,4.4006632841079636e-08,PRY,2013
33,COD,Growing maize industry,XAF,1.1049199340089846e-06,PRY,2013
34,COD,Growing cereals n.e.c industry,XAF,4.912433476525923e-09,PRY,2013
35,COD,Growing leguminous crops and oil seeds industry,XAF,5.887446906296548e-07,PRY,2013
36,COD,Growing rice industry,XAF,2.1160894754297e-06,PRY,2013
37,COD,"Growing vegetables, roots, tubers industry",XAF,2.139249540509645e-06,PRY,2013
38,COD,Growing sugar beet and cane industry,XAF,7.124114894109573e-08,PRY,2013
39,COD,Growing tobacco industry,XAF,4.068847804202058e-09,PRY,2013
40,COD,Growing fibre crops industry,XAF,1.7899954994171173e-07,PRY,2013
41,COD,Growing crops n.e.c. industry,XAF,5.248253915218463e-08,PRY,2013
42,COD,Growing grapes industry,XAF,0.0,PRY,2013
43,COD,Growing fruits and nuts industry,XAF,8.973717259546502e-06,PRY,2013
44,COD,"Growing beverage crops (coffee, tea etc) industry",XAF,2.0557436579014444e-09,PRY,2013
45,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAF,9.355188823922137e-09,PRY,2013
46,COD,Seeds and plant propagation industry,XAF,0.0,PRY,2013
47,COD,Raising of cattle industry,XAF,6.982845732110409e-06,PRY,2013
48,COD,Growing wheat industry,XAS,3.258223748719782e-08,PRY,2013
49,COD,Growing maize industry,XAS,7.226899821939778e-07,PRY,2013
50,COD,Growing cereals n.e.c industry,XAS,3.6411092478167658e-09,PRY,2013
51,COD,Growing leguminous crops and oil seeds industry,XAS,3.6154972806358435e-07,PRY,2013
52,COD,Growing rice industry,XAS,1.6615842179334514e-06,PRY,2013
53,COD,"Growing vegetables, roots, tubers industry",XAS,1.1509431555076588e-06,PRY,2013
54,COD,Growing sugar beet and cane industry,XAS,5.214830851489336e-08,PRY,2013
55,COD,Growing tobacco industry,XAS,2.5097365225328645e-09,PRY,2013
56,COD,Growing fibre crops industry,XAS,9.668859475273529e-08,PRY,2013
57,COD,Growing crops n.e.c. industry,XAS,3.940076455886918e-08,PRY,2013
58,COD,Growing grapes industry,XAS,0.0,PRY,2013
59,COD,Growing fruits and nuts industry,XAS,6.778567192513347e-06,PRY,2013
60,COD,"Growing beverage crops (coffee, tea etc) industry",XAS,1.1078610640243754e-09,PRY,2013
61,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAS,5.0343751516012184e-09,PRY,2013
62,COD,Seeds and plant propagation industry,XAS,0.0,PRY,2013
63,COD,Raising of cattle industry,XAS,5.3250910613140245e-06,PRY,2013
64,COD,Growing wheat industry,AFG,1.6160545458374188e-08,PRY,2013
65,COD,Growing maize industry,AFG,4.4636918492450925e-07,PRY,2013
66,COD,Growing cereals n.e.c industry,AFG,1.8542522036924294e-09,PRY,2013
67,COD,Growing leguminous crops and oil seeds industry,AFG,1.8006303667781166e-07,PRY,2013
68,COD,Growing rice industry,AFG,8.221042471988542e-07,PRY,2013
69,COD,"Growing vegetables, roots, tubers industry",AFG,5.854338684739909e-07,PRY,2013
70,COD,Growing sugar beet and cane industry,AFG,2.7547472143487712e-08,PRY,2013
71,COD,Growing tobacco industry,AFG,1.3619728421091783e-09,PRY,2013
72,COD,Growing fibre crops industry,AFG,4.721965252162087e-08,PRY,2013
73,COD,Growing crops n.e.c. industry,AFG,1.953082747521532e-08,PRY,2013
74,COD,Growing grapes industry,AFG,0.0,PRY,2013
75,COD,Growing fruits and nuts industry,AFG,1.9906363528177e-06,PRY,2013
