,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,COD,Growing wheat industry,XAM,0.0,XAM,2013
1,COD,Growing maize industry,XAM,0.0,XAM,2013
2,COD,Growing cereals n.e.c industry,XAM,0.0,XAM,2013
3,COD,Growing leguminous crops and oil seeds industry,XAM,0.0,XAM,2013
4,COD,Growing rice industry,XAM,0.0,XAM,2013
5,COD,"Growing vegetables, roots, tubers industry",XAM,0.0,XAM,2013
6,COD,Growing sugar beet and cane industry,XAM,0.0,XAM,2013
7,COD,Growing tobacco industry,XAM,0.0,XAM,2013
8,COD,Growing fibre crops industry,XAM,0.0,XAM,2013
9,COD,Growing crops n.e.c. industry,XAM,0.0,XAM,2013
10,COD,Growing grapes industry,XAM,0.0,XAM,2013
11,COD,Growing fruits and nuts industry,XAM,0.0,XAM,2013
12,COD,"Growing beverage crops (coffee, tea etc) industry",XAM,0.0,XAM,2013
13,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,0.0,XAM,2013
14,COD,Seeds and plant propagation industry,XAM,0.0,XAM,2013
15,COD,Raising of cattle industry,XAM,0.0,XAM,2013
16,COD,Growing wheat industry,XEU,0.00013789447236251258,XAM,2013
17,COD,Growing maize industry,XEU,0.0006170096364429849,XAM,2013
18,COD,Growing cereals n.e.c industry,XEU,4.3849299611333805e-06,XAM,2013
19,COD,Growing leguminous crops and oil seeds industry,XEU,0.0024230673507421156,XAM,2013
20,COD,Growing rice industry,XEU,0.001968689422255732,XAM,2013
21,COD,"Growing vegetables, roots, tubers industry",XEU,0.0007562595021803064,XAM,2013
22,COD,Growing sugar beet and cane industry,XEU,3.302584730985782e-05,XAM,2013
23,COD,Growing tobacco industry,XEU,5.937604321238705e-06,XAM,2013
24,COD,Growing fibre crops industry,XEU,6.227493236501791e-05,XAM,2013
25,COD,Growing crops n.e.c. industry,XEU,2.374807694263875e-05,XAM,2013
26,COD,Growing grapes industry,XEU,0.0,XAM,2013
27,COD,Growing fruits and nuts industry,XEU,0.003250822302714143,XAM,2013
28,COD,"Growing beverage crops (coffee, tea etc) industry",XEU,6.936795580142677e-07,XAM,2013
29,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,2.6899902562593173e-06,XAM,2013
30,COD,Seeds and plant propagation industry,XEU,0.0,XAM,2013
31,COD,Raising of cattle industry,XEU,0.0034204678312185874,XAM,2013
32,COD,Growing wheat industry,XAF,6.969762754137653e-07,XAM,2013
33,COD,Growing maize industry,XAF,4.5002640474733725e-06,XAM,2013
34,COD,Growing cereals n.e.c industry,XAF,3.215814962713377e-08,XAM,2013
35,COD,Growing leguminous crops and oil seeds industry,XAF,2.1345761285330724e-05,XAM,2013
36,COD,Growing rice industry,XAF,1.4167626761626728e-05,XAM,2013
37,COD,"Growing vegetables, roots, tubers industry",XAF,3.6527321382653277e-06,XAM,2013
38,COD,Growing sugar beet and cane industry,XAF,2.6330912867369454e-07,XAM,2013
39,COD,Growing tobacco industry,XAF,3.612049932650902e-08,XAM,2013
40,COD,Growing fibre crops industry,XAF,4.5131321623974145e-07,XAM,2013
41,COD,Growing crops n.e.c. industry,XAF,2.521555359996408e-07,XAM,2013
42,COD,Growing grapes industry,XAF,0.0,XAM,2013
43,COD,Growing fruits and nuts industry,XAF,1.7554530015470496e-05,XAM,2013
44,COD,"Growing beverage crops (coffee, tea etc) industry",XAF,4.321457102772476e-09,XAM,2013
45,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAF,1.260203773027119e-08,XAM,2013
46,COD,Seeds and plant propagation industry,XAF,0.0,XAM,2013
47,COD,Raising of cattle industry,XAF,3.4482346154334674e-05,XAM,2013
48,COD,Growing wheat industry,XAS,1.1144922668235928e-06,XAM,2013
49,COD,Growing maize industry,XAS,9.086908591188675e-06,XAM,2013
50,COD,Growing cereals n.e.c industry,XAS,4.3255860615662406e-08,XAM,2013
51,COD,Growing leguminous crops and oil seeds industry,XAS,2.463976686588014e-05,XAM,2013
52,COD,Growing rice industry,XAS,1.7897912287073604e-05,XAM,2013
53,COD,"Growing vegetables, roots, tubers industry",XAS,6.819044321635283e-06,XAM,2013
54,COD,Growing sugar beet and cane industry,XAS,4.3234447670210905e-07,XAM,2013
55,COD,Growing tobacco industry,XAS,1.6019902690511874e-07,XAM,2013
56,COD,Growing fibre crops industry,XAS,1.0911173040442722e-06,XAM,2013
