,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,COD,Growing wheat industry,XAM,1.0309820618145405e-08,ETH,2015
1,COD,Growing maize industry,XAM,1.6273593578902346e-07,ETH,2015
2,COD,Growing cereals n.e.c industry,XAM,1.3568414796237236e-10,ETH,2015
3,COD,Growing leguminous crops and oil seeds industry,XAM,2.0529650748676858e-08,ETH,2015
4,COD,Growing rice industry,XAM,2.2381121055669227e-07,ETH,2015
5,COD,"Growing vegetables, roots, tubers industry",XAM,1.9033962253697077e-07,ETH,2015
6,COD,Growing sugar beet and cane industry,XAM,2.0629931680070923e-08,ETH,2015
7,COD,Growing tobacco industry,XAM,3.7518998437034175e-10,ETH,2015
8,COD,Growing fibre crops industry,XAM,3.203207171649418e-08,ETH,2015
9,COD,Growing crops n.e.c. industry,XAM,2.879829594025118e-08,ETH,2015
10,COD,Growing grapes industry,XAM,0.0,ETH,2015
11,COD,Growing fruits and nuts industry,XAM,3.995474857042929e-07,ETH,2015
12,COD,"Growing beverage crops (coffee, tea etc) industry",XAM,9.508165250942543e-09,ETH,2015
13,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,1.0315960319856445e-10,ETH,2015
14,COD,Seeds and plant propagation industry,XAM,0.0,ETH,2015
15,COD,Raising of cattle industry,XAM,1.7372712576307906e-06,ETH,2015
16,COD,Growing wheat industry,XEU,4.732550898821178e-09,ETH,2015
17,COD,Growing maize industry,XEU,5.4004797231615056e-08,ETH,2015
18,COD,Growing cereals n.e.c industry,XEU,6.276125755530423e-11,ETH,2015
19,COD,Growing leguminous crops and oil seeds industry,XEU,8.453854153559676e-09,ETH,2015
20,COD,Growing rice industry,XEU,1.0245311748563776e-07,ETH,2015
21,COD,"Growing vegetables, roots, tubers industry",XEU,2.1256142299123482e-08,ETH,2015
22,COD,Growing sugar beet and cane industry,XEU,9.264083850318003e-09,ETH,2015
23,COD,Growing tobacco industry,XEU,1.5902364287428703e-10,ETH,2015
24,COD,Growing fibre crops industry,XEU,1.697822449018285e-08,ETH,2015
25,COD,Growing crops n.e.c. industry,XEU,1.4171513481642228e-08,ETH,2015
26,COD,Growing grapes industry,XEU,0.0,ETH,2015
27,COD,Growing fruits and nuts industry,XEU,8.834318387926766e-08,ETH,2015
28,COD,"Growing beverage crops (coffee, tea etc) industry",XEU,1.8383924108835663e-09,ETH,2015
29,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,1.2673986485289067e-11,ETH,2015
30,COD,Seeds and plant propagation industry,XEU,0.0,ETH,2015
31,COD,Raising of cattle industry,XEU,7.724655217370275e-07,ETH,2015
32,COD,Growing wheat industry,XAF,2.128640179237769e-08,ETH,2015
33,COD,Growing maize industry,XAF,3.9570452749494696e-07,ETH,2015
34,COD,Growing cereals n.e.c industry,XAF,2.776760187252917e-10,ETH,2015
35,COD,Growing leguminous crops and oil seeds industry,XAF,4.607645358779853e-08,ETH,2015
36,COD,Growing rice industry,XAF,4.530993254150643e-07,ETH,2015
37,COD,"Growing vegetables, roots, tubers industry",XAF,4.2345988150763145e-07,ETH,2015
38,COD,Growing sugar beet and cane industry,XAF,4.65958868183749e-08,ETH,2015
39,COD,Growing tobacco industry,XAF,8.638594107487304e-10,ETH,2015
40,COD,Growing fibre crops industry,XAF,1.0276757005816657e-07,ETH,2015
41,COD,Growing crops n.e.c. industry,XAF,5.6236096193286816e-08,ETH,2015
42,COD,Growing grapes industry,XAF,0.0,ETH,2015
43,COD,Growing fruits and nuts industry,XAF,9.352450880880666e-07,ETH,2015
44,COD,"Growing beverage crops (coffee, tea etc) industry",XAF,2.2779150592312624e-08,ETH,2015
