,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,COD,Growing wheat industry,XAM,2.0499129393029193e-07,IRN,2015
1,COD,Growing maize industry,XAM,3.871683961771681e-06,IRN,2015
2,COD,Growing cereals n.e.c industry,XAM,1.975672945805195e-09,IRN,2015
3,COD,Growing leguminous crops and oil seeds industry,XAM,3.335542379989967e-07,IRN,2015
4,COD,Growing rice industry,XAM,1.1183131018692133e-06,IRN,2015
5,COD,"Growing vegetables, roots, tubers industry",XAM,2.650353465507781e-06,IRN,2015
6,COD,Growing sugar beet and cane industry,XAM,3.8050526539246264e-07,IRN,2015
7,COD,Growing tobacco industry,XAM,7.677442307571112e-09,IRN,2015
8,COD,Growing fibre crops industry,XAM,1.8928632596124583e-06,IRN,2015
9,COD,Growing crops n.e.c. industry,XAM,2.63168982669628e-07,IRN,2015
10,COD,Growing grapes industry,XAM,0.0,IRN,2015
11,COD,Growing fruits and nuts industry,XAM,1.1468656963552604e-05,IRN,2015
12,COD,"Growing beverage crops (coffee, tea etc) industry",XAM,2.689578724589003e-07,IRN,2015
13,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,1.584521952822094e-09,IRN,2015
14,COD,Seeds and plant propagation industry,XAM,0.0,IRN,2015
15,COD,Raising of cattle industry,XAM,8.068490848016798e-06,IRN,2015
16,COD,Growing wheat industry,XEU,7.8628731095853e-08,IRN,2015
17,COD,Growing maize industry,XEU,7.814852861402601e-07,IRN,2015
18,COD,Growing cereals n.e.c industry,XEU,5.141905088086288e-10,IRN,2015
19,COD,Growing leguminous crops and oil seeds industry,XEU,9.425689221123263e-08,IRN,2015
20,COD,Growing rice industry,XEU,3.666848293747957e-07,IRN,2015
21,COD,"Growing vegetables, roots, tubers industry",XEU,9.9516065517373e-07,IRN,2015
22,COD,Growing sugar beet and cane industry,XEU,8.713006418488033e-08,IRN,2015
23,COD,Growing tobacco industry,XEU,2.1113763745380514e-09,IRN,2015
24,COD,Growing fibre crops industry,XEU,3.497570013520761e-07,IRN,2015
25,COD,Growing crops n.e.c. industry,XEU,5.893853905068363e-08,IRN,2015
26,COD,Growing grapes industry,XEU,0.0,IRN,2015
27,COD,Growing fruits and nuts industry,XEU,3.850519339099629e-06,IRN,2015
28,COD,"Growing beverage crops (coffee, tea etc) industry",XEU,9.3936133107551e-08,IRN,2015
29,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,6.175483152782205e-10,IRN,2015
30,COD,Seeds and plant propagation industry,XEU,0.0,IRN,2015
31,COD,Raising of cattle industry,XEU,2.2471411597885605e-06,IRN,2015
32,COD,Growing wheat industry,XAF,3.1989176710066763e-07,IRN,2015
33,COD,Growing maize industry,XAF,3.6500899520302454e-06,IRN,2015
34,COD,Growing cereals n.e.c industry,XAF,2.343766323600433e-09,IRN,2015
35,COD,Growing leguminous crops and oil seeds industry,XAF,3.909142782814743e-07,IRN,2015
36,COD,Growing rice industry,XAF,1.6788477160330603e-06,IRN,2015
37,COD,"Growing vegetables, roots, tubers industry",XAF,2.799240253921597e-06,IRN,2015
38,COD,Growing sugar beet and cane industry,XAF,4.1206350062872364e-07,IRN,2015
39,COD,Growing tobacco industry,XAF,8.303723798062224e-09,IRN,2015
40,COD,Growing fibre crops industry,XAF,1.666390597972918e-06,IRN,2015
41,COD,Growing crops n.e.c. industry,XAF,2.6022457046406107e-07,IRN,2015
42,COD,Growing grapes industry,XAF,0.0,IRN,2015
43,COD,Growing fruits and nuts industry,XAF,1.390270114810366e-05,IRN,2015
44,COD,"Growing beverage crops (coffee, tea etc) industry",XAF,3.3536221938991813e-07,IRN,2015
45,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAF,1.68901736336008e-09,IRN,2015
46,COD,Seeds and plant propagation industry,XAF,0.0,IRN,2015
47,COD,Raising of cattle industry,XAF,1.1110049373693138e-05,IRN,2015
48,COD,Growing wheat industry,XAS,1.0403739393259112e-06,IRN,2015
49,COD,Growing maize industry,XAS,7.136501112419077e-06,IRN,2015
50,COD,Growing cereals n.e.c industry,XAS,5.44519631918117e-09,IRN,2015
51,COD,Growing leguminous crops and oil seeds industry,XAS,9.426492612814571e-07,IRN,2015
52,COD,Growing rice industry,XAS,3.9642243065272e-06,IRN,2015
53,COD,"Growing vegetables, roots, tubers industry",XAS,6.7920870097033714e-06,IRN,2015
54,COD,Growing sugar beet and cane industry,XAS,8.393754152227571e-07,IRN,2015
55,COD,Growing tobacco industry,XAS,1.7752398721121642e-08,IRN,2015
56,COD,Growing fibre crops industry,XAS,2.556196506921652e-06,IRN,2015
