,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,COD,Growing wheat industry,XAM,1.156645397951362e-06,PER,2015
1,COD,Growing maize industry,XAM,2.8067742975407642e-05,PER,2015
2,COD,Growing cereals n.e.c industry,XAM,7.967599560450737e-09,PER,2015
3,COD,Growing leguminous crops and oil seeds industry,XAM,1.6612349079335635e-06,PER,2015
4,COD,Growing rice industry,XAM,6.4554720622116235e-06,PER,2015
5,COD,"Growing vegetables, roots, tubers industry",XAM,1.196791502765223e-05,PER,2015
6,COD,Growing sugar beet and cane industry,XAM,2.02933935978758e-06,PER,2015
7,COD,Growing tobacco industry,XAM,2.6385069000455144e-08,PER,2015
8,COD,Growing fibre crops industry,XAM,3.9587209076819645e-06,PER,2015
9,COD,Growing crops n.e.c. industry,XAM,8.442350446945401e-07,PER,2015
10,COD,Growing grapes industry,XAM,0.0,PER,2015
11,COD,Growing fruits and nuts industry,XAM,3.296303179834194e-05,PER,2015
12,COD,"Growing beverage crops (coffee, tea etc) industry",XAM,4.735873611305452e-07,PER,2015
13,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,4.3585644441607464e-09,PER,2015
14,COD,Seeds and plant propagation industry,XAM,0.0,PER,2015
15,COD,Raising of cattle industry,XAM,5.7389788561276636e-05,PER,2015
16,COD,Growing wheat industry,XEU,6.670667774151176e-08,PER,2015
17,COD,Growing maize industry,XEU,1.9065651064821031e-06,PER,2015
18,COD,Growing cereals n.e.c industry,XEU,5.290044929410623e-10,PER,2015
19,COD,Growing leguminous crops and oil seeds industry,XEU,1.175234749043267e-07,PER,2015
20,COD,Growing rice industry,XEU,4.053483223088684e-07,PER,2015
21,COD,"Growing vegetables, roots, tubers industry",XEU,6.890432117922625e-07,PER,2015
22,COD,Growing sugar beet and cane industry,XEU,9.218084892120523e-08,PER,2015
23,COD,Growing tobacco industry,XEU,1.791860942601464e-09,PER,2015
24,COD,Growing fibre crops industry,XEU,3.4646947044082346e-07,PER,2015
25,COD,Growing crops n.e.c. industry,XEU,6.326800977219859e-08,PER,2015
26,COD,Growing grapes industry,XEU,0.0,PER,2015
27,COD,Growing fruits and nuts industry,XEU,2.561140837607752e-06,PER,2015
