,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,COD,Growing wheat industry,XAM,1.6247770604713942e-07,QAT,2015
1,COD,Growing maize industry,XAM,5.192633347066907e-06,QAT,2015
2,COD,Growing cereals n.e.c industry,XAM,2.3261313436757113e-09,QAT,2015
3,COD,Growing leguminous crops and oil seeds industry,XAM,4.794164963936566e-07,QAT,2015
4,COD,Growing rice industry,XAM,2.21976890378911e-06,QAT,2015
5,COD,"Growing vegetables, roots, tubers industry",XAM,3.852492719323731e-06,QAT,2015
6,COD,Growing sugar beet and cane industry,XAM,5.733091235201156e-07,QAT,2015
7,COD,Growing tobacco industry,XAM,1.8695863714845416e-08,QAT,2015
8,COD,Growing fibre crops industry,XAM,1.413372099118734e-06,QAT,2015
9,COD,Growing crops n.e.c. industry,XAM,9.689532991514616e-07,QAT,2015
10,COD,Growing grapes industry,XAM,0.0,QAT,2015
11,COD,Growing fruits and nuts industry,XAM,1.2325892267862987e-05,QAT,2015
12,COD,"Growing beverage crops (coffee, tea etc) industry",XAM,5.398531797553454e-07,QAT,2015
13,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,1.6183711670768059e-09,QAT,2015
14,COD,Seeds and plant propagation industry,XAM,0.0,QAT,2015
15,COD,Raising of cattle industry,XAM,2.135092335418672e-05,QAT,2015
16,COD,Growing wheat industry,XEU,4.294739823588296e-08,QAT,2015
17,COD,Growing maize industry,XEU,9.471099254163309e-07,QAT,2015
18,COD,Growing cereals n.e.c industry,XEU,5.762785559572782e-10,QAT,2015
19,COD,Growing leguminous crops and oil seeds industry,XEU,1.1858228356956128e-07,QAT,2015
20,COD,Growing rice industry,XEU,6.631504936102869e-07,QAT,2015
21,COD,"Growing vegetables, roots, tubers industry",XEU,7.886535447578072e-07,QAT,2015
22,COD,Growing sugar beet and cane industry,XEU,9.572345985193368e-08,QAT,2015
23,COD,Growing tobacco industry,XEU,5.371187388343384e-09,QAT,2015
24,COD,Growing fibre crops industry,XEU,3.569833517906963e-07,QAT,2015
