,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,COD,Growing wheat industry,XAM,1.396845896556847e-07,RWA,2015
1,COD,Growing maize industry,XAM,2.5216022364355285e-05,RWA,2015
2,COD,Growing cereals n.e.c industry,XAM,5.3609791467553986e-08,RWA,2015
3,COD,Growing leguminous crops and oil seeds industry,XAM,1.4148262118583102e-05,RWA,2015
4,COD,Growing rice industry,XAM,1.0537917536548861e-05,RWA,2015
5,COD,"Growing vegetables, roots, tubers industry",XAM,0.0002541605887748111,RWA,2015
6,COD,Growing sugar beet and cane industry,XAM,7.812942370652527e-06,RWA,2015
7,COD,Growing tobacco industry,XAM,5.469118322150404e-08,RWA,2015
8,COD,Growing fibre crops industry,XAM,5.406684622914324e-06,RWA,2015
9,COD,Growing crops n.e.c. industry,XAM,6.700624942238747e-07,RWA,2015
10,COD,Growing grapes industry,XAM,0.0,RWA,2015
11,COD,Growing fruits and nuts industry,XAM,0.00015886513637123733,RWA,2015
12,COD,"Growing beverage crops (coffee, tea etc) industry",XAM,2.0879034961625156e-05,RWA,2015
13,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,5.411696438703234e-09,RWA,2015
14,COD,Seeds and plant propagation industry,XAM,0.0,RWA,2015
15,COD,Raising of cattle industry,XAM,1.9201962712304344e-05,RWA,2015
16,COD,Growing wheat industry,XEU,8.066374059579939e-08,RWA,2015
17,COD,Growing maize industry,XEU,1.3632396284085781e-05,RWA,2015
18,COD,Growing cereals n.e.c industry,XEU,3.379384728393519e-08,RWA,2015
19,COD,Growing leguminous crops and oil seeds industry,XEU,8.623613600125185e-06,RWA,2015
20,COD,Growing rice industry,XEU,6.3312277231933034e-06,RWA,2015
21,COD,"Growing vegetables, roots, tubers industry",XEU,0.00015807624719698925,RWA,2015
22,COD,Growing sugar beet and cane industry,XEU,4.520776376929813e-06,RWA,2015
23,COD,Growing tobacco industry,XEU,3.337203667566297e-08,RWA,2015
24,COD,Growing fibre crops industry,XEU,3.1347977976312636e-06,RWA,2015
25,COD,Growing crops n.e.c. industry,XEU,3.45023000632212e-07,RWA,2015
26,COD,Growing grapes industry,XEU,0.0,RWA,2015
27,COD,Growing fruits and nuts industry,XEU,9.810183819158802e-05,RWA,2015
28,COD,"Growing beverage crops (coffee, tea etc) industry",XEU,1.2949179589130779e-05,RWA,2015
29,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,3.3134735500070302e-09,RWA,2015
30,COD,Seeds and plant propagation industry,XEU,0.0,RWA,2015
31,COD,Raising of cattle industry,XEU,1.1329548282278009e-05,RWA,2015
32,COD,Growing wheat industry,XAF,9.526793255478039e-07,RWA,2015
33,COD,Growing maize industry,XAF,0.00035194948447929794,RWA,2015
34,COD,Growing cereals n.e.c industry,XAF,3.533925325951723e-07,RWA,2015
35,COD,Growing leguminous crops and oil seeds industry,XAF,8.847176179169087e-05,RWA,2015
36,COD,Growing rice industry,XAF,5.993174105267149e-05,RWA,2015
37,COD,"Growing vegetables, roots, tubers industry",XAF,0.0015974951989233628,RWA,2015
38,COD,Growing sugar beet and cane industry,XAF,7.200961674659178e-05,RWA,2015
39,COD,Growing tobacco industry,XAF,3.550314440241838e-07,RWA,2015
40,COD,Growing fibre crops industry,XAF,3.153388196289646e-05,RWA,2015
41,COD,Growing crops n.e.c. industry,XAF,3.04959526212078e-06,RWA,2015
42,COD,Growing grapes industry,XAF,0.0,RWA,2015
43,COD,Growing fruits and nuts industry,XAF,0.0010209915826663745,RWA,2015
44,COD,"Growing beverage crops (coffee, tea etc) industry",XAF,9.690274511993146e-05,RWA,2015
45,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAF,3.541394120261278e-08,RWA,2015
46,COD,Seeds and plant propagation industry,XAF,0.0,RWA,2015
47,COD,Raising of cattle industry,XAF,0.00010535297618939821,RWA,2015
48,COD,Growing wheat industry,XAS,3.0266549138371974e-07,RWA,2015
49,COD,Growing maize industry,XAS,0.0003201023682214978,RWA,2015
50,COD,Growing cereals n.e.c industry,XAS,1.1239254248151892e-07,RWA,2015
51,COD,Growing leguminous crops and oil seeds industry,XAS,3.936236039419166e-05,RWA,2015
52,COD,Growing rice industry,XAS,3.430559345755135e-05,RWA,2015
53,COD,"Growing vegetables, roots, tubers industry",XAS,0.0004967574524835194,RWA,2015
54,COD,Growing sugar beet and cane industry,XAS,1.6745167092323745e-05,RWA,2015
55,COD,Growing tobacco industry,XAS,1.5754964559643824e-07,RWA,2015
56,COD,Growing fibre crops industry,XAS,4.4469426840556224e-05,RWA,2015
57,COD,Growing crops n.e.c. industry,XAS,1.1737666138823593e-06,RWA,2015
58,COD,Growing grapes industry,XAS,0.0,RWA,2015
59,COD,Growing fruits and nuts industry,XAS,0.0003494957539060366,RWA,2015
60,COD,"Growing beverage crops (coffee, tea etc) industry",XAS,4.191540801442906e-05,RWA,2015
61,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAS,1.1344588089445762e-08,RWA,2015
62,COD,Seeds and plant propagation industry,XAS,0.0,RWA,2015
63,COD,Raising of cattle industry,XAS,3.344710975732241e-05,RWA,2015
64,COD,Growing wheat industry,AFG,1.637092818834417e-07,RWA,2015
65,COD,Growing maize industry,AFG,0.00019209463523643167,RWA,2015
66,COD,Growing cereals n.e.c industry,AFG,5.765380155431432e-08,RWA,2015
67,COD,Growing leguminous crops and oil seeds industry,AFG,2.1354928424275555e-05,RWA,2015
68,COD,Growing rice industry,AFG,1.898351166834425e-05,RWA,2015
69,COD,"Growing vegetables, roots, tubers industry",AFG,0.0002535508496522289,RWA,2015
70,COD,Growing sugar beet and cane industry,AFG,9.025135684196916e-06,RWA,2015
