,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,COD,Growing wheat industry,XAM,1.2491592048303658e-07,SAU,2015
1,COD,Growing maize industry,XAM,6.6045663601484105e-06,SAU,2015
2,COD,Growing cereals n.e.c industry,XAM,2.0046263128585234e-09,SAU,2015
3,COD,Growing leguminous crops and oil seeds industry,XAM,5.341596413205431e-07,SAU,2015
4,COD,Growing rice industry,XAM,1.26845155003857e-06,SAU,2015
5,COD,"Growing vegetables, roots, tubers industry",XAM,1.1580531851710196e-06,SAU,2015
6,COD,Growing sugar beet and cane industry,XAM,4.2096012484527594e-07,SAU,2015
7,COD,Growing tobacco industry,XAM,1.2973593549141889e-08,SAU,2015
8,COD,Growing fibre crops industry,XAM,1.5531597630390847e-06,SAU,2015
9,COD,Growing crops n.e.c. industry,XAM,8.409745576002796e-07,SAU,2015
10,COD,Growing grapes industry,XAM,0.0,SAU,2015
11,COD,Growing fruits and nuts industry,XAM,1.0514671848505446e-05,SAU,2015
12,COD,"Growing beverage crops (coffee, tea etc) industry",XAM,9.56864728995444e-07,SAU,2015
13,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,6.221620285355654e-10,SAU,2015
14,COD,Seeds and plant propagation industry,XAM,0.0,SAU,2015
15,COD,Raising of cattle industry,XAM,1.0051227532503878e-05,SAU,2015
16,COD,Growing wheat industry,XEU,2.296935780388423e-08,SAU,2015
17,COD,Growing maize industry,XEU,1.5177654573896138e-06,SAU,2015
18,COD,Growing cereals n.e.c industry,XEU,4.436524808341422e-10,SAU,2015
19,COD,Growing leguminous crops and oil seeds industry,XEU,1.1613129626695945e-07,SAU,2015
20,COD,Growing rice industry,XEU,2.2629930436784666e-07,SAU,2015
21,COD,"Growing vegetables, roots, tubers industry",XEU,1.8886033194935367e-07,SAU,2015
22,COD,Growing sugar beet and cane industry,XEU,8.511866504734223e-08,SAU,2015
23,COD,Growing tobacco industry,XEU,2.479380932175499e-09,SAU,2015
24,COD,Growing fibre crops industry,XEU,3.8791768341063983e-07,SAU,2015
25,COD,Growing crops n.e.c. industry,XEU,1.7404346896918666e-07,SAU,2015
26,COD,Growing grapes industry,XEU,0.0,SAU,2015
27,COD,Growing fruits and nuts industry,XEU,2.257527900695092e-06,SAU,2015
28,COD,"Growing beverage crops (coffee, tea etc) industry",XEU,1.2465967549310475e-07,SAU,2015
29,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,1.121491808733101e-10,SAU,2015
30,COD,Seeds and plant propagation industry,XEU,0.0,SAU,2015
31,COD,Raising of cattle industry,XEU,1.7508314515593563e-06,SAU,2015
