,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,COD,Growing wheat industry,XAM,8.478092049137824e-08,ARM,2016
1,COD,Growing maize industry,XAM,1.8488180459627765e-06,ARM,2016
2,COD,Growing cereals n.e.c industry,XAM,1.890822766838651e-09,ARM,2016
3,COD,Growing leguminous crops and oil seeds industry,XAM,2.461450539515473e-07,ARM,2016
4,COD,Growing rice industry,XAM,5.939995185002534e-07,ARM,2016
5,COD,"Growing vegetables, roots, tubers industry",XAM,2.5373140748845208e-06,ARM,2016
6,COD,Growing sugar beet and cane industry,XAM,1.3027712734469258e-06,ARM,2016
7,COD,Growing tobacco industry,XAM,3.0137365149865875e-09,ARM,2016
8,COD,Growing fibre crops industry,XAM,1.8730544135773783e-07,ARM,2016
9,COD,Growing crops n.e.c. industry,XAM,3.057347141487623e-07,ARM,2016
10,COD,Growing grapes industry,XAM,0.0,ARM,2016
11,COD,Growing fruits and nuts industry,XAM,6.005508514270631e-07,ARM,2016
12,COD,"Growing beverage crops (coffee, tea etc) industry",XAM,3.260093822815716e-06,ARM,2016
13,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,1.2564705226153188e-09,ARM,2016
14,COD,Seeds and plant propagation industry,XAM,0.0,ARM,2016
15,COD,Raising of cattle industry,XAM,4.902383364183822e-06,ARM,2016
16,COD,Growing wheat industry,XEU,1.8083646020400045e-08,ARM,2016
17,COD,Growing maize industry,XEU,3.2933879143201705e-07,ARM,2016
18,COD,Growing cereals n.e.c industry,XEU,3.0545860385280046e-10,ARM,2016
19,COD,Growing leguminous crops and oil seeds industry,XEU,5.2937090921041546e-08,ARM,2016
20,COD,Growing rice industry,XEU,1.3228738397199364e-07,ARM,2016
21,COD,"Growing vegetables, roots, tubers industry",XEU,4.5456519201928493e-07,ARM,2016
22,COD,Growing sugar beet and cane industry,XEU,2.0952403731360454e-07,ARM,2016
23,COD,Growing tobacco industry,XEU,5.249300481618802e-10,ARM,2016
24,COD,Growing fibre crops industry,XEU,3.717037938393579e-08,ARM,2016
25,COD,Growing crops n.e.c. industry,XEU,6.362589853529548e-08,ARM,2016
26,COD,Growing grapes industry,XEU,0.0,ARM,2016
27,COD,Growing fruits and nuts industry,XEU,1.0340883051917326e-07,ARM,2016
28,COD,"Growing beverage crops (coffee, tea etc) industry",XEU,4.962698117470863e-07,ARM,2016
29,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,2.2153472557549172e-10,ARM,2016
30,COD,Seeds and plant propagation industry,XEU,0.0,ARM,2016
31,COD,Raising of cattle industry,XEU,1.142955992201835e-06,ARM,2016
32,COD,Growing wheat industry,XAF,5.541628104581227e-08,ARM,2016
33,COD,Growing maize industry,XAF,9.187242862056962e-07,ARM,2016
34,COD,Growing cereals n.e.c industry,XAF,8.087045608961998e-10,ARM,2016
35,COD,Growing leguminous crops and oil seeds industry,XAF,2.1372786500192216e-07,ARM,2016
36,COD,Growing rice industry,XAF,4.338248708368352e-07,ARM,2016
37,COD,"Growing vegetables, roots, tubers industry",XAF,8.738143013426407e-07,ARM,2016
38,COD,Growing sugar beet and cane industry,XAF,1.4895641390141636e-06,ARM,2016
39,COD,Growing tobacco industry,XAF,1.7235674525613857e-09,ARM,2016
40,COD,Growing fibre crops industry,XAF,9.640218713876391e-08,ARM,2016
41,COD,Growing crops n.e.c. industry,XAF,2.045535142661125e-07,ARM,2016
42,COD,Growing grapes industry,XAF,0.0,ARM,2016
43,COD,Growing fruits and nuts industry,XAF,3.330815205592942e-07,ARM,2016
44,COD,"Growing beverage crops (coffee, tea etc) industry",XAF,4.451533438611544e-06,ARM,2016
45,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAF,5.471850386481194e-10,ARM,2016
46,COD,Seeds and plant propagation industry,XAF,0.0,ARM,2016
47,COD,Raising of cattle industry,XAF,3.3625164283642897e-06,ARM,2016
48,COD,Growing wheat industry,XAS,3.947907230028295e-08,ARM,2016
49,COD,Growing maize industry,XAS,5.579345591435288e-07,ARM,2016
50,COD,Growing cereals n.e.c industry,XAS,5.906861032404561e-10,ARM,2016
51,COD,Growing leguminous crops and oil seeds industry,XAS,9.882440085688809e-08,ARM,2016
52,COD,Growing rice industry,XAS,3.2235506186821683e-07,ARM,2016
53,COD,"Growing vegetables, roots, tubers industry",XAS,5.913759911419567e-07,ARM,2016
54,COD,Growing sugar beet and cane industry,XAS,4.997023407455062e-07,ARM,2016
55,COD,Growing tobacco industry,XAS,1.0639250889461286e-09,ARM,2016
56,COD,Growing fibre crops industry,XAS,6.831177509160833e-08,ARM,2016
57,COD,Growing crops n.e.c. industry,XAS,1.475521444647002e-07,ARM,2016
58,COD,Growing grapes industry,XAS,0.0,ARM,2016
59,COD,Growing fruits and nuts industry,XAS,1.5554309791073143e-07,ARM,2016
60,COD,"Growing beverage crops (coffee, tea etc) industry",XAS,1.2934362298685387e-06,ARM,2016
61,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAS,3.115933188624165e-10,ARM,2016
62,COD,Seeds and plant propagation industry,XAS,0.0,ARM,2016
63,COD,Raising of cattle industry,XAS,2.6375297145236317e-06,ARM,2016
64,COD,Growing wheat industry,AFG,1.196473423028917e-07,ARM,2016
65,COD,Growing maize industry,AFG,2.396502812818803e-06,ARM,2016
66,COD,Growing cereals n.e.c industry,AFG,1.6694903465449467e-09,ARM,2016
67,COD,Growing leguminous crops and oil seeds industry,AFG,4.781374060682671e-07,ARM,2016
68,COD,Growing rice industry,AFG,8.755035294928865e-07,ARM,2016
69,COD,"Growing vegetables, roots, tubers industry",AFG,4.063476233942318e-06,ARM,2016
70,COD,Growing sugar beet and cane industry,AFG,2.64372419494262e-06,ARM,2016
71,COD,Growing tobacco industry,AFG,3.163964238230488e-09,ARM,2016
72,COD,Growing fibre crops industry,AFG,1.9310681866012196e-07,ARM,2016
73,COD,Growing crops n.e.c. industry,AFG,4.2009658851129754e-07,ARM,2016
74,COD,Growing grapes industry,AFG,0.0,ARM,2016
75,COD,Growing fruits and nuts industry,AFG,8.431507647494558e-07,ARM,2016
76,COD,"Growing beverage crops (coffee, tea etc) industry",AFG,7.1138342287115505e-06,ARM,2016
77,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",AFG,1.9810793692971436e-09,ARM,2016
78,COD,Seeds and plant propagation industry,AFG,0.0,ARM,2016
79,COD,Raising of cattle industry,AFG,6.158771804937803e-06,ARM,2016
80,COD,Growing wheat industry,AGO,1.3672183747835197e-07,ARM,2016
81,COD,Growing maize industry,AGO,1.9724036780720075e-06,ARM,2016
82,COD,Growing cereals n.e.c industry,AGO,2.043983439321633e-09,ARM,2016
83,COD,Growing leguminous crops and oil seeds industry,AGO,3.392150603327192e-07,ARM,2016
84,COD,Growing rice industry,AGO,1.0814363928178925e-06,ARM,2016
85,COD,"Growing vegetables, roots, tubers industry",AGO,1.7854105262018415e-06,ARM,2016
86,COD,Growing sugar beet and cane industry,AGO,1.7913921028180484e-06,ARM,2016
87,COD,Growing tobacco industry,AGO,3.554838697995812e-09,ARM,2016
88,COD,Growing fibre crops industry,AGO,2.376360702389603e-07,ARM,2016
89,COD,Growing crops n.e.c. industry,AGO,5.282528052771076e-07,ARM,2016
90,COD,Growing grapes industry,AGO,0.0,ARM,2016
91,COD,Growing fruits and nuts industry,AGO,5.13054647686232e-07,ARM,2016
92,COD,"Growing beverage crops (coffee, tea etc) industry",AGO,4.855453974147655e-06,ARM,2016
93,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",AGO,9.906327739566421e-10,ARM,2016
94,COD,Seeds and plant propagation industry,AGO,0.0,ARM,2016
95,COD,Raising of cattle industry,AGO,9.177414236917585e-06,ARM,2016
96,COD,Growing wheat industry,ALB,2.7165252110693236e-08,ARM,2016
97,COD,Growing maize industry,ALB,3.799066436680083e-07,ARM,2016
98,COD,Growing cereals n.e.c industry,ALB,3.7865776480276197e-10,ARM,2016
99,COD,Growing leguminous crops and oil seeds industry,ALB,7.774904236826407e-08,ARM,2016
100,COD,Growing rice industry,ALB,2.184542715251402e-07,ARM,2016
101,COD,"Growing vegetables, roots, tubers industry",ALB,4.183815241106002e-07,ARM,2016
102,COD,Growing sugar beet and cane industry,ALB,4.221316631632185e-07,ARM,2016
103,COD,Growing tobacco industry,ALB,6.823072171799913e-10,ARM,2016
104,COD,Growing fibre crops industry,ALB,4.081344119832274e-08,ARM,2016
105,COD,Growing crops n.e.c. industry,ALB,1.0057327002192102e-07,ARM,2016
106,COD,Growing grapes industry,ALB,0.0,ARM,2016
107,COD,Growing fruits and nuts industry,ALB,1.101268061774132e-07,ARM,2016
108,COD,"Growing beverage crops (coffee, tea etc) industry",ALB,1.1996962953717961e-06,ARM,2016
109,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",ALB,2.2699906161688226e-10,ARM,2016
110,COD,Seeds and plant propagation industry,ALB,0.0,ARM,2016
111,COD,Raising of cattle industry,ALB,1.739587565267268e-06,ARM,2016
112,COD,Growing wheat industry,ARE,1.2467358231493113e-06,ARM,2016
113,COD,Growing maize industry,ARE,2.3354939862269893e-05,ARM,2016
114,COD,Growing cereals n.e.c industry,ARE,2.12037738398337e-08,ARM,2016
115,COD,Growing leguminous crops and oil seeds industry,ARE,4.0215503824577e-06,ARM,2016
116,COD,Growing rice industry,ARE,1.31506994551066e-05,ARM,2016
117,COD,"Growing vegetables, roots, tubers industry",ARE,3.224246018681729e-05,ARM,2016
118,COD,Growing sugar beet and cane industry,ARE,2.387754517478898e-05,ARM,2016
