,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,COD,Growing wheat industry,XAM,1.4425997472738929e-07,BFA,2016
1,COD,Growing maize industry,XAM,2.1409150029287717e-06,BFA,2016
2,COD,Growing cereals n.e.c industry,XAM,1.8864688452425245e-09,BFA,2016
3,COD,Growing leguminous crops and oil seeds industry,XAM,1.789498392582037e-07,BFA,2016
4,COD,Growing rice industry,XAM,1.0423463421099613e-06,BFA,2016
5,COD,"Growing vegetables, roots, tubers industry",XAM,4.661241595640863e-07,BFA,2016
6,COD,Growing sugar beet and cane industry,XAM,5.010990608759889e-07,BFA,2016
7,COD,Growing tobacco industry,XAM,3.218117097236611e-09,BFA,2016
8,COD,Growing fibre crops industry,XAM,3.7715750143444194e-07,BFA,2016
9,COD,Growing crops n.e.c. industry,XAM,5.635213565936583e-07,BFA,2016
10,COD,Growing grapes industry,XAM,0.0,BFA,2016
11,COD,Growing fruits and nuts industry,XAM,1.8925883808172757e-07,BFA,2016
12,COD,"Growing beverage crops (coffee, tea etc) industry",XAM,1.1981742524349974e-07,BFA,2016
13,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,1.1449973690183061e-09,BFA,2016
14,COD,Seeds and plant propagation industry,XAM,0.0,BFA,2016
15,COD,Raising of cattle industry,XAM,9.79435603625013e-06,BFA,2016
16,COD,Growing wheat industry,XEU,2.6171854660656808e-08,BFA,2016
17,COD,Growing maize industry,XEU,4.2025268190669303e-07,BFA,2016
18,COD,Growing cereals n.e.c industry,XEU,3.448722332930269e-10,BFA,2016
19,COD,Growing leguminous crops and oil seeds industry,XEU,3.246265539443653e-08,BFA,2016
20,COD,Growing rice industry,XEU,1.9099515443220761e-07,BFA,2016
21,COD,"Growing vegetables, roots, tubers industry",XEU,8.907045626715429e-08,BFA,2016
22,COD,Growing sugar beet and cane industry,XEU,1.0268375161629264e-07,BFA,2016
23,COD,Growing tobacco industry,XEU,5.57591100214225e-10,BFA,2016
24,COD,Growing fibre crops industry,XEU,6.542380510085581e-08,BFA,2016
25,COD,Growing crops n.e.c. industry,XEU,1.0230795041036372e-07,BFA,2016
26,COD,Growing grapes industry,XEU,0.0,BFA,2016
27,COD,Growing fruits and nuts industry,XEU,3.2840576282211545e-08,BFA,2016
28,COD,"Growing beverage crops (coffee, tea etc) industry",XEU,2.3198413329110807e-08,BFA,2016
29,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,2.256153204120641e-10,BFA,2016
30,COD,Seeds and plant propagation industry,XEU,0.0,BFA,2016
31,COD,Raising of cattle industry,XEU,1.7875883253987055e-06,BFA,2016
32,COD,Growing wheat industry,XAF,1.264507087134813e-07,BFA,2016
33,COD,Growing maize industry,XAF,3.0358247868202664e-06,BFA,2016
34,COD,Growing cereals n.e.c industry,XAF,1.6438255140306637e-09,BFA,2016
35,COD,Growing leguminous crops and oil seeds industry,XAF,1.6031483207477172e-07,BFA,2016
36,COD,Growing rice industry,XAF,8.627793396286189e-07,BFA,2016
37,COD,"Growing vegetables, roots, tubers industry",XAF,6.010411283487128e-07,BFA,2016
38,COD,Growing sugar beet and cane industry,XAF,6.696225175259647e-07,BFA,2016
39,COD,Growing tobacco industry,XAF,2.8520648193918863e-09,BFA,2016
40,COD,Growing fibre crops industry,XAF,4.3845155020331445e-07,BFA,2016
41,COD,Growing crops n.e.c. industry,XAF,4.7627260147243355e-07,BFA,2016
42,COD,Growing grapes industry,XAF,0.0,BFA,2016
43,COD,Growing fruits and nuts industry,XAF,2.3007554413573763e-07,BFA,2016
44,COD,"Growing beverage crops (coffee, tea etc) industry",XAF,1.5849165521167023e-07,BFA,2016
45,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAF,1.6754716508157485e-09,BFA,2016
46,COD,Seeds and plant propagation industry,XAF,0.0,BFA,2016
47,COD,Raising of cattle industry,XAF,8.212997852930466e-06,BFA,2016
48,COD,Growing wheat industry,XAS,4.681078549065151e-08,BFA,2016
49,COD,Growing maize industry,XAS,1.5565058648508727e-06,BFA,2016
50,COD,Growing cereals n.e.c industry,XAS,6.240646968981751e-10,BFA,2016
51,COD,Growing leguminous crops and oil seeds industry,XAS,6.452309577308877e-08,BFA,2016
52,COD,Growing rice industry,XAS,2.953365358810395e-07,BFA,2016
53,COD,"Growing vegetables, roots, tubers industry",XAS,3.0956187844685674e-07,BFA,2016
54,COD,Growing sugar beet and cane industry,XAS,3.932623930122303e-07,BFA,2016
55,COD,Growing tobacco industry,XAS,1.2730744112773615e-09,BFA,2016
56,COD,Growing fibre crops industry,XAS,2.0264693304714985e-07,BFA,2016
57,COD,Growing crops n.e.c. industry,XAS,1.7668896032816808e-07,BFA,2016
58,COD,Growing grapes industry,XAS,0.0,BFA,2016
59,COD,Growing fruits and nuts industry,XAS,1.1705728441202513e-07,BFA,2016
