,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,COD,Growing wheat industry,XAM,2.5602716823056686e-06,CHE,2016
1,COD,Growing maize industry,XAM,0.0006032816711379013,CHE,2016
2,COD,Growing cereals n.e.c industry,XAM,2.5622345665502465e-07,CHE,2016
3,COD,Growing leguminous crops and oil seeds industry,XAM,6.345703050996403e-05,CHE,2016
4,COD,Growing rice industry,XAM,7.169005509789623e-06,CHE,2016
5,COD,"Growing vegetables, roots, tubers industry",XAM,0.0001482251819612116,CHE,2016
6,COD,Growing sugar beet and cane industry,XAM,1.2201701728726729e-05,CHE,2016
7,COD,Growing tobacco industry,XAM,1.0189391463002224e-06,CHE,2016
8,COD,Growing fibre crops industry,XAM,7.81529722559718e-05,CHE,2016
9,COD,Growing crops n.e.c. industry,XAM,1.0551536128336671e-05,CHE,2016
10,COD,Growing grapes industry,XAM,0.0,CHE,2016
11,COD,Growing fruits and nuts industry,XAM,9.697706485715016e-05,CHE,2016
12,COD,"Growing beverage crops (coffee, tea etc) industry",XAM,4.615168882821809e-05,CHE,2016
13,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,8.257781895949989e-08,CHE,2016
14,COD,Seeds and plant propagation industry,XAM,0.0,CHE,2016
15,COD,Raising of cattle industry,XAM,6.949213830343537e-05,CHE,2016
16,COD,Growing wheat industry,XEU,4.871385596512438e-07,CHE,2016
17,COD,Growing maize industry,XEU,0.00013981635602816156,CHE,2016
18,COD,Growing cereals n.e.c industry,XEU,4.2604389151311786e-08,CHE,2016
19,COD,Growing leguminous crops and oil seeds industry,XEU,2.0343459085751183e-05,CHE,2016
20,COD,Growing rice industry,XEU,1.418027754073852e-06,CHE,2016
21,COD,"Growing vegetables, roots, tubers industry",XEU,4.220914133210788e-05,CHE,2016
22,COD,Growing sugar beet and cane industry,XEU,1.9257049473393446e-06,CHE,2016
23,COD,Growing tobacco industry,XEU,4.82120433102403e-07,CHE,2016
24,COD,Growing fibre crops industry,XEU,2.4328118359932557e-05,CHE,2016
25,COD,Growing crops n.e.c. industry,XEU,1.5546571187086813e-06,CHE,2016
26,COD,Growing grapes industry,XEU,0.0,CHE,2016
27,COD,Growing fruits and nuts industry,XEU,1.731111349748358e-05,CHE,2016
28,COD,"Growing beverage crops (coffee, tea etc) industry",XEU,1.3458668554922273e-05,CHE,2016
29,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,2.0441031786485415e-08,CHE,2016
30,COD,Seeds and plant propagation industry,XEU,0.0,CHE,2016
31,COD,Raising of cattle industry,XEU,1.5776026921867492e-05,CHE,2016
32,COD,Growing wheat industry,XAF,1.5790409565346709e-06,CHE,2016
33,COD,Growing maize industry,XAF,0.0005386054927209608,CHE,2016
34,COD,Growing cereals n.e.c industry,XAF,1.3086557087948487e-07,CHE,2016
35,COD,Growing leguminous crops and oil seeds industry,XAF,4.009458508060927e-05,CHE,2016
36,COD,Growing rice industry,XAF,5.068494107489392e-06,CHE,2016
37,COD,"Growing vegetables, roots, tubers industry",XAF,0.00011977672806154259,CHE,2016
38,COD,Growing sugar beet and cane industry,XAF,6.782409946272701e-06,CHE,2016
39,COD,Growing tobacco industry,XAF,8.218273003590883e-07,CHE,2016
40,COD,Growing fibre crops industry,XAF,4.22006263144418e-05,CHE,2016
41,COD,Growing crops n.e.c. industry,XAF,5.307449728324173e-06,CHE,2016
42,COD,Growing grapes industry,XAF,0.0,CHE,2016
43,COD,Growing fruits and nuts industry,XAF,5.306663803882885e-05,CHE,2016
44,COD,"Growing beverage crops (coffee, tea etc) industry",XAF,3.982796275572512e-05,CHE,2016
45,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAF,5.501258665931517e-08,CHE,2016
46,COD,Seeds and plant propagation industry,XAF,0.0,CHE,2016
