,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,COD,Growing wheat industry,XAM,1.123673850248915e-06,CRI,2016
1,COD,Growing maize industry,XAM,5.105175265166806e-05,CRI,2016
2,COD,Growing cereals n.e.c industry,XAM,1.65880088818523e-08,CRI,2016
3,COD,Growing leguminous crops and oil seeds industry,XAM,2.5226288551531634e-06,CRI,2016
4,COD,Growing rice industry,XAM,4.96375698134429e-06,CRI,2016
5,COD,"Growing vegetables, roots, tubers industry",XAM,8.003449111381012e-06,CRI,2016
6,COD,Growing sugar beet and cane industry,XAM,5.378657735346416e-06,CRI,2016
7,COD,Growing tobacco industry,XAM,3.962915272183286e-08,CRI,2016
8,COD,Growing fibre crops industry,XAM,6.4369380834879404e-06,CRI,2016
9,COD,Growing crops n.e.c. industry,XAM,4.725562359184109e-06,CRI,2016
10,COD,Growing grapes industry,XAM,0.0,CRI,2016
11,COD,Growing fruits and nuts industry,XAM,1.063859391054528e-05,CRI,2016
12,COD,"Growing beverage crops (coffee, tea etc) industry",XAM,1.952844167358929e-06,CRI,2016
13,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,4.7099824774877484e-09,CRI,2016
14,COD,Seeds and plant propagation industry,XAM,0.0,CRI,2016
15,COD,Raising of cattle industry,XAM,7.984929405973079e-05,CRI,2016
16,COD,Growing wheat industry,XEU,5.770766526852791e-08,CRI,2016
17,COD,Growing maize industry,XEU,2.357751113683062e-06,CRI,2016
18,COD,Growing cereals n.e.c industry,XEU,8.595646394208036e-10,CRI,2016
19,COD,Growing leguminous crops and oil seeds industry,XEU,1.4292712973816805e-07,CRI,2016
20,COD,Growing rice industry,XEU,2.801607828138356e-07,CRI,2016
21,COD,"Growing vegetables, roots, tubers industry",XEU,5.449077774499215e-07,CRI,2016
22,COD,Growing sugar beet and cane industry,XEU,2.130567656193547e-07,CRI,2016
23,COD,Growing tobacco industry,XEU,2.613681645624276e-09,CRI,2016
24,COD,Growing fibre crops industry,XEU,3.650070002699885e-07,CRI,2016
25,COD,Growing crops n.e.c. industry,XEU,2.445452086893278e-07,CRI,2016
26,COD,Growing grapes industry,XEU,0.0,CRI,2016
27,COD,Growing fruits and nuts industry,XEU,5.086318641266834e-07,CRI,2016
