,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,COD,Growing wheat industry,XAM,1.92226835075889e-07,EGY,2016
1,COD,Growing maize industry,XAM,8.137425500109836e-06,EGY,2016
2,COD,Growing cereals n.e.c industry,XAM,2.886372148055515e-09,EGY,2016
3,COD,Growing leguminous crops and oil seeds industry,XAM,7.024186915496515e-07,EGY,2016
4,COD,Growing rice industry,XAM,1.068588303434311e-06,EGY,2016
5,COD,"Growing vegetables, roots, tubers industry",XAM,5.8898369154038824e-05,EGY,2016
6,COD,Growing sugar beet and cane industry,XAM,1.0775828136883577e-06,EGY,2016
7,COD,Growing tobacco industry,XAM,2.134760164033788e-06,EGY,2016
8,COD,Growing fibre crops industry,XAM,1.2593976367742803e-06,EGY,2016
9,COD,Growing crops n.e.c. industry,XAM,1.3332979468937396e-06,EGY,2016
10,COD,Growing grapes industry,XAM,0.0,EGY,2016
11,COD,Growing fruits and nuts industry,XAM,8.25014944465415e-06,EGY,2016
12,COD,"Growing beverage crops (coffee, tea etc) industry",XAM,7.826641220633227e-06,EGY,2016
13,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,2.7461915177112254e-08,EGY,2016
14,COD,Seeds and plant propagation industry,XAM,0.0,EGY,2016
15,COD,Raising of cattle industry,XAM,1.6691101464041555e-05,EGY,2016
16,COD,Growing wheat industry,XEU,5.083191773887694e-08,EGY,2016
17,COD,Growing maize industry,XEU,2.5125266748057567e-06,EGY,2016
18,COD,Growing cereals n.e.c industry,XEU,8.954428510480716e-10,EGY,2016
19,COD,Growing leguminous crops and oil seeds industry,XEU,2.1919865192384622e-07,EGY,2016
20,COD,Growing rice industry,XEU,2.626743888076254e-07,EGY,2016
21,COD,"Growing vegetables, roots, tubers industry",XEU,2.0828725141207403e-05,EGY,2016
22,COD,Growing sugar beet and cane industry,XEU,2.9026481435319056e-07,EGY,2016
23,COD,Growing tobacco industry,XEU,4.317666112178428e-07,EGY,2016
24,COD,Growing fibre crops industry,XEU,3.7329206743417057e-07,EGY,2016
25,COD,Growing crops n.e.c. industry,XEU,3.618108931549e-07,EGY,2016
26,COD,Growing grapes industry,XEU,0.0,EGY,2016
27,COD,Growing fruits and nuts industry,XEU,2.7802468879333443e-06,EGY,2016
28,COD,"Growing beverage crops (coffee, tea etc) industry",XEU,2.6493647177831165e-06,EGY,2016
29,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,9.681527261158719e-09,EGY,2016
30,COD,Seeds and plant propagation industry,XEU,0.0,EGY,2016
31,COD,Raising of cattle industry,XEU,4.895386691164778e-06,EGY,2016
32,COD,Growing wheat industry,XAF,3.369527823196814e-07,EGY,2016
33,COD,Growing maize industry,XAF,1.9211751057666766e-05,EGY,2016
34,COD,Growing cereals n.e.c industry,XAF,5.525716268593757e-09,EGY,2016
35,COD,Growing leguminous crops and oil seeds industry,XAF,1.331085108865103e-06,EGY,2016
36,COD,Growing rice industry,XAF,1.6954659531729577e-06,EGY,2016
37,COD,"Growing vegetables, roots, tubers industry",XAF,6.938311070712758e-05,EGY,2016
38,COD,Growing sugar beet and cane industry,XAF,2.0979385475029767e-06,EGY,2016
39,COD,Growing tobacco industry,XAF,1.962466308707922e-06,EGY,2016
40,COD,Growing fibre crops industry,XAF,3.007781291800254e-06,EGY,2016
41,COD,Growing crops n.e.c. industry,XAF,2.253759644016865e-06,EGY,2016
42,COD,Growing grapes industry,XAF,0.0,EGY,2016
43,COD,Growing fruits and nuts industry,XAF,1.1606711546149586e-05,EGY,2016
44,COD,"Growing beverage crops (coffee, tea etc) industry",XAF,9.760642235512697e-06,EGY,2016
45,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAF,3.3337825695024717e-08,EGY,2016
46,COD,Seeds and plant propagation industry,XAF,0.0,EGY,2016
47,COD,Raising of cattle industry,XAF,2.3452980615989718e-05,EGY,2016
48,COD,Growing wheat industry,XAS,9.73771149554043e-08,EGY,2016
49,COD,Growing maize industry,XAS,6.522012707463605e-06,EGY,2016
50,COD,Growing cereals n.e.c industry,XAS,1.7466333733305204e-09,EGY,2016
51,COD,Growing leguminous crops and oil seeds industry,XAS,3.5441634943259726e-07,EGY,2016
52,COD,Growing rice industry,XAS,4.483999135455516e-07,EGY,2016
53,COD,"Growing vegetables, roots, tubers industry",XAS,2.0709607727132108e-05,EGY,2016
54,COD,Growing sugar beet and cane industry,XAS,8.243687014857126e-07,EGY,2016
55,COD,Growing tobacco industry,XAS,7.186427238719142e-07,EGY,2016
56,COD,Growing fibre crops industry,XAS,1.0988666553792605e-06,EGY,2016
57,COD,Growing crops n.e.c. industry,XAS,9.735057457936771e-07,EGY,2016
58,COD,Growing grapes industry,XAS,0.0,EGY,2016
59,COD,Growing fruits and nuts industry,XAS,3.5626035295063203e-06,EGY,2016
60,COD,"Growing beverage crops (coffee, tea etc) industry",XAS,2.8049409804812515e-06,EGY,2016
61,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAS,9.85019731641737e-09,EGY,2016
62,COD,Seeds and plant propagation industry,XAS,0.0,EGY,2016
63,COD,Raising of cattle industry,XAS,6.585243679657497e-06,EGY,2016
64,COD,Growing wheat industry,AFG,6.488728071343096e-08,EGY,2016
65,COD,Growing maize industry,AFG,4.545248180926631e-06,EGY,2016
66,COD,Growing cereals n.e.c industry,AFG,1.1805038529347297e-09,EGY,2016
67,COD,Growing leguminous crops and oil seeds industry,AFG,2.631409233935535e-07,EGY,2016
68,COD,Growing rice industry,AFG,2.7452913635759936e-07,EGY,2016
69,COD,"Growing vegetables, roots, tubers industry",AFG,1.1331722152406342e-05,EGY,2016
70,COD,Growing sugar beet and cane industry,AFG,5.350909268840881e-07,EGY,2016
71,COD,Growing tobacco industry,AFG,3.145553843205326e-07,EGY,2016
72,COD,Growing fibre crops industry,AFG,7.133868340129961e-07,EGY,2016
73,COD,Growing crops n.e.c. industry,AFG,5.895903982364647e-07,EGY,2016
74,COD,Growing grapes industry,AFG,0.0,EGY,2016
75,COD,Growing fruits and nuts industry,AFG,2.484583205305853e-06,EGY,2016
76,COD,"Growing beverage crops (coffee, tea etc) industry",AFG,1.725315810187846e-06,EGY,2016
77,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",AFG,5.472689611683408e-09,EGY,2016
78,COD,Seeds and plant propagation industry,AFG,0.0,EGY,2016
79,COD,Raising of cattle industry,AFG,3.9771805228143155e-06,EGY,2016
80,COD,Growing wheat industry,AGO,1.6202159294813547e-06,EGY,2016
81,COD,Growing maize industry,AGO,8.120123695349323e-05,EGY,2016
82,COD,Growing cereals n.e.c industry,AGO,2.368231375209552e-08,EGY,2016
83,COD,Growing leguminous crops and oil seeds industry,AGO,4.8620336298246375e-06,EGY,2016
84,COD,Growing rice industry,AGO,9.025280720083688e-06,EGY,2016
85,COD,"Growing vegetables, roots, tubers industry",AGO,0.00013444464173664524,EGY,2016
86,COD,Growing sugar beet and cane industry,AGO,1.176955836069725e-05,EGY,2016
87,COD,Growing tobacco industry,AGO,4.122304170730512e-06,EGY,2016
88,COD,Growing fibre crops industry,AGO,1.143915304058949e-05,EGY,2016
89,COD,Growing crops n.e.c. industry,AGO,1.453374161669843e-05,EGY,2016
90,COD,Growing grapes industry,AGO,0.0,EGY,2016
91,COD,Growing fruits and nuts industry,AGO,3.201422430984917e-05,EGY,2016
92,COD,"Growing beverage crops (coffee, tea etc) industry",AGO,2.1076741365029645e-05,EGY,2016
