,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,COD,Growing wheat industry,XAM,2.4985549318076747e-07,GEO,2016
1,COD,Growing maize industry,XAM,3.464656850142901e-06,GEO,2016
2,COD,Growing cereals n.e.c industry,XAM,3.368039870710238e-09,GEO,2016
3,COD,Growing leguminous crops and oil seeds industry,XAM,4.1194884134455856e-07,GEO,2016
4,COD,Growing rice industry,XAM,1.875016385778646e-06,GEO,2016
5,COD,"Growing vegetables, roots, tubers industry",XAM,1.9478391099652776e-06,GEO,2016
6,COD,Growing sugar beet and cane industry,XAM,1.2835994197762845e-06,GEO,2016
7,COD,Growing tobacco industry,XAM,1.6074726048787167e-08,GEO,2016
8,COD,Growing fibre crops industry,XAM,1.1393734447322628e-06,GEO,2016
9,COD,Growing crops n.e.c. industry,XAM,9.944845424614794e-07,GEO,2016
10,COD,Growing grapes industry,XAM,0.0,GEO,2016
11,COD,Growing fruits and nuts industry,XAM,1.4679764237011951e-06,GEO,2016
12,COD,"Growing beverage crops (coffee, tea etc) industry",XAM,2.4993352036845338e-06,GEO,2016
13,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,9.828971261993973e-10,GEO,2016
14,COD,Seeds and plant propagation industry,XAM,0.0,GEO,2016
15,COD,Raising of cattle industry,XAM,2.05855649016761e-05,GEO,2016
16,COD,Growing wheat industry,XEU,3.643083784029278e-08,GEO,2016
17,COD,Growing maize industry,XEU,5.385089181676401e-07,GEO,2016
18,COD,Growing cereals n.e.c industry,XEU,4.776945866790567e-10,GEO,2016
19,COD,Growing leguminous crops and oil seeds industry,XEU,5.99922077611653e-08,GEO,2016
20,COD,Growing rice industry,XEU,2.913008458550687e-07,GEO,2016
21,COD,"Growing vegetables, roots, tubers industry",XEU,3.174352560047845e-07,GEO,2016
22,COD,Growing sugar beet and cane industry,XEU,1.786792172269927e-07,GEO,2016
23,COD,Growing tobacco industry,XEU,2.7152712257734373e-09,GEO,2016
24,COD,Growing fibre crops industry,XEU,1.7713173411380228e-07,GEO,2016
25,COD,Growing crops n.e.c. industry,XEU,1.4386020527804293e-07,GEO,2016
26,COD,Growing grapes industry,XEU,0.0,GEO,2016
27,COD,Growing fruits and nuts industry,XEU,2.486534960053011e-07,GEO,2016
28,COD,"Growing beverage crops (coffee, tea etc) industry",XEU,3.6201790723055415e-07,GEO,2016
29,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,1.6132808836155127e-10,GEO,2016
30,COD,Seeds and plant propagation industry,XEU,0.0,GEO,2016
31,COD,Raising of cattle industry,XEU,3.4095626321258372e-06,GEO,2016
32,COD,Growing wheat industry,XAF,1.00198535691636e-07,GEO,2016
33,COD,Growing maize industry,XAF,2.4995775042001775e-06,GEO,2016
34,COD,Growing cereals n.e.c industry,XAF,1.4643638727185044e-09,GEO,2016
35,COD,Growing leguminous crops and oil seeds industry,XAF,3.0233498413946637e-07,GEO,2016
36,COD,Growing rice industry,XAF,7.130791033049332e-07,GEO,2016
37,COD,"Growing vegetables, roots, tubers industry",XAF,1.8513310366764813e-06,GEO,2016
38,COD,Growing sugar beet and cane industry,XAF,1.5182578878965498e-06,GEO,2016
39,COD,Growing tobacco industry,XAF,9.940121824729243e-09,GEO,2016
40,COD,Growing fibre crops industry,XAF,7.49431172117634e-07,GEO,2016
41,COD,Growing crops n.e.c. industry,XAF,4.142624762563012e-07,GEO,2016
42,COD,Growing grapes industry,XAF,0.0,GEO,2016
43,COD,Growing fruits and nuts industry,XAF,1.3704268581492826e-06,GEO,2016
44,COD,"Growing beverage crops (coffee, tea etc) industry",XAF,4.58378529252057e-06,GEO,2016
45,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAF,9.884760439210469e-10,GEO,2016
46,COD,Seeds and plant propagation industry,XAF,0.0,GEO,2016
47,COD,Raising of cattle industry,XAF,6.994254309267532e-06,GEO,2016
48,COD,Growing wheat industry,XAS,1.0094859176227455e-07,GEO,2016
49,COD,Growing maize industry,XAS,1.5802187807064914e-06,GEO,2016
50,COD,Growing cereals n.e.c industry,XAS,1.3722654453832379e-09,GEO,2016
51,COD,Growing leguminous crops and oil seeds industry,XAS,1.7241808151436727e-07,GEO,2016
52,COD,Growing rice industry,XAS,7.288188655848114e-07,GEO,2016
53,COD,"Growing vegetables, roots, tubers industry",XAS,8.166660398562246e-07,GEO,2016
54,COD,Growing sugar beet and cane industry,XAS,5.312039493317577e-07,GEO,2016
55,COD,Growing tobacco industry,XAS,7.406929308397504e-09,GEO,2016
56,COD,Growing fibre crops industry,XAS,5.754402633045119e-07,GEO,2016
57,COD,Growing crops n.e.c. industry,XAS,4.13100976913085e-07,GEO,2016
58,COD,Growing grapes industry,XAS,0.0,GEO,2016
59,COD,Growing fruits and nuts industry,XAS,6.300543212927019e-07,GEO,2016
60,COD,"Growing beverage crops (coffee, tea etc) industry",XAS,1.0635948439684468e-06,GEO,2016
61,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAS,4.333744556321467e-10,GEO,2016
62,COD,Seeds and plant propagation industry,XAS,0.0,GEO,2016
63,COD,Raising of cattle industry,XAS,8.351970858845518e-06,GEO,2016
64,COD,Growing wheat industry,AFG,1.3929806738733542e-07,GEO,2016
65,COD,Growing maize industry,AFG,4.1029067667083105e-06,GEO,2016
66,COD,Growing cereals n.e.c industry,AFG,2.304691884917498e-09,GEO,2016
