,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,COD,Growing wheat industry,XAM,1.2711910746023994e-05,JPN,2016
1,COD,Growing maize industry,XAM,0.0005670918761103422,JPN,2016
2,COD,Growing cereals n.e.c industry,XAM,1.1260704183984815e-07,JPN,2016
3,COD,Growing leguminous crops and oil seeds industry,XAM,3.093629449253651e-05,JPN,2016
4,COD,Growing rice industry,XAM,2.9057914868629028e-05,JPN,2016
5,COD,"Growing vegetables, roots, tubers industry",XAM,0.00013920849343234984,JPN,2016
6,COD,Growing sugar beet and cane industry,XAM,4.219540352677361e-05,JPN,2016
7,COD,Growing tobacco industry,XAM,1.97754775531162e-06,JPN,2016
8,COD,Growing fibre crops industry,XAM,0.00019932176080532174,JPN,2016
9,COD,Growing crops n.e.c. industry,XAM,4.1984680315580946e-05,JPN,2016
10,COD,Growing grapes industry,XAM,0.0,JPN,2016
11,COD,Growing fruits and nuts industry,XAM,0.0002927168557982019,JPN,2016
12,COD,"Growing beverage crops (coffee, tea etc) industry",XAM,0.00010374267098873652,JPN,2016
13,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,7.963649630829289e-08,JPN,2016
14,COD,Seeds and plant propagation industry,XAM,0.0,JPN,2016
15,COD,Raising of cattle industry,XAM,0.00023381830453511845,JPN,2016
16,COD,Growing wheat industry,XEU,8.152695059650593e-07,JPN,2016
17,COD,Growing maize industry,XEU,4.543051287444798e-05,JPN,2016
18,COD,Growing cereals n.e.c industry,XEU,7.656068748509371e-09,JPN,2016
19,COD,Growing leguminous crops and oil seeds industry,XEU,2.3831137842799212e-06,JPN,2016
20,COD,Growing rice industry,XEU,2.209041003466897e-06,JPN,2016
21,COD,"Growing vegetables, roots, tubers industry",XEU,1.397893176578192e-05,JPN,2016
22,COD,Growing sugar beet and cane industry,XEU,2.786240649622783e-06,JPN,2016
23,COD,Growing tobacco industry,XEU,1.2955939010039515e-07,JPN,2016
24,COD,Growing fibre crops industry,XEU,1.4588641191164879e-05,JPN,2016
25,COD,Growing crops n.e.c. industry,XEU,2.920433115771172e-06,JPN,2016
26,COD,Growing grapes industry,XEU,0.0,JPN,2016
27,COD,Growing fruits and nuts industry,XEU,1.7017982391476056e-05,JPN,2016
28,COD,"Growing beverage crops (coffee, tea etc) industry",XEU,9.075383737770774e-06,JPN,2016
29,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,6.739775557882757e-09,JPN,2016
30,COD,Seeds and plant propagation industry,XEU,0.0,JPN,2016
31,COD,Raising of cattle industry,XEU,1.8079700540267845e-05,JPN,2016
32,COD,Growing wheat industry,XAF,2.875415867843283e-06,JPN,2016
33,COD,Growing maize industry,XAF,0.00016280093282113877,JPN,2016
34,COD,Growing cereals n.e.c industry,XAF,2.4513433832430455e-08,JPN,2016
35,COD,Growing leguminous crops and oil seeds industry,XAF,6.893379546790819e-06,JPN,2016
