,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,COD,Growing wheat industry,XAM,6.43282353339453e-08,TJK,2016
1,COD,Growing maize industry,XAM,5.730424084445184e-07,TJK,2016
2,COD,Growing cereals n.e.c industry,XAM,8.225992330528455e-10,TJK,2016
3,COD,Growing leguminous crops and oil seeds industry,XAM,7.77546175334672e-08,TJK,2016
4,COD,Growing rice industry,XAM,4.878564261473143e-07,TJK,2016
5,COD,"Growing vegetables, roots, tubers industry",XAM,1.2251563665106853e-07,TJK,2016
6,COD,Growing sugar beet and cane industry,XAM,1.7105917234113615e-07,TJK,2016
7,COD,Growing tobacco industry,XAM,1.4568656496026175e-09,TJK,2016
8,COD,Growing fibre crops industry,XAM,1.268304366418581e-07,TJK,2016
9,COD,Growing crops n.e.c. industry,XAM,2.5385215705321384e-07,TJK,2016
10,COD,Growing grapes industry,XAM,0.0,TJK,2016
11,COD,Growing fruits and nuts industry,XAM,1.0122364390849627e-07,TJK,2016
12,COD,"Growing beverage crops (coffee, tea etc) industry",XAM,4.0802171629305056e-08,TJK,2016
13,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,6.857086441902878e-11,TJK,2016
14,COD,Seeds and plant propagation industry,XAM,0.0,TJK,2016
15,COD,Raising of cattle industry,XAM,6.044238346653596e-06,TJK,2016
16,COD,Growing wheat industry,XEU,9.899103941640781e-09,TJK,2016
17,COD,Growing maize industry,XEU,8.713720041027592e-08,TJK,2016
18,COD,Growing cereals n.e.c industry,XEU,1.262230177192778e-10,TJK,2016
19,COD,Growing leguminous crops and oil seeds industry,XEU,1.2079043653600778e-08,TJK,2016
20,COD,Growing rice industry,XEU,7.412644151413646e-08,TJK,2016
21,COD,"Growing vegetables, roots, tubers industry",XEU,2.2078691882483403e-08,TJK,2016
22,COD,Growing sugar beet and cane industry,XEU,2.711613832507518e-08,TJK,2016
23,COD,Growing tobacco industry,XEU,2.0751598297880348e-10,TJK,2016
24,COD,Growing fibre crops industry,XEU,2.0848011493734627e-08,TJK,2016
25,COD,Growing crops n.e.c. industry,XEU,3.9633151489038965e-08,TJK,2016
26,COD,Growing grapes industry,XEU,0.0,TJK,2016
27,COD,Growing fruits and nuts industry,XEU,1.782787989098518e-08,TJK,2016
28,COD,"Growing beverage crops (coffee, tea etc) industry",XEU,7.373300664702325e-09,TJK,2016
29,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,1.2856570944439995e-11,TJK,2016
30,COD,Seeds and plant propagation industry,XEU,0.0,TJK,2016
31,COD,Raising of cattle industry,XEU,7.922424458874906e-07,TJK,2016
32,COD,Growing wheat industry,XAF,2.1800862927611132e-08,TJK,2016
33,COD,Growing maize industry,XAF,1.6635983827404283e-07,TJK,2016
34,COD,Growing cereals n.e.c industry,XAF,2.7654835435945434e-10,TJK,2016
35,COD,Growing leguminous crops and oil seeds industry,XAF,2.5902051608820908e-08,TJK,2016
36,COD,Growing rice industry,XAF,1.63928160091362e-07,TJK,2016
37,COD,"Growing vegetables, roots, tubers industry",XAF,3.544852000459668e-08,TJK,2016
38,COD,Growing sugar beet and cane industry,XAF,5.553844072109168e-08,TJK,2016
