,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,COD,Growing wheat industry,XAM,9.59091931674213e-08,CAF,2018
1,COD,Growing maize industry,XAM,2.6323411580006486e-06,CAF,2018
2,COD,Growing cereals n.e.c industry,XAM,0.0,CAF,2018
3,COD,Growing leguminous crops and oil seeds industry,XAM,1.1069965208958337e-07,CAF,2018
4,COD,Growing rice industry,XAM,1.5626359655943998e-07,CAF,2018
5,COD,"Growing vegetables, roots, tubers industry",XAM,1.2418375072933482e-06,CAF,2018
6,COD,Growing sugar beet and cane industry,XAM,8.758818339238043e-08,CAF,2018
7,COD,Growing tobacco industry,XAM,1.2762046752565698e-10,CAF,2018
8,COD,Growing fibre crops industry,XAM,6.06694896612113e-09,CAF,2018
9,COD,Growing crops n.e.c. industry,XAM,1.4215024159686114e-07,CAF,2018
10,COD,Growing grapes industry,XAM,0.0,CAF,2018
11,COD,Growing fruits and nuts industry,XAM,2.1100205763009266e-05,CAF,2018
12,COD,"Growing beverage crops (coffee, tea etc) industry",XAM,5.695705674440749e-05,CAF,2018
13,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,1.0569541864786588e-07,CAF,2018
14,COD,Seeds and plant propagation industry,XAM,0.0,CAF,2018
15,COD,Raising of cattle industry,XAM,6.015538255534987e-06,CAF,2018
16,COD,Growing wheat industry,XEU,5.974660375508779e-09,CAF,2018
17,COD,Growing maize industry,XEU,7.07136457113178e-08,CAF,2018
18,COD,Growing cereals n.e.c industry,XEU,0.0,CAF,2018
19,COD,Growing leguminous crops and oil seeds industry,XEU,1.0035713406805087e-08,CAF,2018
20,COD,Growing rice industry,XEU,1.7846926124567594e-08,CAF,2018
21,COD,"Growing vegetables, roots, tubers industry",XEU,4.046488238178624e-08,CAF,2018
22,COD,Growing sugar beet and cane industry,XEU,9.711758669866388e-09,CAF,2018
23,COD,Growing tobacco industry,XEU,1.4438273665815105e-11,CAF,2018
24,COD,Growing fibre crops industry,XEU,6.779994836476434e-10,CAF,2018
25,COD,Growing crops n.e.c. industry,XEU,1.7345370150257067e-08,CAF,2018
26,COD,Growing grapes industry,XEU,0.0,CAF,2018
27,COD,Growing fruits and nuts industry,XEU,9.942164640512156e-07,CAF,2018
28,COD,"Growing beverage crops (coffee, tea etc) industry",XEU,2.726917377932261e-06,CAF,2018
29,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,4.900048902051215e-09,CAF,2018
30,COD,Seeds and plant propagation industry,XEU,0.0,CAF,2018
31,COD,Raising of cattle industry,XEU,6.981231312415546e-07,CAF,2018
32,COD,Growing wheat industry,XAF,6.609517259223076e-08,CAF,2018
33,COD,Growing maize industry,XAF,5.106608676616231e-07,CAF,2018
34,COD,Growing cereals n.e.c industry,XAF,0.0,CAF,2018
35,COD,Growing leguminous crops and oil seeds industry,XAF,7.476245314789466e-08,CAF,2018
36,COD,Growing rice industry,XAF,1.1422176085234403e-07,CAF,2018
37,COD,"Growing vegetables, roots, tubers industry",XAF,5.168006251630705e-07,CAF,2018
